Chrom	position
chr14	38061692
chr19	6361473
chr12	30848888
chr22	26879799
chr19	19774620
chr3	119182488
chr6	33757044
chr16	23160903
chr19	13044615
chr1	156252763
chr12	132195635
chr12	50419436
chr12	133758101
chr1	36929948
chr15	79165946
chr11	64863638
chr17	48450459
chr14	21979595
chr10	75541844
chr10	102322930
chr19	3500673
chr11	62477100
chr15	89010539
chr9	95640422
chr2	202316279
chr16	57769321
chr1	110577161
chr3	44803222
chr17	78518674
chr1	24018347
chr16	88636836
chr12	27863798
chr15	40886207
chr20	1306091
chr1	161172097
chr3	128444851
chr11	45869062
chr14	78174317
chr13	98628932
chr11	28131835
chr9	123342524
chr6	150039148
chr4	152020756
chr14	21777105
chr19	2328596
chr8	29940417
chr18	46065305
chr18	47814378
chr14	50065672
chr19	797082
chr14	54823073
chr14	74551085
chr14	23299034
chr4	152682132
chr18	71815761
chr6	157744544
chr9	127177690
chr14	69658179
chr8	23386564
chr18	57026425
chr8	6264197
chr14	23206503
chr19	7598967
chr19	4791659
chr5	41925428
chr3	4508909
chr11	73472461
chr1	36554521
chr1	35658712
chr19	37663753
chr19	37701621
chr2	75873928
chr12	75905377
chr11	77850624
chr19	5623173
chr7	112430437
chr1	29508024
chr1	27648720
chr2	74682124
chr1	27226914
chr19	41870216
chr19	41945723
chr4	56815026
chr19	19627012
chr19	18682569
chr19	18632792
chr19	17326218
chr7	142985570
chr11	62572824
chr3	14989730
chr11	63753931
chr6	107077476
chr19	8386256
chr1	61707269
chr9	131843440
chr21	26979782
chr7	766303
chr19	12792760
chr9	132586495
chr2	113033155
chr4	25314442
chr7	5553504
chr12	120632475
chr19	16296176
chr6	107780752
chr7	74071765
chr14	92588363
chr16	24550888
chr1	211751720
chr16	31129020
chr16	30621755
chr17	27182070
chr16	29624800
chr2	232651151
chr1	206785790
chr16	28223536
chr6	5261724
chr16	2918298
chr17	30771511
chr16	20817730
chr16	19566928
chr3	99979859
chr16	12897456
chr20	33264886
chr3	169491215
chr2	224822177
chr3	123303991
chr16	56485212
chr2	237679017
chr2	242041699
chr8	145561444
chr17	4270127
chr8	146277896
chr17	5095107
chr20	17949423
chr17	1933480
chr17	1359618
chr17	900360
chr20	2821288
chr20	2644818
chr1	230778213
chr20	23402112
chr16	87425847
chr8	144691636
chr16	85558550
chr17	16120541
chr5	1417355
chr16	5083900
chr17	38375446
chr3	41240968
chr3	48700411
chr8	96037228
chr3	50329879
chr20	44044814
chr10	131934701
chr20	44563327
chr8	80942447
chr20	44718584
chr17	74732608
chr3	48647034
chr1	184020881
chr15	40675058
chr7	32529978
chr11	11863497
chr17	79849456
chr3	45430094
chr18	2571293
chr9	115819018
chr8	37963093
chr10	120514248
chr1	155243000
chr15	74790128
chr20	40322176
chr16	2022051
chr16	1823136
chr16	1020941
chr1	173793680
chr17	42092352
chr6	26597195
chr17	42767109
chr3	183602642
chr10	99393255
chr3	183966711
chr1	161147194
chr1	161129318
chr10	102321934
chr5	134210023
chr5	134094494
chr15	81198910
chr3	52188342
chr7	102790024
chr17	3627236
chr7	42951721
chr22	41347398
chr22	30163407
chr1	6761845
chr22	21922061
chr22	32058173
chr2	48667765
chr19	48248758
chr2	31456913
chr19	52531804
chr2	25016260
chr1	12040517
chr1	1167385
chr2	29117578
chr2	26467491
chr7	92861689
chr22	42915769
chr11	118661963
chr1	6614577
chr19	52430479
chr9	140131185
chr1	19536678
chr19	49458047
chr22	46067939
chr1	1509900
chr19	52074363
chr22	41865160
chr7	100435092
chr1	24117545
chr22	41601231
chr6	41755429
chr17	62915586
chr5	118324197
chr17	65714061
chr5	115420737
chr17	65362633
chr6	41040220
chr10	124768281
chr6	38670916
chr9	139981452
chr15	66797053
chr1	153950227
chr4	108911155
chr1	153606545
chr6	42185593
chr5	114598534
chr6	43655515
chr6	43603630
chr6	43484875
chr22	42977977
chr10	135207765
chr17	73008785
chr17	72772533
chr9	94877640
chr15	60771130
chr17	72453831
chr1	10535019
chr17	71189157
chr5	112043219
chr6	42713780
chr10	128594072
chr15	64388222
chr10	126490400
chr15	64680039
chr1	10459178
chr15	67546993
chr1	155179076
chr10	120938233
chr6	32936403
chr6	33290850
chr5	131629256
chr6	33176282
chr6	33169228
chr7	91570214
chr9	37800737
chr9	37785021
chr5	132362159
chr17	48796961
chr5	133304245
chr6	37467775
chr7	64498757
chr1	160232220
chr1	160254917
chr3	52321974
chr5	133968502
chr5	134074133
chr1	161087797
chr9	140100111
chr1	161123742
chr10	104261943
chr19	59031282
chr6	33679427
chr15	75932470
chr9	140024167
chr10	120101790
chr17	61678221
chr10	119806536
chr17	60143273
chr6	37225548
chr6	36562198
chr17	57970514
chr6	36164974
chr7	92158147
chr6	35227498
chr3	51422476
chr2	207630347
chr17	56296580
chr10	105881947
chr10	105127745
chr10	104678241
chr15	75660923
chr17	55038359
chr19	58740295
chr20	45317990
chr15	52263921
chr20	51575828
chr7	97736214
chr9	139743885
chr6	108616220
chr18	29523026
chr14	88459585
chr11	126081520
chr6	106808335
chr3	40498713
chr12	32908790
chr5	79287031
chr6	111279962
chr8	37706952
chr6	99873228
chr20	49575401
chr2	178077972
chr11	18548318
chr22	35653510
chr3	197518163
chr14	102786083
chr11	16760348
chr5	76926454
chr5	76115027
chr8	42698437
chr9	124855640
chr11	36310959
chr22	30820067
chr2	55844717
chr11	119205262
chr14	69865306
chr19	54641451
chr1	112298571
chr1	113161724
chr14	70234477
chr1	114472103
chr4	1283688
chr14	74417036
chr19	55791451
chr22	31365225
chr14	74551707
