Chrom	position
chr1	15384563
chr16	46394836
chr16	56281709
chr1	183403758
chr7	138243684
chr15	31079710
chr20	49694767
chr3	176506173
chr15	31306710
chr2	187225182
chr10	75417824
chr17	71828439
chr12	11609192
chr1	156673888
chr18	28287318
chr10	99914100
chr17	32303422
chr1	1780229
chr12	42484441
chr18	48960046
chr9	2018986
chr10	76083185
chr1	58006859
chr6	167442454
chr3	141684937
chr5	12323848
chr13	79966556
chr1	210374010
chr9	38214621
chr7	150736147
chr6	166365434
chr2	14331099
chr6	73349526
chr3	174232807
chr1	17470257
chr7	25733083
chr16	3008534
chr4	104916072
chr10	102342671
chr4	7861583
chr8	40320129
chr3	147935002
chr7	157310513
chr4	68404333
chr17	72151202
chr8	127043853
chr9	78972808
chr5	54018561
chr13	59409865
chr6	140436641
chr4	73985387
chr2	122517038
chr2	84855957
chr4	56845017
chr3	181716144
chr1	26429949
chr1	202567849
chr12	13256206
chr6	139396220
chr17	18569778
chr8	9264449
chr5	126057463
chr14	76968986
chr7	24435159
chr1	109229936
chr2	729528
chr7	6447160
chr6	37141714
chr7	12716008
chr16	30678188
chr3	111957587
chr7	84277875
chr2	58540126
chr4	44057082
chr18	8942558
chr1	46043950
chr4	105555501
chr12	39452172
chr1	225899507
chr8	127823176
chr7	12424422
chr2	150736036
chr14	71777083
chr12	32013700
chr2	41948658
chr7	7210796
chr17	29042928
chr8	128982866
chr6	91298776
chr18	35827701
chr6	148819110
chr9	104886266
chr13	94144135
chr19	53782891
chr7	121938663
chr1	43008866
chr17	33751035
chr17	66474448
chr9	128365099
chr18	37393993
chr17	67752468
chr1	89929698
chr1	208781836
chr5	115328790
chr6	136956987
chr6	31173114
chr16	22635547
chr1	43660595
chr13	77853883
chr2	121680387
chr5	96434437
chr9	72680774
chr18	4119482
chr12	80847115
chr13	78658404
chr1	225890426
chr13	67736948
chr11	36110112
chr7	101294228
chr3	16687395
chr1	200048442
chr14	95948773
chr16	19882307
chr12	93742005
chr2	223618461
chr11	44559523
chr18	77097423
chr20	19959123
chr6	149014815
chr7	24726376
chr2	202250167
chr9	74293649
chr5	124980678
chr1	44417659
chr1	197814484
chr1	184498151
chr11	93072396
chr18	56986986
chr17	27276759
chr2	188303796
chr1	143247068
chr15	24856644
chr7	10908682
chr14	61102080
chr14	56894834
chr18	60804596
chr18	27561732
chr20	31585847
chr7	18495681
chr12	84805611
chr11	59095353
chr20	47319613
chr4	123505794
chr11	87493763
chr18	25048190
chr11	97856868
chr7	37248538
chr14	87150120
chr10	90925783
chr22	42065546
chr1	239061934
chr1	202361927
chr2	36824464
chr6	18336699
chr16	52874214
chr6	164345110
chr20	51311951
chr6	147439318
chr10	121891447
chr6	21186143
chr6	147448321
chr4	68451984
chr18	59864334
chr12	124513242
chr10	42817118
chr21	15005565
chr4	183537803
chr4	114495844
chr1	39712189
chr7	79646503
chr3	32780921
chr1	52976409
chr8	20508470
chr6	113777174
chr14	89296429
chr16	62665503
chr3	29476037
chr12	73630668
chr5	33448348
chr10	93842077
chr14	53982713
chr10	65326149
chr11	128733849
chr10	16243087
chr8	64079894
chr7	116616998
chr8	71716384
chr2	67930400
chr12	94816108
chr5	76808266
chr15	58930061
chr14	21309042
chr2	178219467
chr7	129375530
chr18	56874010
chr10	57222827
chr5	166088612
chr15	52392482
chr4	84870620
chr2	162712007
chr8	131392668
chr3	48474797
chr4	41433054
chr2	117553672
chr3	59128920
chr14	42336115
chr3	187275111
chr22	19705602
chr8	41078002
chr8	123479683
chr22	39017786
chr4	182416905
chr13	114257194
chr18	4233701
chr8	89235926
chr8	88592299
chr8	144484536
chr11	744092
chr5	95440283
chr7	28291709
chr1	67515853
chr16	46388741
chr8	100667752
chr6	141105654
chr6	98637146
chr5	87787904
chr14	56847334
chr4	112652405
chr6	98036517
chr1	182958064
chr4	123953061
chr17	59840735
chr3	69288446
chr3	114902907
chr20	61436835
chr16	7765468
chr14	54362296
chr8	73002117
chr11	945009
chr3	61699741
chr9	126676963
chr21	15753249
chr3	107285401
chr5	142702180
chr4	61911402
chr4	84379174
chr1	50700410
chr7	138458917
chr1	179529669
chr16	15971363
chr3	93470585
chr6	163260542
chr15	92510389
chr7	96143818
chr6	170296043
chr6	79047259
chr7	27565064
chr18	37577272
chr1	94666957
chr13	31664060
chr21	20016791
chr3	197580328
chr15	93061843
chr6	170007309
chr7	84228710
chr4	188399985
chr6	134312320
chr5	23234281
chr1	32438387
chr2	237614449
chr3	66532242
chr2	201973020
chr17	25920210
chr8	26037486
chr17	9054838
chr5	68193951
chr17	26603914
chr16	77967438
chr4	56907589
chr17	15332568
chr6	88730816
chr2	148813791
chr19	35203483
chr13	28050434
chr1	143245008
chr3	150806502
chr5	51394803
chr1	64497677
chr14	99758692
chr13	34900470
chr7	111097124
chr5	93421654
chr20	47804342
chr4	121749375
chr7	31466251
chr10	106708700
chr9	123072623
chr2	50225222
chr16	8966222
chr7	31710467
chr22	38656366
chr7	152969556
chr9	73215395
chr6	4772937
chr2	169789872
chr14	31123137
chr4	86959985
chr6	49342623
chr4	125357882
chr1	29164772
chr9	26637308
chr1	94259821
chr11	100978631
chr10	96310032
chr7	99162643
chr13	107574767
chr10	13395789
chr13	51169448
chr4	112759573
chr5	19047551
chr5	138095308
chr10	19119392
chr9	134975423
chr13	44078998
chr8	26528999
chr5	83355156
chr18	55352115
chr10	57627971
chr10	85891691
chr2	75056305
chr11	6385238
chr1	230277505
chr6	156721570
chr11	45816807
chr15	90839660
chr20	36571823
chr12	8912069
chr20	9572943
chr2	151178390
chr9	10921864
chr1	73943490
chr13	68713552
chr3	138862761
chr5	136203007
chr14	43755063
chr19	54324265
chr7	156791259
chr6	111254610
chr18	4854880
chr6	101717026
chr16	89291050
chr12	122872350
chr5	19928081
chr1	221715677
chr12	75970101
chr9	84708606
chr17	32289641
chr1	191969492
chr10	44371178
chr12	89350044
chr14	54677542
chr2	214127367
chr8	52589939
chr21	8234506
chr5	80957230
chr3	87728013
chr13	27966201
chr3	12785283
chr18	69706288
chr15	35548258
chr9	119441568
chr3	63309941
chr20	22430236
chr9	136546355
chr16	23787168
chr4	71593516
chr6	133916812
chr8	116038826
chr8	3245457
chr10	57143312
chr10	16901280
chr6	15264990
chr9	112583010
chr6	158464710
chr16	62405411
chr7	138205841
chr4	55132946
chr21	14616716
chr2	157932912
chr8	73985252
chr5	12331136
chr16	65772590
chr13	86882309
chr18	51418251
chr3	182143125
chr2	178212193
chr7	92763896
chr2	65275436
chr11	78929584
chr10	88703267
chr13	40680818
chr2	211331979
chr9	97873552
chr2	75870377
chr5	94355317
chr5	80192152
chr7	70884541
chr2	222026031
chr12	112578209
chr1	56453515
chr14	88364953
chr2	103792281
chr4	5912961
chr2	5914158
chr21	19120749
chr6	49966526
chr4	151285056
chr2	124046553
chr5	139524248
chr13	39565757
chr2	5726409
chr5	178126819
chr5	175547991
chr7	144534807
chr14	46322308
chr8	16284414
chr9	123863334
chr6	148600204
chr14	94781178
chr2	63121317
chr5	18798319
chr8	73799017
chr9	7284658
chr15	22827276
chr1	23357718
chr7	69232876
chr6	4925850
chr7	105773157
chr2	230902832
chr13	94706729
chr16	46386434
chr3	39473641
chr2	204205748
chr3	193812979
chr2	19228897
chr10	97480044
chr9	116272234
chr4	121711942
chr15	71085951
chr13	66224855
chr15	84603737
chr7	115226580
chr2	128639015
chr7	41808800
chr15	42890686
chr8	103624218
chr10	80894485
chr8	52629690
chr2	83284306
chr6	10417373
chr5	114312151
chr14	61609646
chr5	68922604
chr16	85083382
chr10	83760365
chr3	135231812
chr17	57466372
chr14	59358238
chr11	18866128
chr22	17235388
chr11	20000702
chr12	95551534
chr11	15367884
chr7	108181763
chr18	26957108
chr2	88443517
chr6	133682069
chr8	69977441
chr1	112911747
chr10	121289493
chr15	59354136
chr7	132188339
chr2	144568040
chr18	35851479
chr5	49601586
chr10	119687460
chr1	90927133
chr12	85949500
chr6	14381471
chr22	48073004
chr16	26056028
chr3	50791091
chr13	79281480
chr10	115996230
chr3	24519452
chr8	78028532
chr16	34573069
chr18	64116997
chr2	120786690
chr6	155149110
chr6	155120254
chr17	17700491
chr16	25856011
chr12	19438143
chr8	111150970
chr6	89689847
chr20	23533344
chr5	11386139
chr8	20275716
chr2	176325902
chr1	35886230
chr17	4396387
chr3	149574514
chr22	25620438
chr4	102219316
chr2	224433699
chr10	131049256
chr6	85670067
chr4	25481820
chr1	98503149
chr15	66067848
chr5	74817080
chr18	27718019
chr19	17747504
chr10	110169298
chr8	1658287
chr6	76120490
chr1	171432175
chr7	31562196
chr20	434495
chr12	28759520
chr12	23816615
chr1	210251594
chr12	104789189
chr9	68872390
chr6	40546172
chr7	4707367
chr2	84959985
chr12	32454320
chr6	161011879
chr12	88863871
chr5	176944014
chr6	168208961
chr5	141002420
chr4	68273030
chr18	66272150
chr10	63713472
chr3	75814990
chr7	82504838
chr21	42959907
chr4	153790387
chr6	96162971
chr3	119256291
chr12	99026878
chr4	184167828
chr16	6342167
chr1	112795052
chr13	100058658
chr6	93786689
chr1	203985285
chr1	221979145
chr2	65438009
chr9	88026257
chr7	111052029
chr2	150869277
chr4	151484876
chr8	126896572
chr5	151903419
chr15	24823754
chr3	135216845
chr2	110687906
chr1	94661206
chr8	95682058
chr2	48323375
chr1	6239545
chr9	27308901
chr6	69216288
chr1	18294911
chr12	1420075
chr1	200081670
chr15	58064233
chr1	39001755
chr2	223937783
chr8	140331843
chr10	74544323
chr11	61500287
chr11	110173976
chr10	51910419
chr2	231410828
