Chrom	position
chr9	104869140
chr17	40330524
chr1	233112952
chr12	124381875
chr6	53359603
chr9	2570881
chr9	104926748
chr10	100373396
chr21	42228185
chr11	47255017
chr6	16131122
chr9	104928213
chr21	42234903
chr2	222860886
chr9	105064666
chr5	56155390
chr7	16661143
chr2	150371668
chr9	27118007
chr10	100365000
chr7	27115255
chr3	186744891
chr4	167218336
chr17	17823936
chr11	15655679
chr6	148192569
chr1	58881637
chr6	122790975
chr2	203743615
chr2	41848269
chr2	227655656
chr17	73340251
chr7	47605070
chr1	18998599
chr9	135289308
chr2	43458168
chr4	31411796
chr11	102783871
chr19	55259285
chr20	53735637
chr17	37359214
chr16	11824561
chr1	170708022
chr11	87037928
chr2	10936383
chr5	65062936
chr17	82104108
chr11	76772642
chr22	46006586
chr11	108467233
chr1	204171857
chr2	74761425
chr5	140639217
chr17	82099031
chr3	150345227
chr17	29639504
chr1	246608952
chr18	45793414
chr6	158730794
chr20	10708930
chr10	80504579
chr7	17546796
chr1	100414857
chr11	129014244
chr8	119655302
chr9	107755427
chr7	155230355
chr18	57397676
chr7	31115164
chr6	47135904
chr10	103890322
chr3	58052528
chr2	218281640
chr4	74660006
chr4	158874037
chr3	136839434
chr17	36000904
chr4	53644791
chr6	47247320
chr12	82682952
chr4	121448432
chr12	118052669
chr14	37567185
chr4	184968897
chr10	19021416
chr9	1462797
chr7	16062485
chr21	42199599
chr9	108032219
chr15	69557476
chr6	158678901
chr14	84466007
chr14	55889364
chr12	7018901
chr17	58394667
chr9	104993756
chr1	169105775
chr10	91556925
chr1	23403930
chr3	154356241
chr12	29041894
chr1	18440808
chr15	51981696
chr1	56688658
chr3	190092364
chr17	65362963
chr1	234975232
chr10	100341348
chr4	83548533
chr6	111230557
chr3	169328135
chr8	8288514
chr17	41404070
chr3	127746917
chr9	107243974
chr7	101645090
chr5	174355333
chr18	2592842
chr8	121348920
chr12	26769326
chr1	47650379
chr3	53084727
chr5	84435988
chr16	87945899
chr17	59845812
chr21	17435818
chr1	235070282
chr10	100371273
chr2	130241261
chr3	42080724
chr16	29291068
chr17	40956931
chr17	8420536
chr8	142031560
chr9	19186423
chr15	60091462
chr6	18147236
chr15	53072248
chr7	116272172
chr1	151494968
chr11	28486650
chr5	94432688
chr1	27817383
chr7	98419093
chr3	16665566
chr18	74234456
chr3	159200399
chr3	43180269
chr7	32992891
chr6	46935853
chr16	21611973
chr8	69600196
chr6	12492559
chr1	40939947
chr13	80444449
chr20	49775463
chr2	88600190
chr7	16792101
chr20	31696325
chr6	137219582
chr10	10313684
chr2	187541895
chr11	41784996
chr6	128511775
chr16	51392861
chr4	101858926
chr10	45444307
chr4	159046974
chr11	44570782
chr3	27521624
chr2	58562471
chr9	34431123
chr10	13148622
chr16	82060197
chr11	129642485
chr8	29286924
chr7	54832008
chr1	174966197
chr3	28301916
chr5	14366270
chr5	151924746
chr16	82082969
chr17	58388003
chr18	22342804
chr17	79048321
chr5	145854735
chr5	14551397
chr12	62760915
chr3	115147803
chr12	22410692
chr4	68815827
chr12	127126185
chr1	47555537
chr14	88044307
chr2	195818759
chr4	156949535
chr9	88344818
chr15	75036424
chr12	26678132
chr18	24113234
chr16	83096147
chr7	37943358
chr20	31968574
chr12	75990527
chr6	37172167
chr20	31260538
chr22	48254719
chr19	46263084
chr8	62683429
chr9	36296854
chr17	55287130
chr4	107183361
chr4	69096372
chr19	45570066
chr1	183515183
chr2	42118316
chr18	31088710
chr18	31199550
chr20	25235210
chr16	29179124
chr16	29229231
chr10	4726159
chr21	39532139
chr17	56148528
chr12	62215664
chr5	119293373
chr18	22871926
chr15	73918988
chr3	120160205
chr4	102780666
chr21	14534157
chr1	178544695
chr8	61496255
chr3	57999595
chr14	68474013
chr11	10867040
chr13	108813752
chr2	187544850
chr8	101891944
chr16	48961773
chr2	187543667
chr8	126433919
chr12	124411683
chr17	56794180
chr18	23629599
chr12	124838588
chr10	5610995
chr2	20796629
chr3	30308303
chr15	74526245
chr4	8183523
chr12	124681547
chr4	62871227
chr10	91604163
chr7	17408706
chr11	46736845
chr12	25136046
chr13	107259055
chr8	40054840
chr21	37921288
chr2	112644530
chr4	100738564
chr12	70712054
chr12	110809352
chr6	12371756
chr4	90496603
chr21	15210419
chr10	26349039
chr8	30890559
chr2	169507857
chr4	38279782
chr17	64680029
chr1	26910711
chr2	119744517
chr4	169332786
chr15	45920082
chr1	162406052
chr3	71007045
chr14	24337558
chr5	17910531
chr10	24963207
chr21	29188119
chr14	22976871
chr16	79466284
chr2	161102987
chr10	24207974
chr1	100714756
chr8	30255112
chr11	32149297
chr6	155127250
chr6	46994067
chr14	22465612
chr4	38133264
chr14	35877525
chr14	35670012
chr5	39101044
chr10	24873262
chr1	166613063
chr3	69787626
chr17	13776305
chr12	108884606
chr8	100488018
chr4	86942381
chr4	90183371
chr1	160124911
chr9	4530510
chr2	43540196
chr1	41514585
chr6	142013514
chr9	94941624
chr11	3916229
chr16	76676491
chr5	148179410
chr6	112176411
chr20	48946063
chr9	94990022
chr11	127017727
chr10	33441789
chr1	26387578
chr5	23702512
chr4	48015440
chr2	11345474
chr12	73384002
chr3	22159503
chr20	49772431
chr1	162179263
chr14	71659371
chr6	13407918
chr1	108559872
chr20	47334267
chr5	149113867
chr11	123588269
chr10	78256287
chr14	31229894
chr6	41215061
chr14	26842132
chr2	165804930
chr3	87333585
chr14	69010801
chr12	104665518
chr18	322745
chr2	19140900
chr5	147170800
chr16	81758549
chr11	21561695
chr6	108689370
chr4	164350291
chr16	56984829
chr12	119974451
chr6	157106733
chr2	198945724
chr13	111140358
chr11	117077418
chr4	164510172
chr6	113357269
chr9	91395210
chr12	118271956
chr14	75521621
chr21	14901648
chr8	39001361
chr9	1558851
chr10	19501176
chr4	23631701
chr1	21329546
chr3	27360645
chr8	101388407
chr2	112010987
chr11	38169506
chr6	9405575
chr14	75977752
chr7	123798212
chr5	55189389
chr6	47464293
chr9	21919757
chr3	10804436
chr3	10669860
chr14	68703316
chr8	29555624
chr1	172451279
chr19	51475295
chr17	17836318
chr3	110743373
chr2	179108006
chr4	54731768
chr2	116331561
chr7	25457005
chr12	67925192
chr1	169116278
chr6	109446237
chr4	30537664
chr1	40131119
chr9	31771826
chr3	67940756
chr2	172998712
chr7	142813506
chr9	107976880
chr13	114115381
chr9	92974307
chr3	69117129
chr10	22682822
chr12	15601412
chr9	124386362
chr4	33781451
chr6	11598904
chr5	16815565
chr14	36982317
chr11	5626357
chr14	37452535
chr16	63613909
chr15	69988006
chr6	149842516
chr8	29738691
chr21	34877676
chr20	38548867
chr1	169570255
chr12	67714865
chr6	38792583
chr12	15789700
chr1	40102237
chr11	34599764
chr12	75712441
chr6	127522894
chr14	75200689
chr16	27274011
chr10	125901184
chr4	83255767
chr18	70181229
chr20	55516044
chr11	77471985
chr2	242070214
chr9	113382213
chr4	123673124
chr22	35931136
chr6	143838586
chr12	6989194
chr9	98804364
chr13	75440305
chr3	153138880
chr10	117365776
chr14	101475906
chr19	14520111
chr11	66421801
chr19	15614677
chr14	101405681
chr4	76236191
chr12	50549056
chr5	116032263
chr9	113488244
chr6	134530121
chr9	77839955
chr6	144362501
chr14	103251038
chr1	60576749
chr3	43455345
chr4	124940122
chr11	77061355
chr14	103173104
chr10	65675412
chr5	78591342
chr9	72478433
chr7	89123092
chr2	240896192
chr19	13026673
chr8	119722189
chr1	206927509
chr10	117456572
chr20	3845775
chr7	12801395
chr22	17869805
chr14	63777187
chr10	62112571
chr4	120966177
chr11	102930169
chr15	58333183
chr8	141322620
chr4	74632779
chr8	17766515
chr2	217346192
chr1	232816518
chr6	56876193
chr5	168757851
chr10	119688371
chr3	46932312
chr2	29749223
chr9	81562921
chr2	100752782
chr16	10533824
chr5	115460620
chr1	36437043
chr18	58425798
chr18	59516551
chr2	31748279
chr4	74668111
chr6	1055228
chr9	98334416
chr19	17312090
chr5	74636762
chr1	58883449
chr12	33588283
chr13	40398263
chr1	231236341
chr18	58418017
chr1	8197888
chr8	46962603
chr2	72143220
chr20	54067808
chr2	95911648
chr11	67581647
chr5	168647227
chr15	100713591
chr2	142874554
chr2	234179032
chr8	392109
chr10	112404774
chr17	1460379
chr1	218946370
chr15	31092876
chr19	4769686
chr19	4801017
chr6	80454390
chr5	88516564
chr7	158818691
chr14	61356070
chr5	142512963
chr9	126082880
chr1	62597425
chr1	211636698
chr3	42130555
chr10	112517632
chr4	140726986
chr10	112519394
chr19	3720628
chr8	73814035
chr22	28800782
chr6	134018048
chr17	40902215
chr3	41275087
chr5	84437823
chr3	42079870
chr3	170599282
chr14	60862512
chr1	218377477
chr2	233756916
chr3	172061969
chr4	138242444
chr10	68094158
chr22	26479210
chr10	112967374
chr2	231348368
chr6	24908640
chr3	174439844
chr2	145860283
chr13	73171507
chr22	22566180
chr1	67819157
chr12	45260432
chr7	8480713
chr7	46281235
chr5	117177576
chr9	14896005
chr3	177360082
chr10	110395993
chr3	43181297
chr1	207604018
chr3	177590195
chr3	177598011
chr3	158788727
chr10	110083029
chr19	11293889
chr3	43179259
chr19	9741704
chr9	72983889
chr22	31241408
chr7	7492680
chr22	31207402
chr2	230706298
chr19	7425205
chr8	118878645
chr19	8302516
chr12	45725922
chr8	8381356
chr9	72988159
chr3	161351479
chr5	142472417
chr3	161332992
chr19	9597182
chr1	33008753
chr14	61525618
chr10	110414714
chr17	38558002
chr7	88141188
chr1	81325589
chr1	85850444
chr10	124381263
chr12	28780288
chr20	14979725
chr14	91829670
chr7	98348828
chr20	15138860
chr19	38799822
chr2	155846471
chr2	67037920
chr20	15703413
chr22	44995197
chr9	111349964
chr10	125035325
chr3	129077295
chr9	111348975
chr7	84091549
chr13	30576728
chr3	194593545
chr8	81212089
chr8	143056071
chr1	12478412
chr6	36320703
chr7	41148819
chr7	98131864
chr6	2839312
chr6	143059889
chr12	92543599
chr1	12588392
chr18	48944344
chr3	194269708
chr18	48942827
chr2	205755014
chr10	71871450
chr20	52946321
chr10	59073689
chr11	100777322
chr8	107093957
chr14	51617194
chr7	83704740
chr11	102554079
chr10	94005341
chr8	82035590
chr5	159208156
chr6	121142298
chr13	101623651
chr16	24273691
chr17	67582865
chr7	39618267
chr6	113744880
chr14	90337212
chr1	48220029
chr10	126640598
chr18	31510483
chr2	25700419
chr8	23547949
chr11	102547359
chr19	40831995
chr19	42450548
chr6	20543096
chr7	16709263
chr9	37964548
chr8	66026658
chr17	50686818
chr1	186793093
chr5	5136157
chr10	2509469
chr4	155334332
chr16	22026734
chr2	64859444
chr22	45743068
chr14	90986732
chr10	72097980
chr16	22236588
chr18	49313090
chr14	52458145
chr2	15733967
chr3	193872460
