Chrom	position
chr17	80415311
chr7	100100672
chr11	2400407
chr3	52287906
chr1	169794967
chr1	2255964
chr11	18526929
chr19	58305334
chr3	47282679
chr2	197500022
chr12	131710918
chr9	92670285
chr9	86354457
chr9	133336250
chr2	117814654
chr2	191020360
chr19	56121423
chr5	34915649
chr19	4182572
chr12	123633695
chr7	129055092
chr7	44490692
chr2	70190761
chr6	36885936
chr13	28659094
chr12	6724045
chr11	47579013
chr7	45111754
chr8	144078575
chr1	151166021
chr11	9364509
chr7	1504414
chr9	120793451
chr1	40258041
chr3	57597493
chr8	94553534
chr19	47244265
chr4	499216
chr6	166342572
chr18	3262078
chr7	139340261
chr11	46700671
chr17	47831557
chr11	65096173
chr6	169751639
chr19	9621250
chr6	31959070
chr1	32817406
chr6	133953121
chr1	153990748
chr15	82540537
chr5	34839128
chr17	2042058
chr20	2664210
chr1	93345852
chr12	132828960
chr11	77994806
chr4	151099549
chr4	13627832
chr6	90587326
chr2	233251542
chr19	39435962
chr1	203861577
chr18	49487268
chr17	59619871
chr1	1724413
chr16	1971957
chr18	35241058
chr20	5113113
chr19	4723956
chr1	163321816
chr6	34757474
chr7	123749127
chr21	39313778
chr2	218217097
chr17	35587267
chr2	98608554
chr20	44966463
chr20	2470802
chr7	66921124
chr1	20508163
chr15	39782869
chr1	36088866
chr15	92809317
chr12	389340
chr2	215312051
chr19	18571735
chr11	57741392
chr17	67366586
chr11	95924080
chr20	16729972
chr3	9363050
chr3	64023528
chr17	46923106
chr9	100352948
chr3	15099183
chr20	62182983
chr2	241102356
chr1	28643117
chr19	9584537
chr6	149546134
chr16	1706084
chr3	41962270
chr1	40040707
chr22	38681933
chr8	143291357
chr12	56041941
chr17	78378642
chr3	157175079
chr12	111599569
chr3	196942593
chr5	159263285
chr20	45791928
chr1	1574699
chr5	95646867
chr11	68903863
chr11	116773050
chr11	8688992
chr12	109093496
chr6	41787606
chr1	227735341
chr19	55675150
chr1	27322228
chr11	126268917
chr20	38435389
chr5	40835278
chr2	177263601
chr1	109076045
chr1	109100184
chr6	110982028
chr14	73886825
chr14	54488909
chr19	47256495
chr7	44885596
chr22	29553782
chr20	31968592
chr2	219245472
chr1	150010748
chr15	74461185
chr1	38991198
chr4	139295851
chr17	10697574
chr16	70346891
chr17	77088660
chr8	58411315
chr20	38446642
chr9	89318459
chr2	73737469
chr12	38316723
chr12	110450352
chr9	95875963
chr16	1420814
chr11	118252273
chr9	35732275
chr14	55051542
chr9	129334210
chr2	10689979
chr9	131125579
chr11	124876434
chr9	133418104
chr11	62622158
chr14	69767060
chr8	119855934
chr2	190319909
chr11	65477525
chr1	37990101
chr11	65570391
chr8	124539099
chr11	117144258
chr19	58519840
chr1	66925205
chr7	44044624
chr19	16197887
chr12	49741565
chr5	74767174
chr16	58129426
chr20	1393220
chr19	50376368
chr8	86508753
chr15	64095989
chr7	5823119
chr2	3575210
chr10	7818381
chr2	178112409
chr11	62791994
chr4	67701282
chr15	34343169
chr6	131628337
chr12	108731666
chr7	98252283
chr9	92115403
chr12	103957228
chr1	2391748
chr1	235128860
chr1	9943406
chr7	135977365
chr8	22604710
chr20	35954520
chr3	142578818
chr11	47408352
chr16	2682434
chr17	30477364
chr8	143281710
chr6	170584657
chr17	30906279
chr9	93566616
chr13	102845795
chr5	132556919
chr7	100015568
chr8	37849931
chr16	30805606
chr5	69369607
chr1	63523341
chr7	112790373
chr21	25734980
chr12	120087153
chr8	66428984
chr5	138575513
chr7	76048033
chr1	151254683
chr11	65084114
chr13	33542734
chr5	61162495
chr17	36948928
chr14	104816103
chr3	184248931
chr11	61430091
chr19	39402784
chr17	58352244
chr2	237674994
chr3	184135359
chr3	143001499
chr9	136410626
chr11	3057479
chr22	39532831
chr19	1905755
chr5	140557474
chr2	112584437
chr12	34022430
chr3	57556104
chr5	139341833
chr7	102464936
chr14	77616682
chr7	141015032
chr7	100436512
chr21	37267609
chr19	14690034
chr2	232550660
chr19	16496153
chr2	169824921
chr12	49018838
chr5	1634017
chr20	1118521
chr19	39412576
chr10	73168067
chr17	42998336
chr16	84187078
