Chrom	position
chr16	89616826
chr12	103905982
chr19	41859813
chr10	88986732
chr1	162392261
chr22	30435915
chr12	11799067
chr16	66524992
chr15	78761717
chr5	544190
chr15	90059658
chr19	55006138
chr15	91047729
chr2	9055650
chr7	100675955
chr20	63327077
chr7	157490788
chr22	36451929
chr16	67192121
chr16	87780877
chr2	233331758
chr6	36885926
chr4	184355370
chr9	126986007
chr7	5898653
chr12	1662070
chr14	100068786
chr20	62740399
chr12	56118221
chr5	127073494
chr4	139219825
chr7	67918355
chr9	95462727
chr5	180296942
chr17	58339411
chr6	129684182
chr15	90930185
chr6	26596866
chr1	64864300
chr18	830611
chr10	102802155
chr19	47256507
chr13	79448627
chr13	113296996
chr19	44753513
chr5	1634012
chr8	101137332
chr1	150926360
chr3	11725045
chr15	34102007
chr10	118729837
chr5	10705104
chr13	28659083
chr7	97972376
chr2	65432581
chr2	47487335
chr1	198557120
chr2	9843510
chr6	30682694
chr8	141417773
chr3	195954577
chr6	137291652
chr17	40322699
chr17	40516940
chr11	35059263
chr8	102568099
chr1	212831978
chr17	15436950
chr9	132406843
chr4	37666825
chr1	154493452
chr12	51369145
chr2	174040030
chr4	78721296
chr3	171328894
chr8	23761731
chr10	128063247
chr2	16625408
chr2	217399061
chr5	140664812
chr18	44725817
chr7	91880756
chr16	10912856
chr22	37285179
chr6	166959454
chr5	141683224
chr10	124153242
chr10	102394112
chr9	83622935
chr12	31896738
chr19	55152165
chr17	41567431
chr19	55675188
chr6	143098217
chr20	46111424
chr4	48212383
chr10	14410059
chr8	143281718
chr14	69653100
chr11	14578693
chr6	146950481
chr8	27311572
chr21	45234310
chr7	98133369
chr11	70398703
chr5	6378548
chr12	89346553
chr1	150363587
chr17	77088677
chr2	229921407
chr5	142357125
chr15	66866278
chr9	34171965
chr12	123633698
chr1	4007710
chr2	126659322
chr11	122108370
chr3	46987929
chr3	42847344
chr1	205288435
chr7	1504427
chr19	3812475
chr10	49183827
chr16	89505603
chr9	137355686
chr19	10759712
chr1	15416120
chr19	49717677
chr19	34270155
chr20	57433151
chr11	120336225
chr1	23791127
chr2	134118584
chr6	4852403
chr12	13098226
chr1	40059639
chr2	138028693
chr10	79939002
chr16	89115417
chr3	71905622
chr12	6337358
chr9	37785087
chr12	11649664
chr11	118011132
chr15	75625849
chr12	6689528
chr9	273014
chr18	8609256
chr8	30324670
chr6	150168105
chr3	169765206
chr16	81470075
chr1	12081966
chr16	15591083
chr16	20904671
chr15	44735524
chr6	133953116
chr16	11672996
chr16	11233297
chr5	78483956
chr4	138307523
chr17	60398463
chr2	65382991
chr19	2553070
chr3	152376935
chr20	36843571
chr16	77191155
chr1	203861550
chr7	100887777
chr17	78263372
chr20	64079639
chr12	6724035
chr11	75340837
chr3	133661978
chr5	170331320
chr10	117237575
chr21	37221419
chr7	5693647
chr2	127637892
chr1	41684213
chr2	102422051
chr16	50282166
chr10	68956096
chr12	6943952
chr18	44839344
chr5	10445555
chr16	53518903
chr4	40121726
chr12	49663178
chr8	141036231
chr19	45515299
chr1	21175529
chr9	99058117
chr17	35578626
chr7	148839100
chr3	180602136
chr10	72297408
chr17	77342522
chr19	44207435
chr14	71542430
chr8	77000110
chr21	29196543
chr4	186191518
chr6	154355174
chr12	38905000
chr20	1393226
chr16	23826726
chr6	129886791
chr9	92670287
chr1	199041725
chr19	13837037
chr17	64456506
chr3	14178778
chr19	18374530
chr1	192517023
chr13	33368108
chr6	142147226
chr2	113584058
chr19	13156124
chr17	76180036
chr16	81481556
chr17	78378627
chr2	233251553
chr6	25006756
chr6	43053942
chr13	30713318
chr16	30355357
chr6	151452273
chr1	28643070
chr1	15417665
chr12	30695952
chr12	130754613
chr1	111733541
chr14	22556438
chr6	30067189
chr1	28329015
chr12	6335854
chr20	5950551
chr1	21653534
chr4	143912290
chr6	31560486
chr19	19663727
chr17	40101320
chr6	158009652
chr1	87335306
chr20	19828329
chr11	8688987
chr4	78658209
chr17	45226336
chr12	108628589
chr4	70688452
chr15	62658692
chr11	124622846
chr11	61430131
chr1	26744287
chr18	31943182
chr2	68774868
chr4	2835314
chr1	160837693
chr2	191020384
chr12	120783429
chr2	191675994
chr15	58521680
chr6	36755931
chr2	196240381
chr16	2842695
chr8	30744112
chr20	44019798
chr15	90189129
chr5	140691433
chr13	113449252
chr17	10150273
chr15	72686149
chr9	123835300
chr8	141402764
chr10	70331859
chr8	141414930
chr12	49699367
chr21	34865743
chr19	1259365
chr10	71749011
chr11	34046241
chr19	58305337
chr1	89692983
chr1	35931244
chr12	51246455
chr7	44573968
chr21	42924087
chr1	150611699
chr9	72586940
chr3	15427555
chr9	93566576
chr13	46404877
chr21	44925517
chr3	10293003
chr14	54902249
chr15	55222790
chr3	194737410
chr5	109657011
chr16	9047968
chr20	35284822
chr13	114129139
chr19	18479093
chr3	194255522
chr12	95239998
chr14	73886808
chr20	37270740
chr7	73308880
chr19	2085483
chr3	184712977
chr20	49982516
chr14	105033491
chr12	9650894
chr13	45329879
chr4	55853683
chr6	30509344
chr15	63497926
chr2	120253279
chr4	67558679
chr12	56126304
chr11	2400403
chr14	81519610
chr11	65574445
chr3	133211629
chr14	105630941
chr12	26520413
chr1	154157927
chr9	79624024
chr4	105060759
chr12	57936228
chr2	10689982
chr17	58352229
chr1	246330027
chr17	57868210
chr17	42773418
chr17	40533571
chr4	73259158
chr11	18526955
chr2	112584426
chr17	69375425
chr10	43397351
chr5	181191650
chr16	68356603
chr1	206563201
chr8	65830065
chr7	117792366
chr19	41880473
chr17	58679555
chr20	3159916
chr1	154886428
chr14	76956843
chr4	85726059
chr1	220733227
chr8	33515498
chr4	152399466
chr19	40145528
chr4	145013044
chr1	233518573
chr1	36406617
chr1	161561481
chr3	152252140
chr6	37050369
chr9	34123931
chr12	66170008
chr4	184384445
chr15	74540991
chr14	93207083
chr3	151871833
chr1	91569735
chr4	26197585
chr2	120109386
chr17	48944863
chr1	206557196
chr16	68075009
chr2	25418028
chr16	68079806
chr5	16465833
chr16	30075949
chr2	159497404
chr7	139340241
chr1	10992203
chr2	178677790
chr2	177240220
chr2	176781770
chr19	6340448
chr2	218671987
chr5	78760606
chr20	57452085
chr19	49340501
chr12	6663162
chr13	20476059
chr7	813068
chr12	124940856
chr15	45038121
chr15	43106148
chr15	90034513
chr8	11456806
chr1	146052092
chr10	92831113
chr14	34043890
chr17	82450771
chr3	67083475
chr15	43330610
chr1	45544025
chr1	107263260
chr9	128371337
chr3	195260040
chr5	75717163
chr17	81412958
chr5	116577226
chr10	96090270
chr15	81023780
chr2	216109382
chr16	23982009
chr17	83120427
chr6	137225082
chr22	41688895
chr3	50243004
chr3	44624981
chr2	168467047
chr11	86214855
chr1	144551736
chr10	88108383
chr2	65435859
chr12	110450379
chr6	14382948
chr2	37925515
chr9	83956751
chr13	19587086
chr11	45355452
chr1	203289682
chr9	136363839
chr11	74783722
chr2	230712703
chr10	69819973
chr6	26595974
chr19	10236280
chr5	149345401
chr1	221826998
chr20	57628146
chr1	150613707
chr13	28574786
chr5	40797611
chr15	66390875
chr5	40835273
chr19	18291708
chr5	42995121
chr12	98520269
chr1	44807880
chr19	11280073
chr13	28268940
chr15	55196972
chr8	60051724
chr11	10455992
chr10	30027479
chr8	100953387
chr10	11178944
chr11	120344544
chr1	160428882
chr16	807827
chr20	62777146
chr15	74546380
chr1	10988088
chr12	120291815
chr17	47175044
chr16	9079164
chr12	101889564
chr2	197072041
chr9	129888622
chr1	165871548
chr3	195185206
chr2	112056349
chr17	4394735
chr5	141605861
chr21	29224147
chr7	156923317
chr5	141923747
chr9	131630544
chr14	89720975
chr20	49776322
chr19	49212568
chr12	50625222
chr6	170306762
chr3	53167144
chr19	46786590
chr17	42824300
chr3	196444686
chr15	88546720
chr3	186953214
chr17	8858120
chr6	136250326
chr19	6604083
chr1	206708266
chr19	45791202
chr10	48800427
chr21	36488197
chr3	9363046
chr12	105236294
chr20	40986962
chr2	117814638
chr15	58749760
chr2	190319893
chr4	2485231
chr16	89634705
chr15	63194072
chr22	49724272
chr20	41008523
chr12	104974834
chr10	8369824
chr17	3535418
chr1	120850862
chr14	73311540
chr20	41157281
chr1	206784577
chr18	35241075
chr18	35497974
chr20	43927567
chr1	206766491
chr15	90265648
chr2	73737479
chr22	37608651
chr19	46718497
chr3	15647791
chr20	3209491
chr13	79481358
chr15	63503391
chr19	3332444
chr6	85670064
chr2	226772848
chr13	40445709
chr10	13118070
chr8	38805435
chr1	148522718
chr19	17215339
chr20	438844
chr3	111668076
chr10	15860558
chr4	182970762
chr1	86617085
chr10	102399688
chr11	68282255
chr19	52397858
chr15	80999890
chr15	41116650
chr13	30410665
chr12	69284350
chr4	105708727
chr4	185202645
chr10	102995160
chr12	75978111
chr1	84479259
chr11	73876973
chr10	31977585
chr5	17283020
chr22	29202994
chr2	37390652
chr15	34343191
chr8	66428985
chr19	3155249
chr3	126911623
chr20	56468634
chr8	102653814
chr8	33485161
chr8	22604678
chr1	169368175
chr10	117175000
chr11	111446703
chr5	159263260
chr10	60314543
chr13	79450006
chr2	239267580
chr5	43065020
chr22	31630509
chr2	218257737
chr2	218406624
chr10	43418300
chr22	37242635
chr2	216074542
chr19	35648326
chr18	3247796
chr16	30065439
chr14	20490741
chr5	177357804
chr15	44911245
chr11	3057452
chr20	32277588
chr19	39404009
chr11	9314892
chr1	222644177
chr4	110198748
chr14	68734561
chr3	157160216
chr10	27243086
chr5	88827386
chr1	44721719
chr3	46208431
chr12	64610213
chr11	83193669
chr16	25020256
chr14	74618211
chr14	102525641
chr1	28648683
chr2	218217105
chr17	63699445
chr5	68434425
chr16	12801887
chr1	198576200
chr1	23869300
chr1	243287894
chr1	32242532
chr12	62260983
chr2	217223577
chr7	6826336
chr13	45320052
chr10	128064831
chr7	100479274
chr2	57549814
chr17	21034458
chr2	15177324
chr13	29758913
chr17	40820373
chr9	124216913
chr19	48726763
chr3	191248212
chr13	68588850
chr6	47163770
chr6	136784006
chr21	14879644
chr21	5101976
