Chrom	position
chr16	67521454
chr20	56555134
chr11	65574469
chr3	57170274
chr18	51198306
chr2	190319957
chr7	56051575
chr6	32971788
chr5	88827355
chr5	41904167
chr8	123396696
chr7	149195567
chr7	39589871
chr8	22244988
chr15	90059725
chr1	17014004
chr10	124153222
chr17	51121112
chr3	45660244
chr2	58241435
chr3	47347412
chr19	36128007
chr17	50867686
chr10	100267647
chr19	13847807
chr2	43210703
chr17	50152257
chr11	118436154
chr19	14776002
chr16	58426364
chr1	33095213
chr22	20917183
chr12	90253881
chr12	56104373
chr22	20079961
chr2	135985757
chr19	39403725
chr9	124772143
chr2	191020416
chr12	1662140
chr9	4939383
chr2	227472133
chr5	134503446
chr1	27672354
chr13	44917909
chr4	40577259
chr7	22445611
chr7	2400047
chr22	37285165
chr15	92904524
chr6	157764757
chr16	69330735
chr17	38799951
chr7	5424234
chr9	35657880
chr16	4768810
chr13	51584048
chr20	18467175
chr17	48483610
chr10	100997816
chr16	30021621
chr10	22723484
chr7	37284938
chr7	104943804
chr5	176550605
chr11	77994769
chr19	50368858
chr10	34740106
chr15	74546337
chr14	21104595
chr14	34875323
chr10	18659188
chr8	30812872
chr3	52278849
chr10	32958436
chr17	40322673
chr1	44786385
chr12	11799036
chr19	49208395
chr19	51571246
chr2	165954012
chr16	89115412
chr20	62668658
chr17	63842818
chr2	238426769
chr15	41332146
chr22	35377073
chr9	71647368
chr2	126655905
chr19	13151660
chr20	41008571
chr19	45443604
chr16	21300709
chr14	51240154
chr16	56871337
chr17	19508082
chr8	140597248
chr5	121961893
chr11	64270145
chr12	123532243
chr20	32031608
chr1	23865805
chr15	41967962
chr19	45515286
chr15	66390886
chr21	37221418
chr1	161499886
chr7	106111809
chr2	73985925
chr14	93207068
chr16	56609799
chr13	75482464
chr19	47789030
chr2	208255297
chr6	15249064
chr22	29364194
chr16	29721708
chr16	28945689
chr6	31681401
chr1	236604545
chr2	109128206
chr1	92951380
chr7	44020466
chr13	31039393
chr14	103607293
chr5	177300461
chr12	109020984
chr9	32526290
chr11	10598221
chr19	8269162
chr1	32981280
chr9	131656517
chr11	102347081
chr16	22298470
chr12	6953988
chr9	95494521
chr3	123961354
chr8	66428909
chr11	47408108
chr2	231642839
chr19	39125603
chr10	38010457
chr11	46700834
chr17	7133593
chr7	72879254
chr10	104349876
chr16	68356609
chr19	12790302
chr10	106936217
chr19	2740276
chr6	4021368
chr2	229921380
chr10	110305113
chr19	35909472
chr19	14496293
chr13	45329941
chr15	58770990
chr15	34224928
chr4	184355399
chr11	22830099
chr14	50003767
chr17	57597959
chr10	119892384
chr16	50282109
chr7	24966171
chr22	37274712
chr17	45063406
chr17	49676568
chr7	106071608
chr16	87780872
chr18	62715230
chr11	66421709
chr2	55871856
chr19	10269736
chr5	132464476
chr4	26319807
chr19	54370652
chr11	47920526
chr8	103415364
chr4	78657156
chr14	22872751
chr12	89346865
chr6	146596174
chr15	74870150
chr6	30516327
chr2	32165793
chr5	87267758
chr8	100310044
chr16	20806460
chr1	186375802
chr22	38870518
chr15	73697145
chr4	37686582
chr4	38665229
chr6	33280170
chr3	4978776
chr5	14809982
chr17	45148540
chr22	40024904
chr21	29348429
chr16	20900476
chr12	93570908
chr5	400157
chr10	123402666
chr16	50709479
chr16	57544427
chr11	65497449
chr16	88784411
chr15	77187991
chr7	77798824
chr12	56360494
chr19	6528946
chr2	11744202
chr2	27955239
chr10	133257633
chr7	38178045
chr10	110843151
chr8	125430273
chr16	66525023
chr16	66539854
chr19	39402940
chr4	6938438
chr17	60526312
chr2	195656988
chr1	215567255
chr7	131057273
chr20	35768166
chr3	152376928
chr20	63865025
chr1	223081446
chr19	56172081
chr6	31738172
chr3	9650327
chr11	48107322
chr17	83120376
chr8	27963081
chr2	37390678
chr11	118011167
chr22	31490725
chr22	36468168
chr8	77000057
chr12	89160786
chr4	184984166
chr6	30782062
chr6	159000175
chr6	20402911
chr9	93094915
chr2	201781081
chr19	54208221
chr14	56117960
chr1	10940281
chr8	28890116
chr2	64018696
chr12	66169702
chr19	47305491
chr10	73997932
chr13	51330887
chr9	136646515
chr4	100101258
chr9	36729150
chr19	55599637
chr20	1313731
chr3	172592379
chr12	49663229
chr9	112334070
chr15	58332016
chr11	5685017
chr19	1038318
chr15	26082239
chr11	96254342
chr6	157033597
chr12	68365414
chr1	248874085
chr11	46120957
chr8	55885739
chr11	65422327
chr1	145892078
chr17	77916966
chr3	15272028
chr15	65833074
chr11	65254214
chr8	134683520
chr12	132001642
chr2	156334811
chr17	40140161
chr1	31394890
chr15	40054807
chr9	70420941
chr14	65412413
chr20	62777170
chr11	78350946
chr19	3098970
chr6	75284875
chr10	87862259
chr1	202184882
chr12	49092376
chr8	8346591
chr22	46604556
chr5	33440618
chr6	25006761
chr2	55419948
chr17	77389819
chr21	38805737
chr7	2641650
chr4	87422507
chr10	21533711
chr7	104945344
chr11	117970847
chr7	99380332
chr1	54489500
chr3	28241619
chr17	41801662
chr19	16339077
chr19	14005179
chr11	124800706
chr11	57741383
chr16	57098654
chr1	151327629
chr15	44427032
chr6	35523075
chr5	159100275
chr7	96709862
chr5	55995247
chr11	63974661
chr7	106895369
chr16	67547089
chr1	159780737
chr1	181062592
chr7	101124814
chr11	76444847
chr10	133314115
chr6	31827570
chr1	244969858
chr17	45429099
chr1	58546683
chr1	234851659
chr18	9913713
chr1	109283335
chr19	2611281
chr6	136644392
chr15	31264251
chr4	105708703
chr19	2543710
chr11	2527244
chr12	12267174
chr2	55050928
chr2	37084460
chr6	40719818
chr19	55141444
chr7	593536
chr14	23286452
chr17	48585686
chr21	42009303
chr8	37900498
chr19	44754417
chr19	51127858
chr6	43369877
chr9	75089218
chr6	3023915
chr6	30682856
chr6	45741743
chr15	30903754
chr16	19805033
chr17	77319453
chr1	26620762
chr12	124551874
chr6	29650303
chr17	39864218
chr3	151171354
chr11	33161655
chr12	51246441
chr15	55993614
chr7	16934098
chr9	81689869
chr2	48111436
chr12	104546731
chr12	67989297
chr1	93345879
chr13	20476081
chr11	65420097
chr16	47493168
chr11	8911161
chr22	19947808
chr9	120897328
chr19	12163164
chr2	11466285
chr1	201983334
chr16	15899793
chr17	46736299
chr2	62705504
chr10	32346254
chr5	132114790
chr4	143184717
chr19	48107612
chr11	61333429
chr17	48892282
chr7	112081198
chr6	31197693
chr10	52217072
chr5	137752082
chr2	157876396
chr1	203287699
chr20	833469
chr5	75511785
chr2	25210458
chr5	172150818
chr5	111757395
chr4	128863603
chr5	172412942
chr15	74835486
chr15	40109098
chr7	156893608
chr3	100073957
chr1	172746445
chr12	7092506
chr21	41361882
chr14	100640730
chr4	128811179
chr3	50569285
chr6	30877839
chr6	85644154
chr3	50612038
chr14	32028837
chr16	22192558
chr18	38611222
chr1	207885314
chr7	23597431
chr7	100673444
chr7	101856541
chr4	15681777
chr7	143902096
chr17	5469083
chr17	29219543
chr2	206084539
chr3	146544663
chr4	76208610
chr1	100894932
chr17	4940552
chr12	57522471
chr6	32953309
chr11	95067076
chr17	57993940
chr16	68079891
chr9	93575871
chr1	32741443
chr1	168178820
chr19	48320239
chr17	10150269
chr12	106774183
chr7	140653538
chr5	91311973
chr22	42533140
chr11	59142829
chr17	32079986
chr2	117814613
chr12	50070625
chr7	100335889
chr19	14207020
chr17	79994012
chr20	37576071
chr19	47257534
chr2	74458105
chr2	39851791
chr11	67572937
chr1	154405335
chr7	1664992
chr15	58521673
chr18	62815584
chr8	129682130
chr1	94963019
chr8	102752466
chr12	98491086
chr2	39437321
chr12	121133293
chr2	113390374
chr11	35036188
chr17	78987026
chr8	21960200
chr1	44672472
chr1	24688849
chr15	22494658
chr12	11766267
chr2	241966150
chr6	31043020
chr1	35031906
chr17	38706173
chr3	172750997
chr6	14910865
chr11	64847353
chr1	2290907
chr20	50338963
chr9	95462679
chr12	93571595
chr15	84735213
chr9	37800715
chr7	91264306
chr7	128398781
chr9	6681504
chr3	172512618
chr1	9627065
chr15	68819111
chr17	3827415
chr2	58039308
chr1	157377383
chr22	39352153
chr17	30728686
chr12	100554765
chr9	114448898
chr16	29973908
chr5	80755067
chr2	227406332
chr16	30166375
chr3	12868196
chr2	7773535
chr1	35079267
chr16	31459448
chr17	82106648
chr1	154407466
chr19	43669045
chr17	30708815
chr16	69469940
chr10	103757877
chr19	12365971
chr8	65951673
chr8	102654149
chr12	111445219
chr10	29659277
chr3	23829672
chr12	27460870
chr3	69368350
chr14	67816755
chr16	48318815
chr12	54384796
chr17	27544770
chr7	150378377
chr1	109112874
chr4	153342004
chr9	129888795
chr1	202616123
chr12	52880062
chr6	109304609
chr19	47013185
chr11	110430583
chr9	93453717
chr11	36594494
chr15	75125453
chr1	45544053
chr17	4731576
chr16	30065439
chr15	40550845
chr12	1583565
chr15	40544071
chr7	76292092
chr1	154183335
chr21	41420593
chr12	104986212
chr2	8516157
chr3	45568012
chr17	44345860
chr8	26577106
chr12	92035175
chr1	19315650
chr22	41448508
chr9	136656103
chr7	30284811
chr5	56816828
chr1	41684246
chr9	136766717
chr3	50601315
chr6	52352533
chr9	33264937
chr2	174487447
chr1	234978503
chr16	57810555
chr13	99498860
chr12	13255932
chr19	16118827
chr21	33442307
chr11	12090233
chr9	136530364
chr5	119412032
chr13	52450198
chr20	34516269
chr6	26596798
chr5	160262930
chr9	124832945
chr19	41262516
chr3	151871844
chr7	35802034
chr22	42552127
chr1	226128105
chr12	100988135
chr2	25228954
chr1	27869448
chr19	41871723
chr19	34173532
chr5	66144385
chr1	229559004
chr2	32063370
chr6	129748471
chr17	44111261
chr12	53066184
chr11	18651297
chr19	45607435
chr9	134404085
chr2	10097588
chr19	13164676
chr20	36950842
chr12	109595560
chr17	63773762
chr7	50416621
chr10	63703245
chr10	80662906
chr6	137309379
chr1	198156973
chr6	31367023
chr1	224503751
chr14	20427867
chr2	24084596
chr1	15617268
chr17	76493220
chr14	64338962
chr6	6857305
chr2	111071892
chr1	111755837
chr14	103260717
chr12	124568854
chr20	3160006
chr2	210171618
chr19	10424447
chr9	127882754
chr14	22982850
chr14	99995893
chr8	122733718
chr16	85556921
chr8	8753113
chr1	91572241
chr10	48634458
chr10	97869537
chr15	74399994
chr1	109076141
chr1	28197124
chr20	59770364
chr6	137928025
chr6	31158508
chr12	30851348
chr5	139512070
chr6	33019189
chr6	29628838
chr15	64460468
chr10	99619468
chr2	47071690
chr1	19800520
chr14	65224960
chr19	39131588
chr1	207890446
chr3	47266894
chr17	49515296
chr12	124994710
chr1	161389890
chr12	79935367
chr22	28802398
chr10	33008860
chr5	140612171
chr1	36099862
chr17	75941264
chr10	34781003
chr18	63138467
chr2	64260955
chr6	129684201
chr1	158285999
chr10	49190265
chr19	38003642
chr4	118836690
chr6	24934064
chr3	44624944
chr18	58887788
chr19	48170544
chr13	110536482
