Chrom	position
chr4	165327507
chr22	41833015
chr12	124939817
chr14	20343425
chr5	43313727
chr5	75337021
chr8	124998343
chr17	68019950
chr10	3785426
chr6	61323046
chr5	111512716
chr16	88663193
chr8	11802585
chr6	26568826
chr20	34876247
chr6	31863031
chr11	6481529
chr19	11089367
chr6	125780365
chr2	11744224
chr17	17840236
chr5	72308436
chr1	54887306
chr10	100373469
chr6	26571948
chr1	155308729
chr9	124110504
chr19	58401417
chr10	100347051
chr11	66421807
chr9	131373482
chr1	161540240
chr1	36464432
chr11	71448504
chr18	23586941
chr2	27050745
chr14	75660951
chr17	19508161
chr16	46388721
chr11	43680520
chr21	46228924
chr3	5023475
chr19	1940769
chr1	11806137
chr5	168579817
chr6	159762411
chr17	28319060
chr16	3152864
chr5	140718914
chr1	1116221
chr6	53359481
chr19	8161381
chr20	31060544
chr19	12832597
chr19	38850453
chr16	58129603
chr10	1049040
chr19	39412295
chr16	15154901
chr22	30261300
chr6	16322574
chr22	30212773
chr1	201955331
chr19	40778151
chr2	26345940
chr20	36809030
chr19	45478733
chr11	68460253
chr4	49711550
chr14	95534844
chr12	92145945
chr1	148529352
chr19	4769716
chr19	11319445
chr17	17823831
chr14	63642065
chr1	143247066
chr16	22195815
chr6	28896352
chr1	206203231
chr19	11090471
chr12	125049752
chr1	110964045
chr10	42083563
chr11	121292669
chr19	1383518
chr21	8234511
chr19	1021446
chr3	48661869
chr1	55039476
chr6	53349025
chr3	15160781
chr1	44674608
chr16	1309170
chr17	75096329
chr1	634029
chr2	111920433
chr17	80856650
chr1	629946
chr14	102317068
chr9	35658087
chr14	22929664
chr1	45550845
chr11	65487718
chr20	50980409
chr1	150629252
chr10	91887374
chr19	31066564
chr12	26791519
chr11	59551136
chr4	110193963
chr19	38832038
chr14	20683245
chr7	148983709
chr19	39970980
chr17	7615159
chr1	145129196
chr17	8220969
chr1	31483550
chr7	44123623
chr21	39312444
chr16	22297135
chr16	2215154
chr5	49666221
chr2	92081323
chr17	41919181
chr1	143238483
chr9	126082874
chr1	143273131
chr12	132770234
chr6	26533008
chr17	67487234
chr5	138331931
chr8	66775272
chr12	1690965
chr20	34526076
chr13	33353459
chr11	121575408
chr2	30146534
chr1	176241619
chr2	10278589
chr2	234446560
chr2	29108398
chr4	49651460
chr1	10398950
chr5	176359790
chr16	69424550
chr12	93773291
chr4	51107365
chr5	176897525
chr10	24724738
chr17	50178498
chr13	49563733
chr2	740692
chr4	49121025
chr3	169772144
chr6	57046581
chr12	26130830
chr11	66017527
chr20	33720372
chr7	1160318
chr19	48834126
chr8	232374
chr9	89994311
chr19	49987323
chr11	117907432
chr1	161523948
chr17	45135615
chr19	52910904
chr20	5611088
chr11	119381745
chr10	42104589
chr21	45088863
chr7	157272085
chr11	66289204
chr18	49561979
chr22	46069957
chr7	25125379
chr4	15906099
chr12	56190331
chr1	85279044
chr14	100068654
chr1	212858265
chr22	35364358
chr14	32203332
chr17	26885773
chr22	38181867
chr22	31676866
chr1	101264811
chr1	26811909
chr19	342928
chr8	82101913
chr1	207053153
chr1	53326365
chr1	94713883
chr6	31796143
chr2	173159958
chr9	33001659
chr19	4724041
chr14	20461703
chr11	17208084
chr7	106285450
chr17	82098334
chr1	54971490
chr6	36118693
chr11	71563562
chr11	62702478
chr6	4036358
chr8	141208962
chr2	27051178
chr7	44074088
chr6	110097073
chr4	102403341
chr12	124381951
chr9	127740825
chr9	133460079
chr10	25016575
chr9	78030676
chr6	6657685
chr15	89515054
chr17	36199231
chr4	184748273
chr11	112290449
chr6	138499582
chr11	113184708
chr20	31968586
chr12	76158786
chr19	47383604
chr19	49458143
chr20	23529157
chr17	82519595
chr16	89102245
chr7	76423639
chr16	89100067
chr2	222709666
chr7	901633
chr11	61827960
chr9	134164629
chr4	54539832
chr17	31680218
chr15	45200531
chr2	237898806
chr1	63523336
chr14	90633142
chr2	9003976
chr9	127833800
chr10	38356113
chr18	7038606
chr18	21183906
chr2	11271049
chr5	7756594
chr11	26284921
chr5	122849999
chr2	239978614
chr15	42289283
chr2	16034727
chr17	31550075
chr8	142773027
chr1	167637911
chr3	187811983
chr15	41972705
chr18	49055976
chr22	35589542
chr7	80634630
chr16	1543467
chr17	57662927
chr3	119582311
chr20	433829
chr20	401918
chr3	45689238
