Chrom	position
chr19	4769670
chr12	104531985
chr10	73555168
chr3	137916131
chr16	85482633
chr6	24127197
chr15	51973721
chr3	135969991
chr6	21306280
chr20	62793418
chr3	134844242
chr9	34494151
chr18	54774556
chr16	86597531
chr21	16855682
chr18	47018799
chr13	22051335
chr13	27103749
chr9	33722287
chr13	27441795
chr1	63087717
chr5	55412566
chr18	44786908
chr12	133003066
chr20	62284697
chr18	67067622
chr9	37079549
chr1	54411814
chr11	919351
chr12	124118338
chr1	211776912
chr6	26565897
chr7	45307042
chr9	37381554
chr1	55181499
chr19	591682
chr8	41753587
chr6	25652637
chr9	37027695
chr10	72163889
chr1	210111154
chr12	125667882
chr20	61701383
chr20	61713831
chr3	139516779
chr18	71575736
chr9	35657886
chr18	44781134
chr15	48483232
chr20	60527224
chr7	104192746
chr1	202662270
chr10	125374614
chr6	4648018
chr10	124671603
chr17	80696307
chr13	52810561
chr9	4666491
chr17	80606298
chr1	93416853
chr17	80328639
chr22	17601398
chr15	40714271
chr17	80194263
chr13	53542421
chr7	72350576
chr17	80060862
chr10	122273733
chr3	123005326
chr13	79163553
chr7	72722906
chr13	93876988
chr8	56015574
chr7	66057413
chr18	5197188
chr18	13179718
chr21	34499805
chr18	34850199
chr10	134007974
chr6	12752130
chr10	133868258
chr21	38593771
chr10	133836743
chr1	205428277
chr3	128598340
chr13	34184675
chr18	5868428
chr1	75197407
chr15	45329474
chr1	204806794
chr5	59743488
chr8	50824294
chr15	45018993
chr16	89396719
chr3	127347750
chr8	54790564
chr11	1260272
chr20	60183532
chr1	35390602
chr8	30114714
chr1	38455752
chr20	36255572
chr12	98987454
chr1	225117386
chr12	101220293
chr20	37064022
chr15	66297194
chr19	11404612
chr19	11376653
chr3	158362374
chr1	38230150
chr7	37092479
chr19	10806632
chr6	31261298
chr17	29721781
chr20	40653482
chr3	158086312
chr16	71501832
chr12	109284179
chr20	42159516
chr3	167098083
chr5	13867127
chr5	16179077
chr20	33815023
chr20	31797742
chr19	15742787
chr9	97385720
chr1	36126743
chr19	15734719
chr1	36342783
chr1	226163835
chr19	14583207
chr19	13885240
chr19	13552876
chr10	60937297
chr19	13056610
chr19	12943391
chr19	12902325
chr20	34583100
chr7	129251449
chr1	37432078
chr20	34824380
chr12	95273536
chr8	28514922
chr11	6374848
chr20	42876985
chr15	53485582
chr16	78080032
chr19	3783856
chr12	119083218
chr12	119499219
chr7	44078970
chr1	50745814
chr1	50774706
chr20	50211732
chr7	44084198
chr20	50633594
chr19	2740245
chr19	3877100
chr20	52486516
chr15	60695050
chr9	44993613
chr1	212118264
chr20	56812309
chr19	1897756
chr11	1423014
chr12	122711069
chr6	27599198
chr9	74393201
chr1	47201585
chr12	109531275
chr20	47139878
chr9	90277955
chr19	7990274
chr12	110174616
chr15	65020584
chr19	7627894
chr8	37010988
chr19	7574703
chr1	214435038
chr12	113229362
chr9	80190877
chr19	4124321
chr19	5954941
chr16	74847184
chr12	113918088
chr9	77617070
chr19	5341043
chr6	28763801
chr9	75473419
chr12	118870117
chr19	4173220
chr10	120355776
chr13	93901040
chr5	78281681
chr17	2653246
chr1	172686960
chr3	10502040
chr10	99834263
chr3	10636778
chr3	10795866
chr3	11006475
chr8	129157336
chr5	141892442
chr17	45863266
chr17	45727213
chr17	45570010
chr5	110427971
chr8	91095047
chr1	153963239
chr5	141263129
chr5	140420854
chr8	125643606
chr3	13692133
chr1	154540451
chr17	43275313
chr3	14639945
chr1	153425088
chr1	153395129
chr3	10362821
chr1	175712280
chr5	157888475
chr17	10633221
chr22	50431981
chr14	50511876
chr8	137130261
chr22	50468900
chr3	57094585
chr10	102440683
chr5	154062591
chr22	51038717
chr3	52720069
chr1	175695003
chr3	54222390
chr14	105071245
chr14	104544546
chr14	104347852
chr3	9594054
chr5	146204799
chr5	101435859
chr7	90338269
chr10	99344994
chr3	25075059
chr17	42092348
chr14	93380602
chr17	38020454
chr17	37748778
chr8	112576721
chr17	27333065
chr5	135701051
chr5	131348412
chr1	159147276
chr3	48699296
chr3	50362147
chr17	35060425
chr10	95462420
chr3	49066835
chr14	93389874
chr17	34820005
chr17	34071032
chr5	133984256
chr17	33030815
chr1	161500934
chr5	132901855
chr1	161672170
chr14	89444322
chr5	137795185
chr1	170501116
chr3	37934540
chr14	74769594
chr1	169565185
chr14	75643263
chr3	31418730
chr8	95732045
chr7	99719937
chr17	21226441
chr14	77600278
chr14	77675234
chr1	155715372
chr14	81685731
chr10	88066626
chr5	137911060
chr3	51740904
chr14	78865840
chr3	38847468
chr7	99686541
chr3	42341678
chr1	156384480
chr3	50609741
chr3	58506989
chr22	47194681
chr14	105202768
chr17	73029977
chr17	5185566
chr22	34811023
chr22	35768207
chr3	78893688
chr7	100701873
chr17	6173036
chr17	6207192
chr17	6555444
chr17	6925456
chr22	37935022
chr1	111289491
chr17	72667554
chr17	7059834
chr5	175395162
chr5	175295280
chr5	175224030
chr22	39220712
chr5	174749121
chr10	105038777
chr8	144309748
chr5	176928128
chr5	177591357
chr8	144025191
chr15	35045659
chr3	119187790
chr1	98513972
chr22	23418182
chr22	23747049
chr8	62200799
chr7	100808870
chr17	3336689
chr1	107678274
chr13	99829021
chr3	113897820
chr1	185643527
chr8	67089865
chr8	145560403
chr15	34730061
chr5	180038338
chr17	77290752
chr17	77188757
chr17	4316647
chr3	99595020
chr14	20929842
chr22	39874609
chr1	119471795
