Chrom	position
chr4	70698463
chr2	118572125
chr7	97841193
chr1	169117884
chr18	11005724
chr5	142975892
chr13	50819220
chr3	146902668
chr2	175927922
chr5	29759323
chr8	16909261
chr14	54664180
chr16	20610260
chr8	6605920
chr14	61282245
chr6	26924014
chr10	60833422
chr7	17139240
chr21	16813526
chr2	86850997
chr16	52432573
chr1	207277463
chr2	139039795
chr8	33417887
chr2	139033615
chr4	111115159
chr11	2232487
chr17	60163589
chr6	541012
chr8	37002445
chr17	59887635
chr2	207164516
chr2	139265022
chr2	139274103
chr8	37451897
chr14	36560475
chr2	138865048
chr6	168358046
chr4	110725503
chr2	139402525
chr8	37553229
chr14	36989952
chr2	139477956
chr4	110723292
chr17	59504391
chr11	1711297
chr8	37462144
chr17	60241345
chr17	60186985
chr8	32410085
chr2	135215548
chr4	113204588
chr5	180633867
chr11	6628290
chr17	61655852
chr17	61600508
chr17	61505809
chr11	6374832
chr17	60869683
chr4	113091736
chr17	60781312
chr2	136820162
chr4	113004556
chr6	168727177
chr4	112563467
chr2	138790061
chr17	60618669
chr11	3926825
chr17	60550629
chr8	32949431
chr2	138705516
chr6	168646154
chr6	188966
chr17	60317128
chr11	3733683
chr17	60282599
chr2	138733301
chr2	143503541
chr11	3113206
chr8	32996814
chr8	37594077
chr6	168163163
chr2	143621310
chr17	58267605
chr14	37883109
chr11	396650
chr2	148642581
chr2	148747580
chr4	108104523
chr11	308133
chr14	37935885
chr17	58635429
chr2	149119911
chr2	149168678
chr6	167835033
chr2	149267182
chr6	167811986
chr17	58382753
chr6	1190777
chr17	59494367
chr17	58217338
chr2	152476047
chr2	152498624
chr4	107185694
chr2	152616832
chr4	107179483
chr10	134007979
chr2	152849897
chr2	152852406
chr6	1335795
chr10	131591956
chr8	38895827
chr8	38967271
chr2	148567306
chr2	147840651
chr8	38042140
chr6	167914390
chr11	1674134
chr11	1423024
chr11	6724915
chr4	109665668
chr6	168162132
chr17	59416476
chr11	1285819
chr11	1260258
chr2	143792073
chr11	1051297
chr17	59405815
chr17	59378533
chr8	37894657
chr11	942400
chr4	109541737
chr4	109513915
chr6	168076942
chr17	58844272
chr17	58807417
chr8	37970949
chr2	146535119
chr6	1072086
chr2	146558136
chr17	58752071
chr11	561556
chr4	108557090
chr8	38024262
chr4	108543385
chr14	37854658
chr11	6704653
chr2	133617326
chr4	113445172
chr14	32721454
chr8	28588400
chr4	123523930
chr17	64377479
chr17	64339936
chr4	123188026
chr11	12824317
chr17	64251352
chr11	12754848
chr11	12695900
chr7	1595173
chr8	28843471
chr4	122745154
chr2	121308546
chr11	12240660
chr4	122612840
chr4	123683832
chr14	32729069
chr7	1546746
chr17	63512305
chr11	11835024
chr2	122536877
chr7	1289556
chr11	11287759
chr8	29628130
chr17	63435191
chr8	29732659
chr14	34318580
chr4	120464527
chr11	10757496
chr11	10676000
chr4	123638187
chr11	12924842
chr17	63199158
chr2	120191697
chr11	14701399
chr11	14697834
chr11	14691683
chr5	177008765
chr17	64547284
chr8	27975509
chr2	120165510
chr8	27986154
chr4	124271539
chr8	28022961
chr2	120183596
chr11	14606328
chr11	14605107
chr4	124261658
chr11	14569142
chr14	32336987
chr11	14562908
chr2	120195938
chr4	124230034
chr8	28277211
chr17	64499057
chr11	14037351
chr4	123985737
chr11	13319717
chr8	28514944
chr17	64444360
chr8	28569874
chr11	13136546
chr2	120599331
chr4	123688229
chr17	63290517
chr5	178957827
chr2	134644392
chr11	9126321
chr5	179223690
chr6	171047516
chr11	9682656
chr11	9635802
chr2	129352870
chr11	9590991
chr8	30172209
chr4	114606180
chr8	30182356
chr11	9528494
chr2	130886912
chr4	114567172
chr4	114562360
chr6	170675846
chr5	179402378
chr17	62690546
chr2	131911749
chr11	8835353
chr4	114102615
chr11	8816494
chr17	62183026
chr4	114074883
chr2	133174148
chr11	8525836
chr11	8350541
chr4	114063231
chr4	106395245
chr11	8008723
chr17	62137808
chr2	134523514
chr5	179182264
chr4	114706191
chr5	178981035
chr17	62915623
chr11	10427907
chr11	10388367
chr8	29816118
chr8	29816800
chr4	120223438
chr11	10344674
chr5	179095598
chr7	913164
chr7	901044
chr11	10310631
chr4	120014351
chr8	29873760
chr11	10237090
chr7	772057
chr2	128236991
chr5	179111129
chr8	29970749
chr11	10012381
chr11	10004873
chr4	119624455
chr14	34600376
chr4	119590539
chr11	9954617
chr7	543389
chr11	9883858
chr11	9880547
chr14	34697392
chr2	128742352
chr4	117279948
chr4	115208630
chr17	57851653
chr10	129077766
chr4	106392931
chr6	161971503
chr2	165873486
chr17	53146390
chr8	52811815
chr10	114250510
chr4	99919288
chr10	114325417
chr10	114403540
chr17	53434271
chr6	162479629
chr10	114418986
chr10	114449268
