Chrom	position
chr19	58912825
chr1	43148842
chr5	81046945
chr3	195163930
chr21	43916398
chr19	39342579
chr1	38156136
chr16	75657027
chr11	77850711
chr16	84178890
chr20	305134
chr12	118454449
chr21	40817692
chr1	218458682
chr10	11916916
chr22	23864201
chr3	193852907
chr19	18228638
chr17	2305050
chr16	759747
chr1	43637922
chr10	105992128
chr12	96883324
chr11	116969304
chr11	117014882
chr1	38061552
chr1	21525653
chr11	3013743
chr9	136024903
chr9	136203056
chr6	39197214
chr9	132586545
chr10	111970988
chr16	58529200
chr8	124553561
chr19	54370888
chr1	113008871
chr19	12834770
chr19	12893762
chr1	165567438
chr11	12132006
chr19	10812103
chr19	10806637
chr6	144164499
chr22	51222050
chr3	160283566
chr1	6454207
chr17	7184776
chr11	62607037
chr20	3762089
chr17	33307471
chr1	210001326
chr12	49454676
chr22	31063892
chr8	103425179
chr21	46707884
chr5	154134578
chr15	89164556
chr19	18392574
chr16	23690017
chr15	74284565
chr15	69706526
chr4	89514410
chr2	55920949
chr17	61851246
chr6	33422395
chr15	68522441
chr11	66050051
chr9	38392748
chr13	28713582
chr10	104001523
chr12	132568616
chr19	1672524
chr17	71088851
chr20	44420526
chr2	191885100
chr6	31763485
chr4	17579058
chr1	230562450
chr1	155579783
chr12	124118255
chr17	45728185
chr15	78591939
chr7	100487116
chr12	13254256
chr8	42195535
chr16	88772922
chr1	185286417
chr1	156571249
chr9	138391715
chr2	11919472
chr17	42148050
chr7	150780706
chr5	177580873
chr1	894626
chr1	26799652
chr15	41407862
chr17	1303570
chr10	15210544
chr10	5488619
chr9	97488963
chr2	239229089
chr11	67276234
chr19	10530647
chr8	144679321
chr10	5454562
chr2	241771961
chr13	24463555
chr19	3360669
chr19	11484423
chr6	151187461
chr16	24740876
chr19	54663638
chr3	38388311
chr6	136571451
chr6	117996523
chr19	5341043
chr16	69760440
chr19	58331116
chr6	41513909
chr16	68554728
chr2	216176787
chr10	135186869
chr3	39222415
chr19	41903267
chr19	4670380
chr6	42897209
chr9	33473911
chr19	4457971
chr6	43484801
chr6	47277669
chr6	53412910
chr1	55181684
chr6	33378153
chr6	83775520
chr3	15106695
chr2	232469547
chr6	111303262
chr16	30959655
chr12	49524081
chr19	6110606
chr8	144513046
chr19	34895664
chr14	105452153
chr21	35014155
chr7	102105380
chr1	32671216
chr14	102771514
chr1	226595762
chr21	45148539
chr7	99698360
chr7	913183
chr7	99679531
chr21	46961734
chr11	119205261
chr22	18560758
chr22	19159202
chr7	86781591
chr19	18682521
chr15	72598781
chr19	45909905
chr20	39657150
chr10	102107795
chr8	681214
chr15	41047461
chr15	40861516
chr20	48808987
chr1	26438305
chr20	56293761
chr19	45579770
chr19	41168882
chr19	45582440
chr15	34730113
chr7	148959274
chr7	135195080
chr20	43589052
chr10	101945764
chr7	129710248
chr15	101792245
chr7	72722820
chr7	72395550
chr14	58893910
chr14	55878559
chr1	16563707
chr14	50999370
chr1	44435665
chr1	44445575
chr16	8891698
chr8	130952584
chr20	1373658
chr16	14728089
chr7	2559313
chr16	19729537
chr7	2393691
chr1	206808798
chr7	1577786
chr7	1513872
chr7	19748659
chr16	3550940
chr22	21983657
chr6	19804997
chr20	30085849
chr1	39325574
chr8	99129484
chr8	101162884
chr16	1470765
chr19	17346606
chr8	101734797
chr19	17012807
chr8	101964352
chr19	15543651
chr22	32026573
chr1	246729526
chr22	32058213
chr1	17766193
chr19	14117117
chr6	20403685
chr8	1771956
chr10	32635163
chr17	75084779
chr5	133984418
chr9	129987732
chr2	27712571
chr11	20409288
chr12	56862307
chr2	74648779
chr11	64851501
chr17	76210369
chr2	118572286
chr11	60609551
chr3	129612738
chr1	156542350
chr17	34958045
chr1	115259455
chr17	7117423
chr3	127842642
chr17	42404376
chr17	43025112
chr17	5342398
chr12	121454252
chr1	156456904
chr1	110036685
chr2	71357775
chr3	122102082
chr12	53448158
chr17	4268574
chr17	7789409
chr4	184427525
chr5	158636843
chr12	100594493
chr12	56499123
chr1	145438425
chr9	132020917
chr2	88991331
chr12	105380223
chr5	65018084
chr17	36908767
chr3	183602693
chr1	2574741
chr17	37558947
chr2	32853208
chr17	38269653
chr11	62559457
chr18	33709910
chr2	29117531
chr12	110151470
chr17	40688611
chr1	118472398
chr11	63706235
chr17	78010402
chr3	195681409
chr4	186347403
chr17	13972777
chr5	110074646
chr17	8152637
chr17	8113916
chr4	2420670
chr11	59328601
chr9	132176075
chr10	44070014
chr16	89895066
chr12	124155662
chr17	56083989
chr17	72772500
chr1	155715376
chr19	1269760
chr19	1174294
chr2	170550939
chr9	112083440
chr2	10588148
chr12	122516293
chr6	8102556
chr19	1407315
chr19	984347
chr17	2615076
chr4	7044711
chr4	83812338
chr2	172289988
chr1	840169
chr4	25916098
chr17	66031836
chr5	893027
chr7	73588487
chr17	57784794
chr5	271675
chr1	222638957
chr15	102192541
