Chrom	position
chr5	110919152
chr5	9189294
chr14	24721239
chr1	177494545
chr13	114540345
chr22	28029122
chr3	124670076
chr4	190543857
chr1	201700911
chr2	69104339
chr7	85458583
chr5	124363306
chr1	116018612
chr7	105653802
chr5	72968584
chr15	25879243
chr6	15080233
chr9	82655517
chr9	84295695
chr5	9788143
chr22	33696326
chr5	14908529
chr1	231954163
chr10	64314592
chr11	75301143
chr5	30568414
chr5	68792748
chr1	238118123
chr5	164578551
chr10	117884716
chr1	242349184
chr4	12259967
chr3	55937875
chr5	42631567
chr3	186426934
chr9	123446832
chr22	28439531
chr4	144970009
chr1	226662585
chr2	586740
chr8	105337131
chr17	46581168
chr17	59444453
chr17	63169860
chr13	35305249
chr1	47957199
chr1	83738333
chr16	87759432
chr19	4010949
chr19	11268520
chr19	35278547
chr2	6310248
chr22	27438002
chr7	116186242
chr1	116661218
chr7	99824455
chr12	76333229
chr12	71277763
chr2	118604434
chr2	172370241
chr2	227896268
chr6	109292685
chr20	62562502
chr6	33854903
chr14	37274537
chr20	13381283
chr10	90998873
chr4	148095170
chr11	45699548
chr22	34327582
chr5	73022600
chr19	18823948
chr15	75199716
chr10	33621515
chr2	217708672
chr1	81796447
chr16	83915882
chr11	78647162
chr5	81046910
chr9	3420245
chr9	3455947
chr12	116941028
chr9	89451818
chr9	89703284
chr8	70378993
chr9	112798774
chr4	102122860
chr10	34123218
chr2	196340125
chr17	39621219
chr9	124764143
chr16	85344693
chr4	2420726
chr12	8732296
chr4	141387277
chr14	51172100
chr1	41835145
chr2	9901703
chr12	107838622
chr9	85710943
chr1	199877405
chr2	75513241
chr19	16952578
chr15	36763573
chr6	123760664
chr6	123816864
chr7	38611411
chr6	126439369
chr3	129216872
chr5	92298660
chr12	75920554
chr2	120249961
chr3	79331620
chr12	41976479
chr2	132292681
chr13	32856458
chr7	135044501
chr10	10043428
chr15	57704323
chr14	23074020
chr5	128992797
chr8	129121397
chr8	49493190
chr6	170687277
chr12	48519856
chr10	85298133
chr6	167551549
chr3	58232032
chr13	36073482
chr1	181483843
chr17	1750667
chr12	52936575
chr3	21479881
chr4	103501838
chr3	123094070
chr15	42441082
chr13	45889817
chr2	126756307
chr5	109075804
chr17	71963770
chr1	12246317
chr16	24676243
chr8	55850632
chr10	97227154
chr1	169556265
chr5	112679187
chr17	6492715
chr12	32520544
chr12	119495247
chr10	94235270
chr10	101939039
chr2	36395458
chr9	38651595
chr21	36478791
chr15	94498607
chr5	3123312
chr20	536618
chr13	94157808
chr14	105379974
chr12	120683040
chr5	35015404
chr5	6767001
chr15	27633829
chr13	105468033
chr10	70866881
chr6	82459583
chr5	31631155
chr4	57945520
chr7	155396098
chr1	52889682
chr19	2189136
chr15	102036968
chr1	223254673
chr20	62385694
chr1	213554990
chr1	40035038
chr2	43309781
chr1	87291018
chr20	36549494
chr2	34468099
chr4	188272399
chr15	96960210
chr4	129314727
chr4	190881221
chr2	233365188
chr8	141684404
chr5	43101852
chr2	241176168
chr6	77262182
chr12	125246547
chr6	34266934
chr12	98819874
chr2	67791981
chr12	32271964
chr16	24158070
chr8	10618643
chr13	101314942
chr6	90140114
chr3	23912041
chr20	47139838
chr15	98411288
chr9	97913364
chr1	94050924
chr6	149195957
chr18	65985833
chr12	612602
chr5	142492311
chr11	46550952
chr3	16813750
chr2	183449318
chr13	31572023
chr10	4495634
chr12	29726122
chr8	4884874
chr18	59418237
chr19	41146291
chr18	8110967
chr1	208396278
chr2	167944883
chr3	41301357
chr10	88390000
chr19	39491966
chr17	2808800
chr1	208684812
chr18	8301670
chr2	173557930
chr18	10777308
chr5	153083800
chr3	35903715
chr5	160449132
chr11	58341571
chr1	182477109
chr1	208342624
chr11	126282119
chr9	94570174
chr8	36287637
chr1	46939829
chr20	22922392
chr11	124352450
chr20	45842825
chr2	161492209
chr1	94747117
chr6	114063772
chr12	115515174
chr11	113030951
chr21	40691572
chr18	39733009
chr12	11211901
chr1	198500223
chr2	222043042
chr21	37407995
chr1	228917116
chr20	4662224
chr1	229004171
chr6	125691675
chr1	229320004
chr5	138283561
chr1	195206377
chr15	76804874
chr22	28470638
chr12	3783322
chr21	43271713
chr22	28288202
chr1	26537147
chr6	113043838
chr13	24726897
chr14	89500354
chr4	119080379
chr21	45385971
chr1	200211824
chr6	19554777
chr15	80906541
chr11	102828819
chr11	99223575
chr2	227900579
chr12	100557805
chr1	230106697
chr7	150658263
chr19	36048658
chr6	47210428
chr21	16556233
chr6	47051472
chr5	178914007
chr9	88655918
chr18	25129835
chr2	198834259
chr8	121370711
chr11	114754974
chr6	47945228
chr8	28936364
chr16	22036569
chr6	92464575
chr1	184987266
chr20	55982152
chr6	2743667
chr6	139724433
chr1	28585768
chr13	28989089
chr6	137404338
chr6	4378033
chr6	4433650
chr4	124245302
chr7	139748172
chr10	79047579
chr1	94797674
chr15	74551276
chr6	45848154
chr12	117135705
chr6	105745572
chr6	13362863
chr19	17250300
chr5	138976940
chr7	107121513
chr11	45705423
chr11	3889205
chr1	112926542
chr11	7725505
chr2	8645899
chr7	40611633
chr10	36735844
chr2	78007231
chr13	59560205
chr5	56273202
chr1	1560686
chr17	12155994
chr3	194041755
chr2	72070635
chr17	34859501
chr15	34551958
chr10	126030641
chr4	3912144
chr1	112519589
chr9	117758066
chr10	33947732
chr3	156802173
chr8	116452682
chr13	113870726
chr8	116308793
chr8	130906704
chr7	23968305
chr9	113412781
chr12	110030868
chr13	103659188
chr7	29370833
chr3	149271620
chr5	77641393
