V1	V2	V3	ID	DukeUq	RepeatMaskerFrac
chr1	10002387	10004387	chr1_10002387_10004387	0.894083	0.1935
chr1	10002486	10004486	chr1_10002486_10004486	0.894083	0.2045
chr1	100110499	100112499	chr1_100110499_100112499	1	0.029
chr1	100230349	100232349	chr1_100230349_100232349	0.8355	0.343
chr1	100315045	100317045	chr1_100315045_100317045	1	0
chr1	100434345	100436345	chr1_100434345_100436345	0.985625	0.0915
chr1	100502653	100504653	chr1_100502653_100504653	1	0.2435
chr1	10056274	10058274	chr1_10056274_10058274	0.940542	0.342
chr1	100597511	100599511	chr1_100597511_100599511	0.945833	0.2955
chr1	100597719	100599719	chr1_100597719_100599719	0.931833	0.2565
chr1	100642771	100644771	chr1_100642771_100644771	1	0.172
chr1	100714390	100716390	chr1_100714390_100716390	1	0.1785
chr1	100730805	100732805	chr1_100730805_100732805	1	0.102
chr1	100817047	100819047	chr1_100817047_100819047	0.991042	0.073
chr1	1008687	1010687	chr1_1008687_1010687	1	0.0625
chr1	10092654	10094654	chr1_10092654_10094654	1	0.025
chr1	101002693	101004693	chr1_101002693_101004693	0.977625	0.2365
chr1	101184316	101186316	chr1_101184316_101186316	1	0
chr1	101360554	101362554	chr1_101360554_101362554	1	0.078
chr1	101360632	101362632	chr1_101360632_101362632	1	0.078
chr1	101454761	101456761	chr1_101454761_101456761	0.98175	0.212
chr1	101490328	101492328	chr1_101490328_101492328	1	0.0025
chr1	101701444	101703444	chr1_101701444_101703444	0.99975	0.0145
chr1	102461586	102463586	chr1_102461586_102463586	1	0.0285
chr1	10269863	10271863	chr1_10269863_10271863	1	0.016
chr1	103573047	103575047	chr1_103573047_103575047	1	0.0335
chr1	104067321	104069321	chr1_104067321_104069321	0.920083	0.189
chr1	104096322	104098322	chr1_104096322_104098322	0.924583	0.299
chr1	104158999	104160999	chr1_104158999_104160999	0.765417	0.1575
chr1	104197377	104199377	chr1_104197377_104199377	0.309583	0.399
chr1	104237912	104239912	chr1_104237912_104239912	0.319292	0.437
chr1	104292028	104294028	chr1_104292028_104294028	0.293083	0.144
chr1	10458137	10460137	chr1_10458137_10460137	0.969542	0.1535
chr1	10489159	10491159	chr1_10489159_10491159	0.954625	0.488
chr1	1050478	1052478	chr1_1050478_1052478	0.9945	0.22
chr1	10508776	10510776	chr1_10508776_10510776	0.799458	0.4065
