Chrom	position
chr1	44584437
chr5	124656196
chr5	150783661
chr17	48580622
chr7	51606946
chr12	12840069
chr12	12403822
chr3	14291257
chr1	44267558
chr9	22124851
chr13	26956720
chr12	54359309
chr12	54033685
chr9	111974157
chr12	21819857
chr17	48244459
chr11	128566061
chr11	58192484
chr7	27115291
chr8	37548128
chr7	102097755
chr8	37302804
chr20	1400132
chr22	35104050
chr17	52649214
chr1	244348185
chr14	103033944
chr20	51860476
chr8	127493954
chr5	127850094
chr5	38692994
chr10	59608856
chr7	27140328
chr6	42556699
chr17	65577133
chr2	28068285
chr22	35134774
chr6	42418920
chr5	125027523
chr12	54028992
chr2	43163067
chr5	127759144
chr3	110656616
chr1	205307269
chr12	51961977
chr12	52925274
chr18	3603211
chr8	127586294
chr9	27007176
chr20	50166201
chr22	29276117
chr8	124077517
chr11	80524554
chr5	116546288
chr11	118443110
chr11	13992360
chr10	78535884
chr2	42056130
chr13	98814220
chr2	190809291
chr1	244656490
chr13	106096764
chr5	74418903
chr5	90191525
chr1	219959198
chr2	109691015
chr11	27202135
chr21	33971719
chr20	41048993
chr3	70277558
chr1	87718589
chr2	55843452
chr1	47727348
chr4	38571167
chr17	69535198
chr1	185646406
chr1	87888644
chr9	19202424
chr20	6960125
chr18	31399859
chr3	112090772
chr8	127215473
chr6	83464953
chr18	65859237
chr20	64030684
chr10	117461927
chr1	234823492
chr6	16755071
chr1	240783870
chr1	220046706
chr4	147768322
chr5	42855084
chr11	27237831
chr1	17597278
chr15	36970699
chr6	11258738
chr17	72618108
chr3	14228020
chr16	15591062
chr3	24628734
chr4	123479002
chr15	77067506
chr19	58519917
chr6	10542376
chr11	14258434
chr16	67716282
chr13	80133086
chr9	124769870
chr11	12167218
chr16	57808257
chr15	42139149
chr20	54149214
chr21	42721569
chr9	20408773
chr4	38279778
chr2	80270005
chr3	160667641
chr10	123848254
chr9	91795692
chr17	59124823
chr5	91195164
chr5	95911745
chr11	83093034
chr10	75405313
chr4	85166491
chr6	158773076
chr1	220119314
chr7	46542235
chr2	16426019
chr12	12872438
chr12	12904015
chr19	48558562
chr5	149946280
chr5	88195862
chr4	74543443
chr10	19048662
chr13	26983231
chr5	124662477
chr14	98798332
chr8	29086102
chr4	98785497
chr4	73453362
chr6	134161180
chr18	65906724
chr8	6617005
chr4	41125068
chr8	124531131
chr18	45447503
chr12	27290662
chr9	113289214
chr18	57797317
chr12	54016803
chr18	22179445
chr20	3437433
chr14	20782449
chr1	162349968
chr12	124827892
chr19	41734546
chr18	2539047
chr2	77567954
chr1	193549316
chr19	38684233
chr1	234975253
chr8	63010062
chr17	58387985
chr1	246678035
chr6	132528004
chr10	110163614
chr19	47648482
chr16	14656705
chr3	171002474
chr11	1061122
chr10	76051323
chr14	65131571
chr21	15659959
chr15	33126709
chr13	106183973
chr9	76799701
chr19	23403740
chr4	153205105
chr1	58885496
chr9	4508660
chr9	108185090
chr2	111185842
chr2	157489179
chr3	11477033
chr22	25013872
chr8	37360677
chr20	14986307
chr1	232682465
chr16	85985791
chr5	17070209
chr3	80557061
chr3	154133168
chr5	37086643
chr4	182345194
chr15	77447160
chr10	110858466
chr2	43161827
chr1	100354197
chr5	124742416
chr5	13567181
chr12	12308693
chr20	25398042
chr14	54333676
chr7	24669148
chr9	108156757
chr4	83207916
chr13	70391842
chr2	67037852
chr4	172726301
chr9	126650902
chr13	113493526
chr11	17541505
chr1	184930843
chr8	94192183
chr10	69222808
chr11	129014312
chr9	114981261
chr3	101827477
chr4	123444527
chr22	46743029
chr7	85765904
chr6	134823102
chr3	24599012
chr1	26945828
chr11	13873520
chr2	57891176
chr2	46121336
chr10	17115854
chr5	107442642
chr6	12249728
chr12	14696661
chr11	133230651
chr2	108450097
chr6	12529201
chr2	30274991
chr1	159971188
chr4	113646008
chr12	14208168
chr17	8532293
chr17	8173489
chr5	124735319
chr8	81663252
chr6	101208340
chr2	124080993
chr5	116842749
chr9	94533333
chr8	143056015
chr2	45568096
chr11	62841515
chr5	98501003
chr4	16158606
chr9	107794405
chr15	59256134
chr2	185372368
chr20	52540103
chr12	79921960
chr12	12776414
chr9	107613610
chr2	120563805
chr9	20601860
chr2	84486685
chr3	127142082
chr11	66789573
chr19	37943617
chr3	120693601
chr2	149169847
chr11	112322012
chr14	63678052
chr6	11270523
chr7	142152329
chr9	107755461
chr17	47966238
chr9	91197372
chr1	46653684
chr10	110556522
chr2	158954585
chr6	45446039
chr12	89769416
chr1	43523321
chr3	42820074
chr10	52818202
chr21	34116787
chr1	231234102
chr3	95341497
chr10	93471242
chr3	142648068
chr14	89416308
chr20	18033436
chr7	329937
chr11	123213434
chr4	68748969
chr7	12801362
chr18	9737128
chr1	67561826
chr16	80883359
chr4	182578609
chr17	4144511
chr13	73451610
chr19	16197443
chr1	15795384
chr7	142001689
chr6	42224701
chr21	41704410
chr7	12130844
chr11	12802840
chr12	26857578
chr5	130885164
chr5	81851999
chr17	37676456
chr10	61965192
chr15	59587308
chr10	33264453
chr17	72413429
chr6	128738267
chr13	45255835
chr8	125648610
chr15	38127520
chr4	83255778
chr7	123929289
chr20	44457158
chr17	37721241
chr5	16483565
chr10	65294526
chr8	63220472
chr14	22689398
chr7	87592431
chr10	48945940
chr12	65630737
chr2	120245652
chr20	53801022
chr12	54054557
chr4	40474157
chr12	109696262
chr2	19541355
chr12	20018648
chr8	127247487
chr6	86500268
chr5	135341109
chr11	126215026
chr8	125655869
chr3	71153895
chr7	27129836
chr3	170810243
chr2	158232695
chr7	112701686
chr12	6235719
chr11	118213980
chr9	127388573
chr10	130605998
chr1	40131099
chr3	43179248
chr19	46854411
chr11	2211235
chr4	128653795
chr7	46591398
chr5	150162241
chr12	122909325
chr8	81097337
chr11	27796528
chr2	222594869
chr9	133972201
chr19	33032650
chr6	165091574
chr20	16528308
chr19	1213976
chr4	99587050
chr7	135218118
chr7	21617227
chr16	85552899
chr15	96474442
chr8	37598719
chr12	63918143
chr2	79090857
chr17	48577697
chr2	200405774
chr11	39990614
chr3	194003386
chr14	65335009
chr5	143418215
chr11	33802875
chr2	236078552
chr8	37359779
chr1	38266370
chr5	1239842
chr9	97062554
