Chrom	position
chr2	198364782
chr22	41252769
chr17	16284253
chr11	122932942
chr13	31736132
chr19	1354645
chr6	31795346
chr9	33025196
chr13	31191817
chr6	44214203
chr6	160210897
chr7	157129571
chr13	34117018
chr22	29168694
chr17	64563451
chr2	62115746
chr12	133287196
chr7	75931816
chr12	95968840
chr6	44215559
chr12	57082168
chr21	35445556
chr7	142153403
chr1	16162293
chr3	185656066
chr9	86323166
chr18	19284880
chr11	89956267
chr11	75273224
chr7	75924154
chr1	174969140
chr22	41682418
chr19	18740824
chr1	111505907
chr17	74456851
chr17	54911181
chr19	14629277
chr14	102553447
chr7	1200009
chr1	27248000
chr18	71815206
chr14	23388360
chr6	31789968
chr2	70369875
chr13	21517892
chr7	75508183
chr12	2904040
chr16	89227893
chr17	783115
chr11	117689132
chr21	45148392
chr17	44859867
chr11	63953643
chr6	31783145
chr5	135547989
chr19	5865337
chr11	65189816
chr19	5864224
chr19	50529296
chr11	65769977
chr4	103749000
chr11	112045997
chr19	18439236
chr2	106536545
chr14	24058506
chr15	44092698
chr14	77924443
chr1	223254765
chr3	13493423
chr19	50354806
chr19	42721841
chr1	156308035
chr17	77070731
chr14	65689224
chr12	123011175
chr2	203130400
chr6	151007156
chr7	26240408
chr10	121410950
chr17	7790818
chr12	1704557
chr9	91925815
chr17	73996618
chr15	42787316
chr5	50254948
chr3	180630448
chr19	2398941
chr12	125399982
chr7	73089267
chr2	73115117
chr20	55797910
chr12	49629072
chr2	61404576
chr5	172199641
chr2	85766770
chr19	2679641
chr17	40273455
chr13	45914719
chr17	74722695
chr16	87615544
chr11	65275087
chr19	49164399
chr20	58031003
chr2	197664424
chr20	62497317
chr1	33592938
chr17	7258434
chr19	14628741
chr16	81527710
chr19	2678326
chr20	56477544
chr7	32982896
chr1	75198813
chr19	4084570
chr11	118560837
chr5	10250284
chr16	50279652
chr13	22010208
chr7	75932959
chr17	43248945
chr19	11230978
chr18	74827713
chr17	48929660
chr11	65261514
chr19	3133763
chr5	140700674
chr2	73461416
chr10	72648453
chr15	68177103
chr17	71289862
chr4	159644123
chr5	132387689
chr19	13994675
chr1	119910275
chr22	24109064
chr18	77722080
chr2	114007007
chr2	211036263
chr1	161494206
chr17	80062228
chr1	85744764
chr7	138791911
chr19	53193987
chr3	5099703
chr1	204332529
chr21	33031808
chr8	29940875
chr14	69065422
chr19	54692248
chr9	129483964
chr11	107799195
chr7	6035454
chr19	1548939
chr19	5968169
chr1	3400517
chr17	1157106
chr7	24860751
chr4	128703311
chr4	114316085
chr10	80516654
chr21	35296559
chr8	103875351
chr3	186501519
chr19	7125016
chr6	31782590
chr17	200738
chr12	125399329
chr15	78556805
chr13	53226972
chr1	154947588
chr19	48232880
chr8	27472334
chr3	129809623
chr1	6453696
chr5	10310817
chr11	64085122
chr5	137911080
chr22	46938157
chr11	67780805
chr1	27293591
chr8	27326186
chr8	135732944
chr1	234736077
chr13	45492690
chr19	2269763
chr22	29664524
chr1	235106819
chr16	23568462
chr15	60973754
chr20	43094038
chr2	44271530
chr2	9144055
chr9	117415747
chr1	78470524
chr19	18100453
chr5	133706756
chr6	15275158
chr15	86338460
chr4	88343827
chr19	9906881
chr8	23405400
chr19	11546234
chr7	56119449
chr6	36087186
chr17	40168489
chr5	173586855
chr2	33620959
chr15	52545116
chr12	656355
chr12	9217751
chr16	11633674
chr1	154968378
chr1	230031449
chr11	133906982
chr1	154909446
chr3	183852742
chr7	74026937
chr19	48282466
chr14	102553549
chr7	142115863
chr7	69507665
chr7	139703944
chr12	125401809
chr6	52704666
chr4	39471184
chr20	61364851
chr8	141475322
chr14	77428186
chr17	8129689
chr7	158767060
chr2	99422165
chr6	157041161
chr22	39097408
chr17	71470665
chr19	4763242
chr6	53213898
chr6	152086859
chr13	33113256
chr2	56128637
chr19	13964434
chr11	1051300
chr6	74162123
chr19	17132158
chr1	181056862
chr21	44395054
chr9	34989312
chr10	3581367
chr17	55979165
chr3	10202760
chr11	70058466
chr10	43278076
chr2	220144093
chr7	73265355
chr7	73155215
chr7	142246375
chr14	103242547
chr11	63953509
chr4	184256768
chr2	102447965
chr15	77828483
chr14	102553699
chr11	63298986
chr16	67880629
chr16	85429635
chr5	138598489
chr16	4148807
chr1	59249856
chr2	211528530
chr1	192777995
chr12	59424477
chr19	50136715
chr6	108581665
chr1	1711785
chr15	74675181
chr21	30445777
chr15	99271101
chr2	95944121
chr3	37035013
chr15	84240824
chr13	111823012
chr17	37123682
chr14	96968706
chr1	212731974
chr12	2903957
chr11	86013395
chr2	182675708
chr19	1675312
chr7	75472330
chr12	57505673
chr10	102133815
chr20	58639244
chr9	131320965
chr2	46166055
chr6	36270472
chr19	47217522
chr10	126812692
chr1	63989229
chr2	201171170
chr7	27774390
chr2	1629346
chr6	57037988
chr12	96199921
chr19	2266690
chr20	60934617
chr22	35773223
chr19	40927369
chr19	49468172
chr15	102193137
chr3	58616046
chr10	77796331
chr6	36591324
chr19	49122829
chr6	30652691
chr16	30547148
chr6	160263283
chr10	99299801
chr2	61764313
chr12	111051889
chr2	113649245
chr9	132175371
chr1	15354135
chr17	75419925
chr20	22228844
chr11	70317488
chr21	34199159
chr13	31735111
chr20	17891745
chr14	88715207
chr1	174122832
chr17	38447062
chr12	42690674
chr11	63953326
chr2	232660479
chr7	24860080
chr16	19716385
chr17	47110103
chr17	54864589
chr8	121997355
chr3	130613219
chr5	73612367
chr1	212732471
chr18	47883778
chr17	76967500
chr12	13288784
chr17	71952381
chr1	234343027
chr20	57979161
chr10	43916524
chr19	46975282
chr1	32015248
chr7	155625883
chr8	1724516
chr12	46697072
chr9	132269403
chr14	91616178
chr14	103800580
chr10	74451737
chr17	62703450
chr11	63438945
chr17	36832898
chr6	161795063
chr2	191184522
chr15	41549131
chr10	74836843
chr8	48265955
chr5	131563503
chr17	79068792
chr16	89930364
chr11	70027962
chr12	2903793
chr16	87905282
chr8	8313467
chr8	33330850
chr8	101912730
chr1	154415964
chr18	60331172
chr4	84561157
chr12	109559862
chr3	101567852
chr4	83786975
chr1	201278674
chr2	114041473
chr1	94947262
chr12	48500542
chr2	230272145
chr2	113464130
chr17	44864216
chr2	201729414
chr12	70132160
chr19	19078830
chr7	17139209
chr1	16767086
chr2	223824177
chr5	56469722
chr7	129918112
chr12	122228213
chr9	16257686
chr2	27851862
chr14	70234547
chr9	92044357
chr9	95241808
chr12	77272056
chr6	45696444
chr9	97855027
chr17	79622703
chr9	139505863
chr17	79691675
chr8	143781890
chr3	16647620
chr7	150792923
chr10	131733158
chr14	94840305
chr10	69524239
chr8	28269222
chr6	84141201
chr11	65266416
chr14	82458514
chr5	141737203
chr1	204289787
chr7	75943837
chr19	1021756
chr19	17516434
chr16	3301339
chr20	57125855
chr14	93523028
chr3	72339280
chr22	37256372
chr19	47071916
chr11	36168199
chr19	18414475
chr14	89507172
chr9	138018500
chr2	27008567
chr7	134050582
chr13	49343304
chr21	34775078
chr11	27507645
chr6	41909752
chr3	13620764
chr17	74050383
chr9	19408782
chr1	239979490
chr10	115438932
chr3	48003606
chr11	58939494
chr19	1028653
chr4	187025676
chr20	55905296
chr3	141086298
chr11	20409137
chr3	37254663
chr19	49334434
chr4	121898970
chr2	217639390
chr17	4900797
chr9	139433094
chr19	41100203
chr9	116698764
chr20	31366491
chr1	21795277
chr11	111780052
chr20	36858419
chr13	96033012
chr21	32898697
chr12	10517687
chr2	129320684
chr8	103597019
chr17	72565697
chr11	215948
chr12	76486405
chr17	55536725
chr10	63044201
chr8	102480185
chr10	18483374
chr17	47853014
chr16	220202
chr2	47596076
chr2	165824385
chr13	41885974
chr18	74827902
chr18	74828181
chr7	116909571
chr6	17394449
chr7	139230086
chr4	158900097
chr13	48733632
chr1	234669823
chr17	19474607
chr8	99478790
chr20	51073102
chr1	160313046
chr1	37945378
chr1	3048994
chr16	89050714
chr19	45942962
chr2	9941988
chr19	53934995
chr9	80422466
chr1	226005500
chr16	86698283
chr12	9102718
chr19	44716603
chr7	142172391
chr17	45401553
chr10	88470984
chr15	83680493
chr20	49178197
chr6	42532105
chr10	31103966
chr2	637084
chr16	84027826
chr2	233520241
chr2	241697229
chr18	72924088
chr11	65190210
chr7	150020781
chr2	177356454
chr19	39260662
chr5	32391195
chr10	48336170
chr15	70316252
chr1	209562845
chr18	77905855
chr1	19969844
chr15	51108403
chr14	100706876
chr8	11627784
chr18	46548065
chr3	123469864
chr15	52582092
chr1	11994793
chr19	2049619
chr11	46244231
chr13	107678447
chr7	51209330
chr1	36852316
chr7	43531701
chr21	40823573
chr12	69979568
chr17	79075271
chr10	97321244
chr9	131903706
chr1	44679038
chr5	56469473
chr5	67639382
chr16	79406751
chr11	287732
chr4	22964252
chr4	48917739
chr7	107653474
chr2	242834785
chr16	11172152
chr21	36580042
chr8	8099383
chr15	80631827
chr4	31660807
chr16	48647476
chr3	114102855
chr3	49939057
chr19	49403428
chr17	44024487
chr16	68659696
chr3	57041315
chr17	12449520
chr1	206622189
chr1	96828392
chr21	47573404
chr20	48929592
chr1	11029387
chr14	68699690
chr12	53718630
chr1	161500885
chr2	190539406
chr18	24109381
chr1	161582486
chr7	127755564
chr6	82750447
chr1	45987165
chr20	52543250
chr3	119421579
chr14	77379822
chr11	75083651
chr1	173525349
chr14	24364861
chr1	41078138
chr12	124985235
chr17	39810454
chr7	5491284
chr12	104356445
chr11	69794314
chr6	128832709
chr20	32602870
chr10	7000132
chr19	16176509
chr19	11190857
chr8	22573344
chr2	121387934
chr11	63581536
chr2	11788143
chr1	55909389
chr10	73975970
chr6	36954329
chr8	10386147
chr18	10851878
chr1	145454747
chr10	127849439
chr7	100660451
chr15	96868670
chr8	62381453
chr2	190407054
chr1	47855530
chr17	16281566
chr1	97428721
chr19	1470241
chr2	238512432
chr10	102819909
chr5	81121273
chr16	50478798
chr16	50188682
chr9	86796943
chr7	131223313
chr22	31527853
chr7	26241012
chr4	169481537
chr22	17745428
chr7	511628
chr15	90118420
chr19	6092001
chr15	74681950
chr1	224306605
chr16	10478380
chr16	84975820
chr22	26702810
chr2	208489362
chr16	23710720
chr7	76604224
chr12	52427103
chr12	12857737
chr14	103828418
chr16	80539246
chr13	113242568
chr20	36746104
chr8	70026072
chr1	239965152
chr5	1128604
chr8	127639926
chr14	95003206
chr16	4148120
chr17	80372706
chr4	57947307
chr14	64978065
chr1	208058641
chr3	177534880
chr4	155320936
chr2	224669471
chr9	132260768
chr17	36194932
chr6	157041630
chr20	42077697
chr6	44214788
chr3	72226560
chr11	65239825
chr8	26437589
chr4	41134526
chr11	65951330
chr9	131902503
chr21	27543412
chr21	46974881
chr12	6839820
chr3	72004766
chr1	90460278
chr8	143615199
chr22	27020196
chr4	186317044
chr17	1501885
chr21	38091129
chr12	7009305
chr6	14350162
chr1	53924597
chr1	156252737
chr5	159697881
chr7	44907141
chr10	74856217
chr12	3387896
chr11	3215539
chr19	19080478
chr15	83419235
chr12	6833334
chr1	146057421
chr3	194014490
chr10	6340025
chr21	34427008
chr6	166814542
chr13	94998212
chr19	38548938
chr20	49971496
chr13	113395102
chr9	116172889
chr15	73939854
chr13	110747237
chr13	80563475
chr2	42191192
chr15	90809555
chr1	178501654
chr16	56358750
chr13	31407289
chr19	14583152
chr17	74117723
chr12	45667724
chr5	132175572
chr21	43074186
chr10	90466030
chr19	8280880
chr19	53073302
chr12	56544482
chr18	7273556
chr9	131679692
chr16	70741026
chr5	37668755
chr7	68196046
chr2	225974567
chr22	44278984
chr6	16762963
chr12	131769798
chr7	13369277
chr19	17958904
chr2	220417529
chr14	95967621
chr9	139511449
chr12	132658874
chr12	94657212
chr19	17316183
chr17	79074154
chr8	122788528
chr19	1151169
chr16	87197455
chr1	12494048
chr20	61042171
chr11	34621894
chr7	36430001
chr12	105131394
chr16	57570261
chr17	81022691
chr10	43904782
chr19	54693590
chr12	123446599
chr14	54678907
chr20	39193905
chr7	2966543
chr22	32598541
chr17	15553361
chr11	34368351
chr17	77503808
chr14	54423537
chr19	54162778
chr5	31854581
chr2	12689963
chr3	59757655
chr22	28315542
chr1	120387061
chr18	57447425
chr8	38625979
chr7	116449924
chr19	3756984
chr20	25677494
chr20	37555996
chr9	109863850
chr9	139033853
chr12	122211063
chr5	41414784
chr19	11248863
chr10	29338210
chr7	129913061
chr14	91294483
chr3	53877075
chr1	46358228
chr19	4706070
chr11	69008302
chr11	65187619
chr5	156644632
chr11	69264485
chr17	7464457
chr7	142219146
chr9	136253605
chr12	54833525
chr19	2032416
chr2	9816155
chr2	223780102
chr19	2391417
chr16	27192501
chr7	101652526
chr7	54899798
chr5	171382162
chr2	40224008
chr20	32581488
chr1	31976888
chr21	47574646
chr5	39649008
chr15	51199844
chr18	54745544
chr20	56483822
chr16	1018533
chr11	6649265
chr1	162760311
chr13	28580763
chr15	78857913
chr17	41657150
chr4	715091
chr1	245026282
chr1	18791321
chr1	114447619
chr20	43690019
chr15	57589603
chr20	60968861
chr20	48505124
chr16	81617561
chr7	73984125
chr12	16035239
chr17	61756741
chr5	74062420
chr13	114019504
chr2	231085155
chr7	73417843
chr2	128458151
chr2	160948048
chr16	4233917
chr1	184129453
chr2	43201793
chr9	112492725
chr2	121661750
chr19	995451
chr1	184020734
chr5	72617752
chr11	44320686
chr2	47297015
chr3	72150195
chr1	48397351
chr8	23849106
chr14	105962315
chr7	4793037
chr17	73850749
chr19	3397356
chr10	17223993
chr3	14185462
chr2	55276246
chr19	11202457
chr22	35439538
chr3	145884375
chr16	73147554
chr9	114522465
chr12	119616742
chr22	22555634
chr12	104571992
chr2	161098591
chr6	150959564
chr2	136743168
chr11	68240790
chr1	18046718
chr19	45188673
chr20	25488997
chr16	85970549
chr16	67030522
chr1	63793463
chr1	20838776
chr7	98067536
chr16	85605084
chr2	65605058
chr4	41001002
chr16	67613762
chr17	79760971
chr14	52810213
chr11	1855580
chr1	221910945
chr12	69799575
chr2	110097945
chr10	97205177
chr10	104672093
chr17	70506776
chr13	103498232
chr8	37134609
chr11	116976960
chr9	111612788
chr1	93645553
chr14	97581525
chr6	16391930
chr7	151518384
chr19	920949
chr7	29905315
chr8	10489797
chr3	47324238
chr7	7261510
chr1	15197743
chr17	66968442
chr16	2391185
chr6	116574803
chr16	70611407
chr7	148224771
chr1	1099025
chr20	61585797
chr2	72012366
chr3	111386804
chr5	133579792
chr11	62649012
chr10	14817294
chr2	96916861
chr2	237011457
chr10	11395553
chr1	3382941
chr2	150440471
chr20	62401922
chr16	85389164
chr2	212946010
chr19	5007199
chr21	46402889
chr7	44171609
chr19	9976938
chr12	96587064
chr16	66962183
chr7	100350955
chr3	171509733
chr15	78059529
chr11	62341645
chr6	152416298
chr4	180847024
chr19	10512404
chr10	130494545
chr10	115284269
chr1	153939886
chr2	27850892
chr4	1713429
chr11	116268569
chr18	20934758
chr8	129985723
chr2	241394190
chr13	31363823
chr16	21311993
chr11	20487852
chr1	11801205
chr2	47082755
chr7	1501124
chr17	56818663
chr12	49947520
chr17	66016095
chr5	43106123
chr2	134894995
chr16	3179667
chr2	232259017
chr1	172945665
chr11	15180816
chr17	64901490
chr17	8042159
chr19	18402699
chr1	14752449
chr7	5436908
chr17	21131518
chr17	8311654
chr22	50227261
chr5	2983519
chr5	115817023
chr2	65611128
chr22	17695116
chr7	22707549
chr2	30873708
chr2	173061971
chr15	40728459
chr22	27041130
chr2	102320716
chr15	63671921
chr6	106583340
chr2	70359695
chr7	76002777
chr4	5791998
chr6	12835110
chr19	48170903
chr12	124272721
chr9	21031765
chr19	14638463
chr22	33024291
chr8	125722110
chr17	76159465
chr2	173207743
chr19	18618295
chr12	44409390
chr17	16382546
chr10	51579455
chr1	26247015
chr4	89744853
chr10	80732392
chr10	114847207
chr5	107008474
chr7	156913813
chr5	136482084
chr6	148762238
chr16	83841817
chr19	19211783
chr20	10741825
chr12	39837374
chr19	18415818
chr12	103864663
chr20	1447553
chr13	31620174
chr2	86020460
chr2	38373838
chr3	42126201
chr13	47548166
chr1	147592903
chr8	30670370
chr1	45192789
chr12	56754252
chr12	93529199
chr12	93007220
chr8	142237854
chr19	36389683
chr2	102578021
chr2	109191935
chr2	42666114
chr19	3108328
chr7	150143805
chr8	28209046
chr17	38883418
chr15	90879980
chr1	28930158
chr9	91004632
chr7	12841904
chr7	5014042
chr16	89040004
chr10	35193759
chr9	117229817
chr6	168461283
chr5	159894939
chr13	25950032
chr10	106212525
chr10	75634590
chr12	95290139
chr17	29877591
chr7	7143234
chr10	32034849
chr10	121656049
chr10	54515397
chr5	149650286
chr1	43413013
chr9	75764588
chr12	125425334
chr12	107498695
chr8	81083442
chr1	235098567
chr15	41395212
chr1	249168097
chr11	64032157
chr5	56469539
chr2	12570933
chr6	1527563
chr6	31465792
chr9	137249562
chr14	99423773
chr9	137253608
chr11	129873135
chr6	15037255
chr1	9953470
chr17	77966532
chr7	111641352
chr21	44763471
chr10	11940443
chr11	63857562
chr20	49047643
chr17	80314109
chr6	7464370
chr1	7101999
chr1	222790884
chr1	222638948
chr7	100169326
chr6	15889839
chr19	46095660
chr15	74890703
chr1	21983064
chr11	22942743
chr15	50429565
chr11	19890138
chr14	90849198
chr20	44455641
chr15	79280894
chr10	13829984
chr9	130396570
chr15	68835642
chr9	139407298
chr6	12571030
chr2	3172530
chr5	54442524
chr15	43802867
chr20	45982653
chr1	94344791
chr2	9839905
chr6	28303245
chr12	52754553
chr11	122532530
chr4	2389404
chr16	87718209
chr11	27956562
chr2	169067966
chr4	7970519
chr7	100860744
chr12	6373830
chr2	12173333
chr20	36619180
chr2	239924805
chr1	75199937
chr10	73648589
chr12	52972695
chr1	228806352
chr4	159223787
chr12	6873240
chr9	79088081
chr19	4717726
chr3	171547977
chr5	162864275
chr9	92767259
chr11	67411774
chr14	77538473
chr8	103818105
chr1	32480321
chr10	28731633
chr18	19821714
chr2	235855296
chr9	135232120
chr1	149106012
chr1	226001636
chr11	69545620
chr12	10344748
chr12	64514402
chr2	134484014
chr5	35858072
chr12	125382927
chr20	57226238
chr11	68083269
chr16	31398165
chr10	125173127
chr8	30278721
chr2	42193820
chr8	81960366
chr3	194827244
chr17	55502519
chr19	4040734
chr5	141062000
chr12	130443135
chr6	154269187
chr11	40351043
chr8	102064063
chr18	66925455
chr2	70609226
chr22	50947161
chr6	57181650
chr16	89051036
chr15	69896299
chr9	137215797
chr11	3044424
chr12	123171881
chr12	55075292
chr4	55454750
chr3	110971835
chr15	64679971
chr5	173044084
chr17	59647603
chr14	100851690
chr3	111622176
chr5	157601927
chr12	113773205
chr12	109715974
chr3	128880283
chr11	78278465
chr4	25038248
chr4	57396530
chr7	73809066
chr1	207082433
chr4	66808945
chr4	25301742
chr14	51824109
chr6	150572215
chr13	30565550
chr8	96228769
chr12	94486761
chr16	11227345
chr22	45559629
chr17	63410759
chr1	207872404
chr12	45809476
chr19	49137728
chr6	150326118
chr11	12222806
chr18	77269693
chr9	101786164
chr10	134252812
chr7	2561959
chr14	101106208
chr1	19052427
chr16	16113433
chr2	145823731
chr13	111572808
chr8	131675510
chr4	184317518
chr11	17278287
chr16	77911757
chr8	98655979
chr15	29479052
chr4	22637649
chr6	41398757
chr12	21810946
chr10	18814145
chr15	64243088
chr12	95397526
chr2	182177460
chr3	128690361
chr7	30452881
chr11	74742763
chr10	88691668
chr3	126063924
chr8	129154817
chr6	34598050
chr11	69312230
chr4	5368259
chr1	183577706
chr1	45452327
chr18	43749526
chr22	18257535
chr18	77166062
chr1	183447339
chr1	226373511
chr9	130621307
chr6	53000483
chr18	61771445
chr14	75761935
chr12	32322507
chr19	49057454
chr11	102785592
chr11	68574552
chr11	95987418
chr16	4357330
chr5	1111380
chr7	128603121
chr7	20259223
chr11	73499287
chr1	20476043
chr14	71252580
chr9	131940754
chr1	162177085
chr7	111166802
chr19	783289
chr19	47333308
chr2	242801719
chr3	195277251
chr2	18480943
chr4	38567262
chr6	26421825
chr19	1383842
chr15	52135821
chr1	97603962
chr1	42421590
chr7	72974673
chr12	50324903
chr5	110427966
chr11	34342236
chr11	77898604
chr19	18303543
chr5	52405023
chr1	108433482
chr14	61189726
chr17	2615179
chr7	157074438
chr20	56291427
chr8	130607420
chr9	131465763
chr17	55457188
chr19	2085352
chr1	20113580
chr8	41994240
chr5	148872989
chr16	3018490
chr19	611723
chr11	113721357
chr5	149012156
chr8	82178883
chr2	122262774
chr4	159236105
chr1	42128721
chr20	34356083
chr13	78096613
chr17	78175185
chr10	134231835
chr22	45605675
chr17	79361091
chr7	100494244
chr10	88732096
chr6	40930292
chr14	92985514
chr1	23345886
chr10	89265699
chr21	46470465
chr11	64863605
chr8	8663799
chr15	89878335
chr7	101190163
chr3	193623946
chr1	150545266
chr8	124180409
chr17	78028262
chr6	155815033
chr5	171835095
chr9	138582678
chr17	77802636
chr12	120934468
chr2	9953946
chr11	65255204
chr5	31913675
chr4	183229102
chr19	44255823
chr20	51560171
chr21	34961222
chr11	57407108
chr4	20639698
chr12	106682497
chr1	1150893
chr9	118052191
chr7	41744733
chr13	113598082
chr15	81590357
chr5	75031165
chr3	159444360
chr4	181871220
chr16	73068436
chr16	82609112
chr16	82941914
chr18	6995255
chr1	26611486
chr1	65607299
chr10	129721453
chr8	10594235
chr16	84380994
chr20	62085559
chr9	139781244
chr3	107148933
chr10	133487490
chr8	71254877
chr11	65265065
chr1	4730861
chr7	101385439
chr4	77140580
chr17	48695830
chr12	65676401
chr16	89092826
chr12	69810232
chr11	65837249
chr15	69755203
chr16	46783866
chr22	42565118
chr6	131949435
chr14	80892120
chr16	89407843
chr15	39866790
chr2	135130538
chr2	29769997
chr16	47882517
chr5	96042485
chr6	47106070
chr4	111010084
chr9	136325585
chr2	240931283
chr20	49361280
chr1	148346633
chr4	166659781
chr10	25173291
chr19	37820709
chr1	186652060
chr2	99300512
chr12	125257375
chr11	1147617
chr2	164202694
chr14	61492202
chr7	33038621
chr8	11311546
chr2	224822138
chr14	77503080
chr4	130264141
chr1	207752956
chr9	87878595
chr14	77474580
chr16	10670464
chr1	8264611
chr3	72382640
chr17	74137279
chr8	131007636
chr2	176068585
chr9	13942809
chr11	61639777
chr7	41068994
chr1	205091436
chr11	96027030
chr17	853810
chr5	134722838
chr2	233489449
chr14	104189633
chr10	79408466
chr12	106135779
chr12	125339726
chr16	4953110
chr19	7545823
chr20	56121542
chr5	14475325
chr11	10667649
chr17	62308135
chr6	35997444
chr19	6060386
chr19	7643272
chr19	49061617
chr12	104041233
chr1	235695956
chr22	44421986
chr6	91110407
chr7	73808145
chr12	125146484
chr10	78112363
chr19	5992928
chr17	10113633
chr1	9489053
chr11	67029206
chr1	66740565
chr8	28108123
chr14	90366930
chr6	74289802
chr19	2259451
chr19	3755454
chr9	14373015
chr1	229830651
chr5	149522811
chr2	74056358
chr3	155572336
chr11	65769716
chr10	74014505
chr2	9562858
chr5	115368088
chr3	30709096
chr20	3792251
chr2	96840829
chr16	87417662
chr10	73526595
chr17_gl000204_random	41969
chr8	124287406
chr2	97405346
chr1	10532565
chr7	126215050
chr12	131356671
chr15	35280536
chr12	77456791
chr4	3936516
chr20	44718649
chr11	34334722
chr15	48682347
chr8	21953219
chr16	84582314
chr1	202895907
chr4	41507623
chr22	30169527
chr15	55513418
chr1	182365933
chr7	73686890
chr3	81792778
chr19	5346026
chr20	45537024
chr2	75937739
chr7	157937868
chr4	114821082
chr2	95717843
chr10	75021974
chr16	68662285
chr5	138609326
chr5	142628527
chr20	45345209
chr17	72913993
chr17	78833142
chr8	128899728
chr9	95421538
chr9	1071895
chr2	16031521
chr1	183063349
chr16	49788892
chr17	8021425
chr20	49192700
chr17	26880673
chr11	117947564
chr1	145723538
chr1	32019549
chr2	29199630
chr17	30001555
chr10	30676648
chr19	46434796
chr6	125416973
chr7	101900948
chr10	31360853
chr22	39199056
chr18	39772897
chr7	104652394
chr17	55657444
chr6	4637753
chr10	33710842
chr10	120559432
chr8	134143306
chr2	48333934
chr6	169252118
chr6	170151421
chr1	19263658
chr1	115124365
chr22	18601722
chr4	78485412
chr6	2580004
chr12	8975891
chr2	43037724
chr4	177824259
chr15	80191387
chr2	36688676
chr17	42277439
chr17	43837340
chr1	153588942
chr22	21221917
chr10	131819752
chr1	155214617
chr1	24528462
chr22	37577836
chr1	27710106
chr13	100568906
chr13	99551537
chr6	155312564
chr6	136306485
chr11	120303106
chr12	6945061
chr4	185655408
chr4	169510475
chr10	4583616
chr17	37057448
chr5	169949768
chr16	3202466
chr22	30212259
chr7	76106077
chr1	17516701
chr1	17766195
chr1	8181577
chr21	48055902
chr18	9663678
chr9	90162828
chr8	123685865
chr2	111600679
chr20	19693608
chr1	212965199
chr11	68738548
chr14	76101134
chr17	73865414
chr10	29556309
chr5	485530
chr14	55918367
chr2	8804050
chr12	94135786
chr15	61448760
chr16	56641351
chr2	71773076
chr19	39284168
chr10	95462404
chr12	52544872
chr11	26752642
chr16	864217
chr7	95315570
chr3	170910269
chr9	3828772
chr10	29413874
chr12	31475045
