Chrom	position
chr1	2187289
chr22	30831863
chr18	3262059
chr20	1373870
chr3	128880136
chr19	58816702
chr18	13464990
chr8	145133470
chr19	13275431
chr12	6772398
chr6	166901765
chr1	169764116
chr20	16710623
chr19	47759740
chr1	109618663
chr12	50056964
chr16	89683228
chr12	132195499
chr7	99698290
chr9	88969366
chr20	2451460
chr12	124950941
chr2	73964609
chr15	73989564
chr6	31926864
chr9	114689006
chr6	134274257
chr3	152939733
chr5	141736698
chr17	75231803
chr7	128695139
chr6	34725241
chr22	22296999
chr6	36853713
chr13	29233232
chr22	29949771
chr19	16296139
chr19	3435212
chr1	204485503
chr7	123389186
chr15	72978519
chr17	78389146
chr16	89382836
chr5	141931306
chr19	56186531
chr13	45904035
chr2	74153974
chr20	60758034
chr12	6798723
chr4	13629455
chr1	153963240
chr12	105630052
chr10	114206783
chr9	123555732
chr8	22462216
chr19	6801687
chr17	48450524
chr19	55663525
chr7	1544049
chr12	50135345
chr19	59031216
chr6	166756063
chr2	28178083
chr12	6833214
chr5	158690301
chr2	113342004
chr19	42363887
chr15	74753541
chr19	4182576
chr8	13224443
chr4	117453264
chr3	101232160
chr11	118230283
chr9	95432567
chr7	134855562
chr7	75677352
chr19	48753005
chr9	91392948
chr3	9404736
chr17	79818975
chr15	75322212
chr18	32821017
chr12	498507
chr15	95150698
chr11	47600561
chr12	7080038
chr1	203830720
chr17	74025702
chr1	172078696
chr7	45151356
chr10	90746466
chr1	94344752
chr6	33808021
chr19	18134794
chr7	86781717
chr1	110091188
chr2	99224995
chr2	220110198
chr12	124118247
chr12	110888148
chr10	32428421
chr16	740436
chr6	31509824
chr2	16806627
chr19	50879632
chr11	8710557
chr11	77705862
chr6	91296933
chr17	45000484
chr17	75084734
chr6	3024243
chr1	184121885
chr7	44530308
chr5	74062994
chr2	20189916
chr13	52768606
chr1	151138498
chr3	47324150
chr11	68039535
chr8	77912355
chr5	34915748
chr6	170151734
chr3	42003763
chr12	112037379
chr16	2918235
chr17	27309557
chr2	216974097
chr6	30749831
chr5	139937067
chr2	70417896
chr11	61197578
chr15	34635367
chr19	1905771
chr9	91933376
chr21	30365255
chr19	56632780
chr9	37785082
chr12	42326438
chr2	191885080
chr1	151254019
chr2	11970519
chr6	30650514
chr2	45795239
chr19	19627017
chr11	65337841
chr6	170862384
chr1	20834668
chr19	14800839
chr12	49110598
chr5	271721
chr20	55043684
chr2	219081834
chr20	5931223
chr9	74262301
chr17	62502894
chr9	19049374
chr1	36554458
chr5	94982567
chr19	47747517
chr22	19466774
chr1	169863142
chr9	136203079
chr15	66125449
chr12	111847844
chr10	11841063
chr21	37860496
chr11	2421588
chr12	21590591
chr15	85197531
chr8	144363867
chr3	156892878
chr5	148724967
chr7	139024997
chr22	42084904
chr19	48825421
chr1	78225491
chr17	7143087
chr19	50083884
chr3	142720329
chr6	111303226
chr2	191879038
chr3	32443167
chr20	2644863
chr15	55489182
chr2	241075732
chr6	30034985
chr5	149829414
chr11	126138809
chr13	103498138
chr17	65362685
chr10	17071717
chr16	58163319
chr8	95565745
chr17	57784996
chr15	40075078
chr19	34761049
chr10	102295689
chr19	44067100
chr3	111570532
chr16	30886710
chr12	122356418
chr17	56429599
chr7	32530002
chr20	35201710
chr20	3140540
chr19	10230606
chr1	145096418
chr22	39925334
chr5	40835367
chr11	64085102
chr17	45908924
chr15	58765555
chr11	69064741
chr11	118122952
chr6	33290799
chr6	33267240
chr1	160313081
chr1	170463713
chr1	43637980
chr8	125551342
chr1	100598680
chr9	20714670
chr19	2950650
chr11	71640057
chr21	47706223
chr18	47013641
chr12	98833614
chr2	21022855
chr12	56320932
chr2	201754053
chr6	99842077
chr7	6617065
chr22	35874124
chr19	16308734
chr4	140340775
chr1	38273885
chr2	65659746
chr20	37075287
chr17	26684639
chr7	135662116
chr4	185276525
chr13	115079808
chr18	51795895
chr1	209833506
chr9	130645067
chr9	137030055
chr17	33914293
chr7	72722863
chr20	5093763
chr7	148536216
chr20	62289655
chr11	67030357
chr11	46722341
chr19	10217035
chr11	57508936
chr12	89746452
chr11	69079591
chr17	57697215
chr19	59010925
chr16	84220680
chr2	240189286
chr17	40719111
chr4	38668909
chr18	830613
chr16	89724100
chr19	9695213
chr19	16653311
chr8	8729965
chr1	231664399
chr2	191184645
chr16	1470814
chr12	120105723
chr20	43595104
chr12	56435769
chr2	239335586
chr10	18940585
chr7	66119329
chr19	12780348
chr1	169337216
chr5	147763507
