Chrom	position
chr7	22573225
chr4	10068
chr17	39461384
chr15	69034495
chr9	105299623
chr9	105297015
chr5	37668751
chr4	139172468
chr9	96217978
chr22	50808023
chr21	36860258
chr9	105451452
chr15	78068808
chr4	26342536
chr2	222920021
chr4	150348245
chr15	39405101
chr1	180798
chr5	42950704
chr10	94397805
chr8	100886161
chr18	3771774
chr13	49062433
chr5	83368486
chr5	102756018
chr1	43582263
chr6	42338980
chr10	24902291
chr10	69907747
chr3	63872411
chr3	111669141
chr2	242183435
chr17	7883977
chr17	113302
chr2	46749115
chr21	34771656
chr1	94802080
chr20	32358073
chr17	4330007
chr6	105608971
chr17	4940292
chr12	755146
chr2	39492316
chr1	88731528
chr6	109381128
chr1	205172897
chr2	26068757
chr11	9566060
chr19	49496192
chr18	10154
chr18	23627456
chr5	82397111
chr1	193115949
chr17	4264014
chr12	89769435
chr3	14178817
chr4	140037631
chr1	109927083
chr12	122752796
chr4	55866499
chr4	41413876
chr2	230684684
chr20	35742331
chr3	185929873
chr3	156788353
chr21	35051601
chr1	85359226
chr8	118056433
chr1	10190
chr1	241592510
chr9	129773757
chr9	33126627
chr12	13165470
chr4	139243680
chr7	130205502
chr3	172097253
chr2	69756308
chr12	10270
chr15	72722291
chr6	25174325
chr2	105396929
chr12	26791423
chr11	8959716
chr12	29381256
chr22	39999626
chr1	198655749
chr15	77420074
chr4	53914476
chr5	43041729
chr1	197145105
chr5	10478
chr10	47407061
chr4	128220851
chr1	7528986
chr4	169660112
chr19	41860201
chr7	81299526
chr1	207797526
chr11	35337353
chr14	101948180
chr15	35482173
chr1	77682697
chr17	66463207
chr1	26900498
chr19	38061762
chr3	49094105
chr7	12757540
chr9	77456973
chr10	22823360
chr3	10343
chr11	88536070
chr13	45163013
chr13	21176611
chr15	36737576
chr12	120262404
chr10	98323607
chr3	129832157
chr13	50245161
chr10	4663299
chr1	63698217
chr8	89759315
chr3	97957812
chr4	15681629
chr3	191246886
chr3	106688668
chr3	113749011
chr14	69643575
chr4	87039019
chr5	111694422
chr9	95875609
chr1	193410915
chr7	84702045
chr7	80386959
chr7	76048031
chr11	35248754
chr7	106109301
chr7	46786205
chr7	23418095
chr7	7808310
chr7	10117
chr6	142833085
chr6	137829652
chr6	130034940
chr6	126039517
chr6	89035752
chr6	36441485
chr6	36027668
chr12	1760911
chr12	1776786
chr5	147535875
chr5	141974032
chr10	110886416
chr12	48957552
chr12	67269154
chr12	68565709
chr8	23345548
chr4	190122949
chr12	99498969
chr22	42614965
chr14	32259913
chr17	5413834
chr9	127451461
chr15	92804034
chr2	65065368
chr9	120843012
chr2	48420786
chr2	235381699
chr8	125232991
chr2	28275032
chr9	115591774
chr16	76947136
chr21	42489154
chr2	200765686
chr2	240434798
chr17	4679906
chr16	31094904
chr1	2121467
chr10	67849468
chr15	78438063
chr2	127508718
chr18	49492538
chr10	66827578
chr20	33451092
chr1	151846412
chr2	133818365
chr6	28895668
chr6	15455842
chr6	14355374
chr6	20877611
chr12	1205874
chr2	98457478
chr16	90022614
chr1	39398782
chr15	51846653
chr2	105455906
chr12	12819968
chr16	69595822
chr12	24947099
chr6	35468358
chr2	108594335
chr1	114458445
chr1	41240367
chr5	142110182
chr2	119759719
chr1	43358833
chr2	121530964
chr5	112958593
chr5	112861157
chr2	136239010
chr5	96573039
chr6	31246078
chr1	204417669
chr9	128193121
chr17	1617867
chr11	68632996
chr7	5773954
chr17	29711110
chr2	9337068
chr2	1566408
chr19	32373941
chr7	30983266
chr17	66509653
chr19	4402538
chr19	4124178
chr17	76019960
chr17	80744894
chr7	80877081
chr18	3037541
chr18	3211781
chr6	157108035
chr6	146546738
chr2	47361165
chr9	88198081
chr6	44387534
chr6	47126838
chr5	87151692
chr6	97283304
chr6	99568833
chr1	204506554
chr17	7857607
chr6	131159838
chr11	102178457
chr11	100720022
chr6	116385613
chr9	85941025
chr2	58108073
chr2	55617739
chr5	93190019
chr2	195322504
chr10	8131511
chr21	29300287
chr3	119184967
chr20	53869826
chr20	44083321
chr20	36792650
chr1	75707401
chr14	61184387
chr3	133568826
chr3	138774625
chr3	143171382
chr3	149300241
chr11	18587859
chr14	31229937
chr3	187186925
chr13	97256552
chr15	71651804
chr1	78004189
chr1	84573153
chr1	45521925
chr3	97883301
chr22	50539760
chr22	50541787
chr15	41930636
chr1	6554546
chr15	38257909
chr15	51875507
chr3	33360346
chr3	43766793
chr15	23039641
chr15	51879034
chr15	55279885
chr3	53881160
chr3	71504322
chr21	43646818
chr3	94929080
chr3	194583935
chr9	107752040
chr4	2963428
chr4	15913847
chr4	139453189
chr4	142615491
chr4	158874063
chr2	235271145
chr1	108593647
chr15	99251313
chr16	11913598
chr5	28408391
chr12	88182193
chr5	39376530
chr22	44362395
chr16	19119098
chr5	55868954
chr1	110338979
chr5	67012474
chr15	92908166
chr18	8891208
chr4	99447302
chr9	121196643
chr4	17810923
chr15	74995438
chr20	19964720
chr13	49445185
chr4	38119857
chr15	76311476
chr4	53908804
chr20	2352036
chr1	61139449
chr4	70705835
chr13	26983253
chr15	85047409
chr1	59368090
chr12	121124593
chr11	27392899
chr10	17216474
chr8	61805722
chr8	129490592
chr8	143829385
chr1	221995292
chr10	62243527
chr9	6681703
chr8	52695491
chr7	140396548
chr1	11908532
chr7	112482052
chr7	106718412
chr1	23980386
chr10	31353795
chr7	107387716
chr9	79189581
chr1	222995893
chr8	70273708
chr8	71820183
chr8	15538085
chr8	127634924
chr9	6413149
chr10	63269318
chr1	23122509
chr10	97651993
chr7	139359726
chr1	9784748
chr11	13463315
chr10	46030661
chr9	33765605
chr12	48716951
chr10	63133115
chr10	61904918
chr8	125986918
chr1	42320247
chr20	31880160
chr15	63833995
chr21	29073750
chr20	25624119
chr8	9088829
chr1	165769008
chr15	75023575
chr15	60391324
chr7	151841927
chr12	45337193
chr1	99766614
chr5	139293660
chr5	137998003
chr15	64566773
chr21	15731406
chr20	54149221
chr8	8343403
chr15	65296258
chr5	119400433
chr8	127366289
chr20	46684552
chr5	109691269
chr1	94325657
chr12	47212631
chr1	97384637
chr15	66356692
chr5	133051935
chr12	46430595
chr20	50680616
chr3	169966753
chr12	31636922
chr10	123008825
chr2	209369063
chr12	11171656
chr12	10618506
chr16	15267146
chr12	10392539
chr16	15267764
chr12	10215071
chr6	15247891
chr2	196234872
chr5	151751396
chr16	18222807
chr6	17993603
chr6	20534399
chr7	139232456
chr2	190765884
chr6	26323016
chr2	179467273
chr1	111449341
chr6	7313368
chr2	213284376
chr6	6277611
chr2	219498863
chr15	84654334
chr1	40691620
chr15	84992751
chr5	157535193
chr12	26938443
chr1	162678419
chr8	36887596
chr5	169583734
chr1	162678132
chr2	237687880
chr5	176361809
chr6	1952948
chr2	226115345
chr2	224650964
chr9	125932109
chr16	1964843
chr6	4810399
chr5	95759823
chr12	57547251
chr12	53626419
chr3	159681882
chr4	89001078
chr12	120535284
chr12	120291563
chr12	120234910
chr13	99813585
chr1	179292614
chr4	109472442
chr12	118016698
chr8	58856546
chr3	158161087
chr4	85826415
chr4	128385372
chr3	154956444
chr3	153289390
chr1	21764805
chr10	99966403
chr1	70354739
chr3	149225064
chr3	139389672
chr10	100229633
chr4	88823780
chr4	84920733
chr1	75709089
chr4	16721772
chr13	42271992
chr10	96340469
chr4	64940947
chr4	40058007
chr4	39515102
chr13	31162460
chr4	67701723
chr4	39319824
chr9	97525622
chr8	42391599
chr8	30723038
chr1	214455202
chr12	128824029
chr1	19596944
chr12	124989141
chr8	42720615
chr13	75717012
chr1	65248503
chr3	195443016
chr4	83285320
chr1	215570717
chr10	91613670
chr22	24894612
chr1	46183406
chr15	39358560
chr3	15804834
chr5	57174047
chr1	16324538
chr15	39782852
chr1	46643485
chr1	168471321
chr5	67015861
chr3	10607
chr5	69521443
chr3	25784306
chr12	64625525
chr22	44362111
chr10	68331994
chr15	48880379
chr22	35231113
chr16	30400725
chr8	116890273
chr22	29626722
chr1	167936573
chr3	16665509
chr10	74593720
chr3	123079641
chr5	14156764
chr4	158015336
chr3	120160354
chr14	71320319
chr12	102120181
chr9	109120209
chr4	169335418
chr8	25261787
chr3	105836740
chr8	85836058
chr14	91149558
chr3	31077245
chr1	248945810
chr12	93625139
chr1	86706205
chr14	101733288
chr14	103333981
chr5	38872386
chr3	37244244
chr15	34588510
chr1	50970268
chr12	2255854
chr5	167710804
chr9	96340009
chr1	2121954
chr19	5903830
chr19	8321432
chr7	128738175
chr11	8682684
chr17	2103066
chr17	67717890
chr1	31013555
chr6	99426005
chr11	58578850
chr19	9140382
chr9	33162999
chr7	120055527
chr17	7241926
chr19	18969774
chr6	106129480
chr16	87951491
chr18	80263182
chr6	70413244
chr1	159009937
chr16	75091836
chr16	75623348
chr19	1095549
chr16	84116846
chr2	85328007
chr7	35800992
chr1	207051060
chr7	129949127
chr9	71726117
chr1	31932623
chr11	107562940
chr2	84782139
chr6	96522647
chr2	64975386
chr9	129587716
chr6	119541366
chr17	41490844
chr2	24972103
chr1	28135695
chr6	139588215
chr1	28505877
chr17	35085263
chr19	52962181
chr17	41784421
chr17	8383262
chr17	42419762
chr17	54968715
chr17	42562076
chr2	677467
chr2	3575291
chr17	47502660
chr2	177166409
chr2	26758193
chr17	29390289
chr17	57085030
chr17	59786706
chr19	39445545
chr9	69972054
chr17	61833775
chr17	62064161
chr7	116522394
chr2	46417252
chr6	129710396
chr11	64778953
chr2	55099994
chr10	26491462
chr1	27725639
chr11	63668071
chr11	57657475
chr7	30596592
chr16	67833964
chr2	135985635
chr9	14251463
chr18	23593983
chr10	34343773
chr17	80744027
chr9	89312392
chr6	32130297
chr11	27506884
chr18	35497995
chr11	119218653
chr7	79283503
chr7	101882305
chr17	83247219
chr9	73151794
chr6	36885827
chr6	36577576
chr2	169827403
chr6	33200860
chr2	146579754
chr2	164910312
chr2	151374568
chr16	57447404
chr2	152587693
chr6	34671999
chr2	159712443
chr11	37988222
chr17	80454780
chr6	47168420
chr17	76557717
chr18	11154556
chr7	106770409
chr11	20022882
chr16	30698153
chr2	175168176
chr1	151946527
chr18	11855366
chr6	52420201
chr1	231338245
chr13	49374801
chr3	56758778
chr19	44955291
chr17	57372262
chr14	71372736
chr3	112075197
chr19	50511482
chr10	79038919
chr3	57015121
chr13	41828079
chr8	38527432
chr17	60082747
chr3	49007365
chr19	32374088
chr14	102279695
chr3	45986520
chr1	78254659
chr8	38231577
chr3	110995626
chr3	105823644
chr3	70202080
chr10	17673828
chr18	2658351
chr8	96894171
chr14	74886111
chr8	38405401
chr3	120597704
chr3	99935446
chr4	37978447
chr3	107125079
chr18	3512178
chr19	58586608
chr1	143245005
chr14	100238850
chr17	55436413
chr3	57434243
chr3	106345634
chr14	89186432
chr14	68191867
chr8	61714874
chr8	65717510
chr4	30948819
chr14	37048910
chr3	45167743
chr9	73179763
chr3	158769385
chr18	50396143
chr10	93474233
chr19	5828289
chr7	99563086
chr19	4247373
chr3	170414327
chr3	171809487
chr18	54823291
chr19	1438357
chr3	172061832
chr3	189564084
chr14	22594453
chr1	179954694
chr13	112845666
chr9	72540699
chr13	110565548
chr10	3888155
chr1	149812559
chr1	65527834
chr8	58879664
chr3	155243552
chr1	65248417
chr17	65020436
chr14	65478741
chr17	64082388
chr17	65018421
chr9	99058097
chr1	75672932
chr1	19448650
chr4	26319616
chr3	136690877
chr3	138174960
chr4	25377227
chr4	19776249
chr17	80147319
chr14	56199389
chr3	146166710
chr18	35134557
chr1	64987597
chr4	3079869
chr10	92892479
chr1	150568332
chr14	54486856
chr3	150727841
chr3	151631257
chr9	68961786
chr1	111593105
chr10	77505730
chr2	101307005
chr15	97239937
chr8	132790561
chr15	96234351
chr15	95929507
chr1	108200902
chr10	50577944
chr8	130310533
chr16	66886633
chr2	110106145
chr1	114380203
chr2	109591407
chr8	129477706
chr8	128240594
chr10	31897243
chr9	19380294
chr9	124665740
chr2	97966815
chr20	11791919
chr20	13006939
chr10	58266531
chr10	60561889
chr16	87493050
chr2	84919814
chr15	73617481
chr10	61463474
chr2	84868542
chr20	32355319
chr1	240313108
chr1	116492399
chr20	35875808
chr1	221958336
chr1	113780927
chr9	118578676
chr16	16489069
chr16	30568462
chr2	181791459
chr16	22353544
chr2	189254395
chr16	21167543
chr9	5843149
chr2	171513828
chr2	190838789
chr1	110034517
chr1	110003988
chr2	171154588
chr10	44897249
chr2	170671260
chr8	144897371
chr2	159126600
chr15	101980827
chr2	149562457
chr2	201177500
chr16	11916724
chr2	208014041
chr1	160193329
chr10	41875439
chr2	215417589
chr2	217520841
chr2	133201198
chr2	218231082
chr2	126994402
chr2	126946778
chr2	222860089
chr2	121701747
chr15	69160557
chr9	21919737
chr2	1567218
chr15	41116595
chr10	68105975
chr15	50816418
chr17	28952407
chr2	30666467
chr22	46567647
chr22	46568217
chr2	27904057
chr15	44489650
chr9	41098972
chr10	73358803
chr17	35063780
chr15	44288616
chr3	4704701
chr10	73626039
chr15	39662022
chr2	31966315
chr1	246609002
chr17	39451331
chr1	234657367
chr15	39301048
chr15	36898820
chr3	23859140
chr1	89538453
chr8	101504787
chr2	11342899
chr17	42626509
chr8	101181157
chr10	22087259
chr3	39267694
chr3	42600641
chr8	115576555
chr2	36450099
chr2	72883540
chr1	117373041
chr15	67128135
chr10	62231971
chr20	44204279
chr1	99465711
chr15	65533191
chr9	32604449
chr15	65305056
chr17	4162996
chr20	54059099
chr10	28778751
chr20	61865525
chr9	33399199
chr15	64071522
chr17	8139511
chr21	32772054
chr8	116444945
chr21	33480563
chr10	63236585
chr1	156282898
chr21	35047342
chr21	44870011
chr22	17633544
chr2	54077518
chr15	56989699
chr17	27491996
chr22	30212768
chr22	30408974
chr2	38685471
chr15	51883680
chr15	51879806
chr1	234731507
chr11	17832057
chr18	7950959
chr5	112996238
chr6	34363333
chr10	100364945
chr6	139516617
chr7	135664103
chr1	198656798
chr5	112695294
chr7	134986484
chr10	133373420
chr4	168450092
chr12	101460042
chr4	169660561
chr5	112682697
chr6	36131862
chr5	112548444
chr8	24955127
chr10	101060783
chr7	133512718
chr11	83711307
chr12	49268738
chr11	126353523
chr1	8701140
chr4	184734266
chr1	205706824
chr10	8312323
chr4	153204406
chr10	132096371
chr7	158704833
chr6	30616203
chr7	2232967
chr7	112001444
chr5	136053748
chr12	111643608
chr5	131170771
chr6	164076999
chr11	69281205
chr12	110591708
chr6	149317507
chr11	72570156
chr4	142817602
chr4	143513458
chr12	108605938
chr6	146544523
chr12	108605651
chr6	145964470
chr1	200150900
chr12	401503
chr6	144266255
chr1	35506187
chr4	152951606
chr1	198681913
chr7	116272194
chr6	38524915
chr4	185143219
chr5	96877297
chr10	7788088
chr5	81718490
chr5	78638694
chr11	105466810
chr12	62760795
chr6	53361902
chr5	54874608
chr5	56162150
chr12	71663858
chr5	58295067
chr11	106389265
chr11	106483074
chr6	87705257
chr6	85078220
chr6	55758754
chr6	75243505
chr1	204408746
chr5	65480404
chr10	110016832
chr10	110304984
chr5	76582429
chr6	56864509
chr12	64405288
chr8	20409483
chr12	79415958
chr8	10799878
chr7	117170075
chr11	123454504
chr6	131060599
chr11	122731569
chr6	42316795
chr5	96068487
chr5	95934592
chr11	95223007
chr11	96212582
chr6	126041005
chr5	19315212
chr12	93591415
chr11	100810371
chr5	30113089
chr5	32093381
chr6	47477778
chr1	32759812
chr10	6019167
chr10	110429463
chr9	91495545
chr5	37890011
chr8	22287451
chr5	39093518
chr4	138240681
chr12	46665151
chr4	83074235
chr12	120013880
chr5	177022591
chr12	18865253
chr5	175378713
chr7	44733918
chr4	78784425
chr12	125093122
chr12	19138731
chr6	16137328
chr4	80173564
chr7	40015922
chr6	16741252
chr10	113326312
chr12	25276336
chr6	20534142
chr12	120538787
chr7	38179158
chr11	57735929
chr7	33062137
chr6	21022507
