Chrom	position
chr6	30875858
chr4	26321269
chr16	1458296
chr18	66382504
chr19	46088265
chr6	153323989
chr11	17298228
chr3	193853866
chr6	31510142
chr2	187350848
chr18	10526011
chr7	19748677
chr19	44488238
chr1	33593140
chr3	32726633
chr12	57119205
chr3	25831519
chr9	137299336
chr19	44196070
chr1	249167962
chr9	108320342
chr16	71518540
chr6	32164259
chr5	141704592
chr6	126070563
chr1	935553
chr17	5372382
chr19	1259309
chr16	67880505
chr20	13619527
chr19	58816597
chr2	10260435
chr19	39903039
chr13	52586420
chr3	193852710
chr8	145149710
chr8	80696443
chr16	4666196
chr16	21964647
chr5	59106013
chr1	38156202
chr5	168414741
chr7	66767424
chr13	29233183
chr17	38474321
chr19	17445693
chr20	25843935
chr18	33647585
chr1	111098077
chr4	6717748
chr19	39109671
chr7	23221564
chr9	139439053
chr19	4791489
chr8	101912780
chr20	524732
chr19	10342219
chr17	73663392
chr11	31531293
chr14	103058407
chr7	36168382
chr1	93297606
chr7	101950488
chr17	60501227
chr5	149185513
chr11	5706420
chr3	155572350
chr19	1542704
chr20	49546042
chr7	6048714
chr22	45080856
chr19	19516324
chr1	25349493
chr19	13076396
chr22	44351235
chr7	5085521
chr9	2844223
chr17	72772489
chr22	31886119
chr16	8891624
chr6	52285050
chr1	2477835
chr19	52531705
chr7	6769432
chr3	14571361
chr4	83956237
chr3	148803489
chr11	113345247
chr3	193854957
chr9	94877707
chr7	6746568
chr7	99933546
chr2	30670062
chr13	39612264
chr12	95397538
chr13	26827995
chr19	57831757
chr7	148659932
chr9	140210634
chr6	49431011
chr19	58459179
chr1	16162424
chr7	92464822
chr4	26322250
chr4	89445013
chr19	13972772
chr15	74838680
chr19	39893360
chr12	56223520
chr1	40627043
chr1	208042559
chr8	107738261
chr11	118187563
chr1	145438337
chr5	43065070
chr3	107810161
chr7	102036806
chr20	32399010
chr6	33386075
chr1	226187129
chr11	73882219
chr20	34330303
chr7	72349839
chr22	50946652
chr5	159846201
chr1	193028601
chr3	141030607
chr14	72943793
chr1	23888923
chr1	16161170
chr1	235491687
chr16	23568821
chr7	25165011
chr5	43018173
chr5	71748123
chr19	49298809
chr8	142411692
chr13	42623495
chr5	121297615
chr10	70166274
chr7	93633721
chr14	93214927
chr16	30645793
chr19	44023802
chr10	18948162
chr3	140660623
chr2	29093200
chr3	183003797
chr20	3792434
chr7	44240540
chr1	21695120
chr4	1714600
chr1	153545123
chr1	155214703
chr20	56285102
chr4	73935553
chr1	32053526
chr1	1655849
chr1	43124071
chr14	32030613
chr3	196230605
chr8	144623693
chr2	170430378
chr5	140027385
chr22	18560620
chr1	244211447
chr12	132628951
chr21	47035435
chr1	228297033
chr5	94890769
chr3	57678872
chr15	91537927
chr11	118889170
chr1	93646098
chr6	113953511
chr16	70380754
chr19	48248753
chr14	50583328
chr1	89357287
chr12	109531301
chr10	131926163
chr11	62495961
chr12	56511946
chr5	134074140
chr15	41047477
chr22	32058237
chr10	103989749
chr6	26569077
chr16	23464590
chr22	45831713
chr11	62539173
chr17	79068737
chr3	194304717
chr9	95056077
chr4	39183977
chr22	50683470
chr18	47018915
chr12	124118308
chr6	35995441
chr2	74734489
chr4	83822186
chr14	75179818
chr16	46428709
chr12	49463461
chr20	35820840
chr19	6460267
chr17	43025249
chr8	110346372
chr3	190232504
chr11	126138859
chr4	186130565
chr7	119912958
chr17	43138435
chr22	29707120
chr5	60704633
chr6	53409973
chr11	118938424
chr20	25840598
chr16	28833979
chr21	32931494
chr1	26946836
chr1	45205411
chr5	159436105
chr19	51014716
chr16	53737902
chr20	25842255
chr17	74381995
chr19	3626822
chr7	66461616
chr7	102004306
chr3	124407929
chr1	203830671
chr14	20811488
chr2	74682110
chr15	31195932
chr6	42531614
chr19	37178389
chr19	18682531
chr4	120375872
chr8	126104041
chr5	177580970
chr17	66016126
chr19	13885222
chr12	6961655
chr16	69788885
chr16	67193756
chr9	125667788
chr12	56754072
chr3	196295476
chr17	17991193
chr11	3876326
chr22	19842574
chr15	64679982
chr16	75657216
chr7	127983923
chr1	9489052
chr1	212965173
chr12	68759171
chr7	45151366
chr3	51428583
chr12	10766196
chr3	50329962
chr2	197664464
chr15	60672155
chr19	49990619
chr3	128598395
chr2	197504313
chr19	50083937
chr17	685579
chr13	41706998
chr12	31812162
chr1	166845593
chr3	197237119
chr13	98085601
chr1	70671337
chr1	24018251
chr16	23690063
chr19	49375578
chr6	56954844
chr19	49087673
chr7	100472647
chr2	43653820
chr9	134000978
chr6	151773346
chr2	3605977
chr19	4402479
chr12	99038554
chr8	10697425
chr7	44925257
chr3	124449278
chr12	46122697
chr17	46985671
chr12	49454695
chr11	15671764
chr11	45792898
chr1	202896388
chr3	196669433
chr1	19536857
chr1	220219968
chr22	26908472
chr1	155278500
chr5	65221030
chr4	140222624
chr7	100034184
chr16	46421831
chr19	1103964
chr20	62612429
chr14	73493897
chr3	10362816
chr14	21979481
chr10	70287283
chr4	146019426
chr19	45947694
chr17	4634756
chr17	71187788
chr1	174992629
chr6	28833650
chr3	11314053
chr19	55690748
chr7	56019575
chr20	30175723
chr20	2644866
chr10	43048358
chr5	43105962
chr20	61422923
chr11	64851628
chr11	64889675
chr6	43597127
chr19	10217007
chr6	53412904
chr7	124570018
chr19	13278646
chr8	37707448
chr12	10874760
chr19	1453629
chr6	90529535
chr17	43212870
chr1	171750588
chr2	29117458
