Chrom	position
chr10	3852607
chr5	137911411
chr3	88857049
chr2	133958785
chr16	4897358
chr20	361541
chr17	8761393
chr5	55917175
chr3	161725565
chr20	50601674
chr17	62193412
chr3	111565714
chr11	19395985
chr12	64554674
chr6	113394848
chr18	43373445
chr2	10430189
chr20	55147377
chr1	234659459
chr17	46835134
chr20	50419944
chr1	246303228
chr7	83865780
chr12	90418279
chr11	95930530
chr7	105987317
chr22	32042600
chr5	98356145
chr11	46264948
chr4	160195857
chr8	36772950
chr4	35125817
chr5	59088980
chr17	8095613
chr3	112274768
chr5	103254577
chr1	42367917
chr9	115319041
chr2	52222523
chr3	20227738
chr3	111623825
chr3	18850095
chr18	46351865
chr5	40428420
chr14	94486083
chr9	101630155
chr5	173191617
chr5	43193838
chr6	4389063
chr1	172972466
chr4	20508687
chr10	96054489
chr19	49458011
chr21	29602335
chr14	73104842
chr4	182470442
chr1	156889003
chr6	160389994
chr17	54993421
chr14	73166795
chr22	46924166
chr2	236179737
chr6	160636424
chr16	59627285
chr12	80974175
chr4	187567241
chr6	146867793
chr4	187543375
chr16	68064206
chr13	36907282
chr2	68563487
chr10	98610662
chr11	14471148
chr14	60618688
chr14	29041063
chr2	239545350
chr4	177420874
chr1	96828301
chr2	61328104
chr2	123013614
chr4	26107630
chr10	78188860
chr17	15862576
chr18	52443760
chr21	37582538
chr12	90485134
chr4	113191956
chr1	119506340
chr5	157883913
chr11	120990320
chr1	56162000
chr18	8425533
chr11	34707007
chr4	125861645
chr7	102516360
chr1	214646936
chr8	77578693
chr9	111342447
chr3	31108700
chr7	41663850
chr16	81545114
chr21	38246001
chr9	26369248
chr8	27749425
chr9	113501439
chr1	4436008
chr4	152659987
chr20	25159717
chr12	72077557
chr7	100112746
chr13	97912390
chr15	87960047
chr3	189812058
chr5	71896353
chr9	112528787
chr8	71581489
chr4	39824940
chr8	130492719
chr11	116342437
chr1	35576951
chr5	77138169
chr10	69644334
chr22	19275553
chr3	125019439
chr10	46222633
chr16	20922231
chr6	100650712
chr6	53599528
chr5	6911165
chr9	93913384
chr5	6906154
chr4	37814487
chr11	69382836
chr5	62558195
chr6	31093915
chr3	55501253
chr17	67853680
chr9	114505708
chr10	73026336
chr13	109808736
chr2	151352649
chr2	22010819
chr13	109950194
chr12	132345447
chr15	98445724
chr16	28986015
chr7	155458734
chr9	114720488
chr12	77516259
chr4	24792503
chr4	37668509
chr4	37649938
chr12	75985629
chr12	75571928
chr4	34240606
chr4	35252590
chr4	37799417
chr4	37764443
chr12	75279752
chr4	41966652
chr4	41258376
chr12	80989728
chr12	80988973
chr12	80947235
chr4	25725229
chr12	79322524
chr4	40996556
chr12	76864571
chr12	79280970
chr4	30760358
chr4	39152945
chr4	39321507
chr4	39523324
chr12	76253893
chr12	76682174
chr12	76843490
chr12	79644236
chr12	76844678
chr4	26328547
chr4	40765603
chr4	39805721
chr12	79092708
chr12	78986983
chr4	34160689
chr12	76175691
chr4	26199059
chr12	76593725
chr4	38171450
chr4	40623867
chr4	25762396
chr4	26364522
chr2	145833201
chr4	24772110
chr4	5711901
chr12	94492459
chr12	94486804
chr4	2492363
chr12	94312211
chr4	3659843
chr12	94156005
chr4	3956356
chr4	4661904
chr4	5016081
chr12	93963650
chr4	5373445
chr12	93713233
chr12	81519737
chr4	6374831
chr12	93623454
chr12	93481187
chr4	7075489
chr12	93364955
chr12	93291790
chr12	93238159
chr4	7268809
chr12	92996457
chr12	92955588
chr4	7439895
chr4	775682
chr12	95231159
chr12	95388226
chr12	95780042
chr3	190245314
chr12	101946275
chr12	100659767
chr3	192199645
chr3	192554098
chr12	99367342
chr12	99329848
chr3	192602747
chr3	192625769
chr3	193723134
chr12	97272747
chr3	194239505
chr3	194295004
chr12	96881211
chr12	96688832
chr3	195073967
chr12	96592839
chr3	195164076
chr12	96199995
chr12	96196990
chr3	195849017
chr12	96157843
chr12	96048116
chr12	92528783
chr4	7830251
chr4	7846689
chr4	15523207
chr4	15691357
chr4	15904407
chr4	17568995
chr12	88956898
chr12	88866199
chr12	88814428
chr12	88807536
chr4	19409041
chr12	88639869
chr4	19496785
chr4	19691330
chr12	88430493
chr4	20195839
chr4	20274066
chr12	87092612
chr12	87085900
chr12	87054697
chr4	21903679
chr12	86544764
chr4	22387528
chr4	22506276
chr4	24559398
chr12	82576691
chr12	89228161
chr12	89413242
chr12	91492779
chr12	89457862
chr12	91281498
chr4	7938898
chr4	7947802
chr12	90429993
chr12	90411251
chr4	8160782
chr12	90393751
chr12	90343417
chr4	8558619
chr12	90194537
chr12	90163186
chr12	90150737
chr4	9155814
chr4	10047268
chr12	90057894
chr4	11637189
chr4	13483355
chr4	13703794
chr12	89602777
chr12	89556759
chr4	13889992
chr12	89497824
chr12	89458698
chr12	71791400
chr4	57912470
chr4	43226033
chr4	93152903
chr4	108784685
chr12	50437903
chr12	50226800
chr4	108930043
chr12	50041349
chr12	49924656
chr12	49909378
chr4	111085704
chr12	49758985
chr4	111761730
chr12	49691113
chr4	112875938
chr12	49595317
chr4	112990430
chr4	113091770
chr4	113218427
chr4	113345011
chr4	114182116
chr4	114355560
chr12	48290054
chr12	48275863
chr12	48244085
chr4	114940935
chr4	114949424
chr4	114962404
chr4	108652508
chr4	108540416
chr12	50660909
chr12	52167363
chr4	95262821
chr4	99211893
chr4	99564506
chr4	99575831
chr12	52836633
chr4	100474245
chr4	100685129
chr12	52618062
chr4	102023284
chr12	52591820
chr4	103360524
chr12	52081537
chr12	50898766
chr4	103640170
chr4	103708868
chr12	52030556
chr4	104072010
chr4	104467994
chr4	106527866
chr4	106687313
chr4	106729972
chr4	107073099
chr4	107450714
chr12	50997815
chr4	114998943
chr4	115203023
chr4	116926639
chr12	29892443
chr4	129292179
chr4	129522700
chr4	130014751
chr4	131009586
chr12	30878900
chr4	131484961
chr4	134633178
chr4	136044962
chr4	136175177
chr4	138231507
chr4	138233628
chr12	29581766
chr12	32308165
chr12	29473322
chr4	138676291
chr4	138977275
chr12	28283917
chr4	139163586
chr12	28021264
chr12	27772412
chr4	140093549
chr12	27703740
chr4	140163794
chr4	140340787
chr4	129200309
chr4	128896395
chr4	117321832
chr4	122749201
chr4	118321556
chr4	120026901
chr4	120132085
chr4	120149080
chr12	47055084
chr4	120258293
chr4	122279850
chr4	122579482
chr12	46850636
chr4	122611978
chr12	46824403
chr4	123585176
chr4	127760402
chr4	123609148
chr4	123699371
chr4	123741381
chr12	45809364
chr12	45654193
chr12	45640134
chr12	45603060
chr4	125553179
chr4	125561388
chr4	125864563
chr4	127715800
chr4	94317646
chr4	90460795
chr4	47465726
chr4	90117616
chr4	66691077
chr12	66079392
chr4	67421217
chr12	66049463
chr12	66047186
chr4	67437059
chr12	65926030
chr4	71580984
chr4	71898056
chr4	72673424
chr4	72976777
chr12	65860114
chr4	72978431
chr4	73555851
chr4	73762387
chr4	73935546
chr4	74532779
chr4	74566988
chr12	64798805
chr12	64606015
chr4	74591904
chr4	74682758
chr12	64311965
chr4	74922762
chr4	75002284
chr4	61603787
chr4	58607114
chr4	58262056
chr4	55100567
chr12	70984793
chr4	48314083
chr4	48710671
chr12	70446969
chr4	48941980
chr4	48951787
chr4	53593165
chr12	69896353
chr4	54452467
chr4	54895771
chr4	54942849
chr12	68959385
chr3	190147700
chr4	55782010
chr4	56225084
chr4	56410136
chr4	56621164
chr4	56634637
chr12	67635445
chr4	57847006
chr4	57852545
chr12	66634382
chr4	57856458
chr12	66590768
chr12	63370324
chr12	63287327
chr12	63187666
chr4	86130394
chr4	82327180
chr4	84049922
chr4	84176906
chr4	84469830
chr12	57274336
chr4	85612742
chr12	57231078
chr12	57227812
chr4	85735699
chr4	85841908
chr12	56465626
chr12	56453913
chr12	57881839
chr4	86661886
chr12	56107708
chr12	54805512
chr12	54656300
chr12	54492641
chr4	89359229
chr12	54332443
chr12	54261664
chr4	89961297
chr12	54069948
chr4	90033567
chr4	81211319
chr4	80942473
chr4	75274611
chr4	77580041
chr12	63126892
chr4	75312366
