Chrom	position
chr7	68697842
chr16	25962225
chr18	63939377
chr15	33191636
chr10	92685515
chr10	82654226
chr13	26485357
chr12	63053395
chr13	78427993
chr12	11762086
chr5	68218371
chr3	30591285
chr10	26503217
chr13	28540285
chr14	79452241
chr16	78001363
chr6	114098369
chr10	55358853
chr8	70889711
chr12	123356845
chr4	184104566
chr4	130947543
chr5	87960556
chr11	85060235
chr2	144649614
chr7	31505846
chr8	9121954
chr4	187609468
chr7	95773141
chr13	85229205
chr17	41561330
chr14	54829020
chr5	87083679
chr8	128056142
chr4	87404243
chr7	157103206
chr7	150099225
chr11	30568073
chr12	4054079
chr2	224483191
chr13	39959845
chr6	74059213
chr13	60367449
chr10	118919097
chr11	94383307
chr2	122437954
chr10	111929061
chr6	158889210
chr14	46791505
chr11	113499909
chr1	185615623
chr11	56427370
chr14	59235892
chr4	74851147
chr15	64722666
chr11	99796873
chr5	124316371
chr6	102062907
chr2	149335869
chr2	100735905
chr19	33523499
chr1	5285933
chr3	117118770
chr13	101162629
chr16	3603364
chr10	90463029
chr3	57165050
chr21	22162624
chr2	234238546
chr13	60022559
chr3	87777148
chr15	59646326
chr1	182070806
chr13	68311111
chr10	23099793
chr1	221889056
chr9	129439223
chr10	98069724
chr5	96736408
chr9	37251565
chr9	126625622
chr5	75795581
chr5	93690920
chr11	94390333
chr6	92008491
chr16	85116987
chr17	65516168
chr16	24110427
chr8	82808338
chr20	55311574
chr21	17614122
chr9	134406664
chr18	67373545
chr5	17146199
chr5	142081714
chr6	129065277
chr6	137278128
chr6	57288558
chr10	125219094
chr7	144231881
chr2	16098518
chr4	138464573
chr8	3102986
chr2	44657617
chr16	24394431
chr15	94020733
chr3	61674208
chr5	146947715
chr1	94725376
chr1	85859382
chr19	29372083
chr1	213405445
chr9	84211210
chr7	150433224
chr4	97657841
chr20	9553602
chr3	140789978
chr13	72259394
chr13	51877336
chr2	36981244
chr2	180415160
chr1	32903961
chr13	55520328
chr14	45764220
chr8	107002192
chr7	24466843
chr15	93457504
chr13	67832903
chr3	24994109
chr5	127270755
chr13	39903409
chr1	63765266
chr11	86794294
chr7	114866650
chr3	76093118
chr1	187016667
chr6	21186369
chr12	32166609
chr20	10618387
chr10	75012417
chr7	137892422
chr11	27818053
chr3	60655607
chr20	55807324
chr14	31592366
chr6	14785463
chr4	28684675
chr13	97879735
chr14	65973779
chr9	87323515
chr9	21752267
chr3	147059634
chr13	106469519
chr2	14372512
chr4	122670541
chr1	113360778
chr1	213681347
chr1	11742644
chr18	28344145
chr3	191406779
chr4	113680704
chr7	46574640
chr10	61763549
chr2	205070496
chr19	5499330
chr9	74371924
chr7	53394534
chr16	9077679
chr11	16424823
chr2	145268404
chr5	94775989
chr11	92283799
chr2	45030185
chr15	93191117
chr17	26242897
chr4	57711182
chr5	53314410
chr3	168720669
chr2	45640074
chr6	98040078
chr3	162439626
chr4	182871296
chr12	23910650
chr2	6054242
chr1	98671038
chr9	25397069
chr7	120162587
chr7	11225063
chr18	18967010
chr1	162061937
chr7	33745225
chr3	96988157
chr8	14346075
chr7	147134006
chr21	21989631
chr11	36131625
chr4	93441922
chr2	85187087
chr8	73914350
chr8	113407919
chr5	77143934
chr1	170115281
chr1	203954351
chr10	117755729
chr2	189168587
chr6	155441407
chr1	74711038
chr6	147760452
chr8	25366575
chr4	22885926
chr6	1349090
chr10	16238091
chr6	161298924
chr4	57076777
chr6	86379775
chr2	209459572
chr7	137928438
chr2	83511460
chr18	63574115
chr3	156992680
chr21	37469387
chr4	126279040
chr2	127700235
chr12	32170092
chr7	121578707
chr19	35694416
chr2	76097493
chr2	9358361
chr4	189968038
chr11	97727859
chr2	218135063
chr20	55171350
chr5	34523281
chr11	120516605
chr3	66582691
chr2	149571329
chr4	19431509
chr6	102164879
chr17	46598265
chr7	148842680
chr4	44866037
chr7	88264655
chr5	106808586
chr4	106476647
chr4	96720111
chr12	67913865
chr10	9139847
chr3	149292278
chr1	182927203
chr5	19928208
chr8	97389369
chr5	79541987
chr12	104808484
chr3	150524338
chr4	41435066
chr5	152729978
chr6	69926150
chr1	160139475
