Chrom	position
chr19	12793691
chr14	35403909
chr17	7687545
chr14	35404865
chr11	102317329
chr2	99181119
chr2	191020464
chr5	179819118
chr6	137867218
chr8	102789117
chr22	35257424
chr3	10192295
chr14	93959532
chr2	68467500
chr7	155815463
chr11	30323238
chr1	36149799
chr22	38218765
chr11	72794036
chr1	44730814
chr4	674520
chr4	102501318
chr6	137873526
chr19	38899895
chr1	148522727
chr9	136902581
chr19	44753475
chr9	93134655
chr3	149225375
chr8	23074821
chr14	103260746
chr6	89081725
chr2	162318964
chr3	157160852
chr19	4831835
chr17	21287973
chr14	73760440
chr17	59786654
chr16	67521351
chr22	17781869
chr12	45727655
chr1	31956191
chr7	105012623
chr17	9389262
chr19	12788845
chr14	68232772
chr11	65570160
chr15	80776601
chr15	64387799
chr3	189710813
chr12	104671860
chr21	33383237
chr14	68795818
chr22	50539798
chr3	101827789
chr16	31265538
chr5	173144433
chr7	135170862
chr2	207529644
chr16	50741946
chr1	33342550
chr19	49897864
chr5	115450843
chr5	57173644
chr11	66222826
chr4	14856523
chr15	70140858
chr19	45001331
chr1	51564318
chr3	119323243
chr5	151085627
chr3	109082128
chr20	58306962
chr21	29196553
chr19	45730949
chr11	96343445
chr18	38940978
chr10	110395944
chr1	37477441
chr2	191014302
chr12	48866039
chr19	1180599
chr17	43578942
chr6	12013255
chr15	67121230
chr8	100900610
chr9	35657932
chr1	183318639
chr2	197435217
chr19	4229309
chr1	146052130
chr7	106425168
chr6	17706044
chr5	151081090
chr6	144150215
chr10	29659233
chr3	10199269
chr2	112812115
chr4	73069838
chr20	43657590
chr14	35156232
chr1	145281218
chr7	94620906
chr12	101877282
chr5	170331428
chr9	112030203
chr16	24975613
chr3	119700719
chr10	30434018
chr19	39402908
chr10	102394475
chr19	10270962
chr5	91280593
chr3	157175038
chr4	184474577
chr10	79331930
chr15	44711417
chr6	142885430
chr12	75978115
chr2	37390652
chr11	34234296
chr11	10366741
chr12	112938352
chr15	52019123
chr22	31646650
chr5	168290048
