Chrom	position
chr19	46406085
chr3	48594488
chr9	131038477
chr5	170814627
chr8	117887164
chr17	57970328
chr19	19303548
chr17	4736568
chr19	34850279
chr1	32479326
chr19	54606063
chr12	122124956
chr20	35580171
chr12	133613940
chr21	48055516
chr3	100428204
chr2	33824408
chr3	120315138
chr13	49106871
chr16	69788854
chr3	136471473
chr2	216973950
chr2	190526092
chr5	179285877
chr10	124713914
chr5	143550279
chr11	114271278
chr17	39844929
chr17	42580910
chr16	29827412
chr19	39138209
chr14	23058195
chr7	6388668
chr1	156426484
chr10	99185912
chr16	56553986
chr7	25165096
chr11	1330969
chr11	65029294
chr2	28974545
chr9	139981308
chr5	179105588
chr7	158649220
chr7	5229797
chr7	42971842
chr19	47852507
chr22	45559757
chr19	44100430
chr8	109261061
chr19	10676636
chr17	72772538
chr2	70475869
chr5	1800008
chr19	42722000
chr9	470275
chr19	4007547
chr1	231473682
chr11	77850742
chr20	37101379
chr19	5978292
chr5	218330
chr19	1407340
chr20	32700143
chr3	111697806
chr13	111365368
chr3	183903808
chr19	39109640
chr19	42724344
chr7	44058906
chr11	62623486
chr21	43430168
chr1	228270248
chr19	40030829
chr3	43732376
chr21	33651471
chr6	35888914
chr1	202858317
chr4	54243772
chr7	44613593
chr2	27712678
chr3	119396349
chr11	65383148
chr5	139682731
chr2	264872
chr19	17416518
chr19	14016954
chr22	43253415
chr2	233415301
chr17	41116506
chr17	77005960
chr20	42839524
chr19	52097672
chr8	23103995
chr19	11039330
chr22	41940494
chr7	72349895
chr4	129209349
chr5	52405636
chr5	52095880
chr2	113012724
chr18	61089861
chr13	77566148
chr9	117350000
chr1	39339087
chr19	18794400
chr10	71993199
chr18	48556563
chr18	47808157
chr3	57583262
chr11	34127135
chr2	106810982
chr7	100861400
chr19	40791500
chr1	47070003
chr3	150321028
chr19	40337084
chr20	43991735
chr19	1040036
chr1	16940069
chr16	27215214
chr11	59436629
chr6	31774763
chr20	35402255
chr1	46216462
chr3	48647116
chr19	55813314
chr14	75536279
chr2	101925201
chr1	246670640
chr6	43543821
chr12	109535355
chr3	28283041
chr3	156806999
chr19	16222219
chr16	2961892
chr3	37284695
chr3	40498789
chr16	71323325
chr19	8509771
chr13	114238853
chr10	60028866
chr3	129159015
chr5	132073361
chr7	142985419
chr12	48551392
chr2	239229113
chr5	79703787
chr19	572370
chr11	70049337
chr7	76178609
chr19	40023523
chr20	35089563
chr3	25831562
chr7	32931822
chr2	32236075
chr16	4234044
chr19	44079751
chr1	200379201
chr9	139010818
chr3	49591847
chr9	115142216
chr13	37393287
chr1	19536956
chr16	8715495
chr9	100459655
chr10	74856815
chr21	46293767
chr14	93799420
chr10	69835225
chr1	28099655
chr6	135375986
chr21	30257705
chr19	16582845
chr14	39583488
chr12	48357345
chr2	120517330
chr1	183605051
chr8	145202731
chr16	66864920
chr16	29937574
chr10	99496810
chr11	64072816
chr14	64854993
chr9	131266918
chr19	11071411
chr19	2783296
chr16	30669264
chr22	38349681
chr1	167189819
chr12	133707106
chr4	120221838
chr9	110045468
chr9	129567188
chr6	8435845
chr3	14166480
chr1	158119564
chr7	102004302
chr8	21777122
chr2	132250451
chr17	36452927
chr6	31126081
chr12	57623452
chr22	41840599
chr2	122407199
chr19	18942664
chr7	139025181
chr16	29984941
chr11	72504767
chr8	145980910
chr9	79792408
chr22	50247271
chr17	45570053
chr8	97247866
chr5	112043171
chr1	229406877
chr7	100303671
chr18	33077645
chr21	44313345
chr7	116502486
chr1	243418648
chr10	124639155
chr11	64684910
chr6	42981869
chr7	76022571
chr15	93447645
chr1	1850889
chr6	32936345
chr19	56116810
chr9	128469610
chr4	47916753
chr16	4475800
chr14	76127564
chr10	105881773
chr21	35288172
chr17	7210683
chr3	196159377
chr11	72533243
chr20	43589086
chr5	137911456
chr19	1593051
chr7	66460606
chr11	60681593
chr17	1733130
chr1	85742467
chr3	49449741
chr18	9913875
chr12	108956345
chr2	70056734
chr9	107754147
chr7	128502833
chr5	141704666
chr14	51706891
chr12	112451055
chr16	2390898
chr10	27389473
chr9	71394946
chr16	86588893
chr19	17622386
chr11	66035972
chr7	152373275
chr4	25162187
chr21	47878751
chr14	50053153
chr18	19180836
chr1	170043867
chr5	179050738
chr5	1594664
chr7	100136487
chr3	47018001
chr11	61582786
chr16	88870070
chr7	72300021
chr7	139876923
chr19	41869831
chr22	46692661
chr17	40897108
chr3	122134961
chr9	140118134
chr17	259959
chr12	120875711
chr10	104263769
chr11	46265001
chr15	62352707
chr6	32163471
chr19	36236430
chr16	2525048
chr13	21714609
chr16	67753311
chr20	25176269
chr5	159846157
chr5	77590559
chr1	22379040
chr3	185303954
chr19	2051405
chr10	94351508
chr15	72565117
chr3	58292206
chr19	42829561
chr9	123964417
chr1	179334853
chr19	2785398
chr14	75518209
chr2	20550763
chr6	31632849
chr19	38085765
chr4	2243901
chr19	39421107
chr7	6487623
chr17	18267000
chr1	161129234
chr3	129612694
chr11	76092351
chr19	56915436
chr8	94753302
chr4	77997507
chr16	1020974
chr5	130501018
chr11	74204399
chr12	49961676
chr10	58121198
chr11	60609417
chr22	28315423
chr4	26859314
chr1	35734263
chr9	40792126
chr7	75115602
chr5	90679192
chr1	21766576
chr3	12525879
chr3	10157328
chr1	213189236
chr19	2819854
chr2	114361408
chr8	67025487
chr7	99680477
chr12	123717938
chr4	120988023
chr3	112709787
chr1	197170596
chr1	219347121
chr9	100684843
chr17	27278685
chr16	188745
chr15	102192596
chr10	103113776
chr4	48832955
chr10	5726637
chr3	183892602
chr7	75157489
chr20	55926282
chr11	68816386
chr12	58087619
chr2	216979600
chr12	69080671
chr8	145653970
chr15	67813438
chr19	50829074
chr10	14880159
chr7	74071941
chr1	16302644
chr13	50656340
chr1	206785989
chr5	169010624
chr19	11670197
chr14	24912035
chr9	96328982
chr22	36520171
chr3	52570497
chr4	174291066
chr13	95248587
chr5	133562031
chr17	16342137
chr12	107349471
chr17	56296654
chr14	81636773
chr11	63448880
chr6	114292574
chr10	88699401
chr20	3185083
chr13	96705713
chr12	49761042
chr16	3451038
chr17	16439095
chr17	15603027
chr11	47664299
chr2	74734597
chr21	37692318
chr14	24036744
chr13	28712334
chr17	39822350
chr7	100797644
chr22	19159155
chr13	42623551
chr17	75136872
chr7	56131933
chr6	37467701
chr16	3030593
chr3	49824185
chr7	98923460
chr19	55770514
chr11	44117203
chr19	39340146
chr13	41885355
chr5	178054142
chr7	112580181
chr2	32582051
chr16	14724147
chr19	58912758
chr9	137030179
chr14	74318542
chr17	40273408
chr2	54557933
chr17	19281569
chr2	223520820
chr8	145911341
chr12	120554697
chr4	84377073
chr7	105925638
chr13	100153664
chr9	131580626
chr3	43328034
chr17	55162500
chr6	57087113
chr6	109169610
chr12	101673844
chr16	84733565
chr11	65819683
chr22	31063871
chr2	29093267
chr5	133702870
chr2	242626368
chr19	48707255
chr12	111021257
chr7	99746609
chr6	99841891
chr6	24667167
chr9	133569153
chr12	31479138
chr6	37321755
chr19	45970878
chr15	59042138
chr1	227923121
chr19	46088069
chr16	71598884
chr11	118889329
chr6	151711653
chr12	27090953
chr19	48972299
chr7	55955126
chr22	42062874
chr13	21348114
chr17	44271451
chr11	65101287
chr9	130370851
chr19	41816052
chr17	78389271
chr19	45873968
chr19	16940161
chr14	102771537
chr1	33430475
chr2	136634206
chr8	681385
chr7	23145383
chr7	108166788
chr17	7142997
chr3	50396964
chr2	3383521
chr4	73935482
chr22	42486933
chr10	121652189
chr10	70231736
chr7	89975932
chr5	140079873
chr14	68067049
chr20	23342578
chr6	32096209
chr17	8339030
chr4	39184125
chr1	153700246
chr12	74931545
chr7	99869882
chr18	19320742
chr11	118992023
chr22	21271686
chr9	20684132
chr2	242089786
chr3	135915292
chr6	44041141
chr3	160117318
chr19	1261076
chr1	1655911
chr7	149571040
chr19	1240357
chr14	77787671
chr10	12085264
chr12	95397583
chr4	76649807
chr2	203879423
chr5	89825542
chr5	72794188
chr16	75299913
chr2	19547817
chr11	66360590
chr20	1373764
chr6	89790285
chr6	159065801
chr17	37213278
chr19	49990753
chr2	197504388
chr16	2255707
chr9	34126738
chr19	40949263
chr19	10679681
chr19	11266702
chr19	34625457
chr1	154947404
chr7	102213127
chr16	4401362
chr12	108079558
chr2	69614494
chr11	2421838
chr4	56413123
chr17	33307510
chr12	69139846
chr7	138915961
chr3	184529943
chr22	24200021
chr2	86422638
chr11	73882118
chr4	39699739
chr7	99036442
chr1	32671217
chr16	2933239
chr12	50505787
chr9	124922070
chr22	30163351
chr15	65822829
chr4	123073476
chr18	54306058
chr10	102046460
chr19	30097110
chr6	11537885
chr17	27169852
chr17	79369035
chr6	80487834
chr2	85843289
chr19	58962922
chr16	75551349
chr6	10723324
chr9	107730827
chr10	120967025
chr11	28129829
chr11	18417779
chr3	42632193
chr22	24407623
chr3	142315226
chr6	136610554
chr1	17380712
chr12	132379184
chr13	96329101
chr8	92082432
chr3	38178591
chr10	127408141
chr17	34257785
chr2	86667895
chr17	48238993
chr19	7745708
chr11	62341538
chr4	83206109
chr21	45553445
chr9	116139246
chr20	47835892
chr19	52692932
chr1	35544938
chr14	45553313
chr8	87354748
chr15	23034443
chr17	1420089
chr3	184032326
chr11	66512170
chr8	30891155
chr16	1979825
chr20	35234082
chr16	2009518
chr13	108867922
chr9	114393570
chr16	75681658
chr3	139108543
chr6	80816220
chr4	926210
chr2	99953835
chr11	112097081
chr19	16739164
chr6	121655641
chr13	20437703
chr5	121297655
chr19	46431100
chr15	42787825
chr19	16296142
chr19	19843932
chr17	45909000
chr9	6681428
chr17	29421887
chr1	235292253
chr6	97345749
chr22	39795681
chr14	96968678
chr8	19674727
chr6	107349385
chr16	791072
chr19	14192290
chr3	196045186
chr16	90038988
chr14	62229048
chr18	51884259
chr6	30614778
chr17	19266036
chr16	58163618
chr2	198299818
chr17	8103596
chr12	19592435
chr2	29117510
chr3	52232116
chr21	46707924
chr17	7835424
chr17	4458696
chr20	56964144
chr6	30881993
chr1	185126152
chr5	10441960
chr22	20748383
chr12	12939966
chr9	91925838
chr15	77197814
chr2	11606308
chr17	4613914
chr1	186344441
chr4	108641498
chr9	139159252
chr1	151171008
chr1	153606448
chr18	10525869
chr17	4268646
chr3	156892828
chr4	119757342
chr6	52535863
chr5	14264933
chr9	95640328
chr9	140024220
chr3	87276418
chr16	67143751
chr2	191885211
chr12	114404256
chr12	106751847
chr5	162887160
chr5	8457721
chr2	233561832
chr19	15236600
chr3	50388233
chr12	4430212
chr2	86790619
chr15	63340511
chr1	9488953
chr8	104033237
chr16	27561252
chr13	48575442
chr9	15552894
chr3	51976167
chr6	88118366
chr17	21030202
chr22	50964048
chr14	77564657
chr17	38375498
chr4	155471590
chr12	1800100
chr17	46178860
chr16	31471245
chr1	202317791
chr10	43951106
chr15	75199243
chr1	231114606
chr17	40118670
chr19	41035198
chr9	77643360
chr5	6633415
chr19	56632996
chr17	40021748
chr8	95487375
chr4	39640631
chr10	124739926
chr20	25842307
chr13	20357188
chr6	111580523
chr11	108093685
chr20	57618064
chr19	44037436
chr11	6704632
chr8	38034324
chr19	3987913
chr1	160232295
chr4	26862275
chr9	35604226
chr6	53412917
chr3	69101455
chr3	182833994
chr19	633585
chr19	36422451
chr8	67579512
chr2	178483697
chr8	59465716
chr9	133556736
chr16	15982486
chr20	23339055
chr4	185655310
chr16	2265091
chr7	100809017
chr1	8021724
chr19	46220573
chr1	10092887
chr11	67085291
chr8	145137463
chr2	150444324
chr20	33735163
chr3	38537834
chr17	6939183
chr19	19314239
chr19	41903319
chr1	197872097
chr12	64845834
chr8	145026410
chr2	26568924
chr2	86333008
chr19	58874209
chr17	43239114
chr10	22629298
chr4	24586219
chr11	126173945
chr17	7487125
chr2	131862855
chr3	184081146
chr1	40839343
chr3	49726933
chr6	30034910
chr15	90294168
chr7	54826996
chr1	74663923
chr20	48732639
chr19	10216967
chr15	82339423
chr4	699579
chr19	59066567
chr15	55489296
chr5	130970963
chr15	101142443
chr12	110434188
chr12	123943077
chr17	73105990
chr17	79849601
chr12	53574298
chr22	43583652
chr5	14664723
chr9	94877780
chr19	42784132
chr6	26660072
chr19	46234347
chr10	99205912
chr2	197791509
chr17	36714583
chr10	104613935
chr19	1605469
chr2	242448146
chr5	14011695
chr7	124569937
chr11	122933192
chr16	3661616
chr11	118901612
chr8	21867841
chr1	59012420
chr16	2582023
chr7	6769382
chr3	186285182
chr2	152685060
chr3	15247711
chr1	93297579
chr12	80329017
chr19	3761700
chr11	9286956
chr19	40932047
chr22	19842466
chr6	31633791
chr19	40476901
chr20	34042643
chr2	98262385
chr8	9912215
chr11	8932734
chr19	18434126
chr22	32808246
chr4	99064758
chr5	68389774
chr13	27998686
chr8	117778574
chr2	47630104
chr8	11627089
chr1	20208871
chr6	33378200
chr18	30050863
chr14	31495750
chr4	119199697
chr8	146017941
chr10	101491963
chr7	128095875
chr2	187350896
chr3	48754729
chr1	155197475
chr13	40229774
chr3	106959519
chr3	11314018
chr5	148931121
chr22	39052639
chr7	6098933
chr9	131486716
chr20	1305985
chr21	38445402
chr1	249153335
chr1	26758728
chr11	9336336
chr15	69755247
chr9	504413
chr4	186317695
chr2	219081767
chr1	36615110
chr19	7587410
chr21	34697254
chr7	5085462
chr17	3627126
chr6	36515285
chr19	46272670
chr3	186545357
chr19	36870173
chr20	61427725
chr1	28241173
chr1	54411970
chr15	84811815
chr22	20104894
chr20	3996364
chr20	34129748
chr12	122150605
chr12	13197318
chr10	104221142
chr1	67390979
chr16	30381835
chr10	104179487
chr19	16308647
chr4	6675655
chr1	100731724
chr19	36619018
chr20	30539855
chr14	58894378
chr6	159420952
chr10	120938108
chr10	112631503
chr12	49524584
chr17	79650985
chr2	118846014
chr1	156711127
chr17	1359768
chr20	33104197
chr8	100905922
chr6	24403137
chr1	2323108
chr1	40349198
chr3	48282639
chr4	140375233
chr4	44728647
chr3	9005256
chr20	25604639
chr16	88636621
chr3	127317073
chr17	26972221
chr8	55014683
chr16	72042500
chr8	96281524
chr12	104359957
chr1	119683373
chr17	35306149
chr3	49066975
chr16	89939991
chr15	43213255
chr16	3053899
chr5	140700430
chr11	111957499
chr5	87564825
chr19	41076612
chr5	61708442
chr9	139378257
chr19	10806581
chr6	37786847
chr12	75784866
chr20	42939882
chr19	13842571
chr16	4303915
chr2	46844194
chr2	32288610
chr19	13875298
chr3	156392238
chr5	64920201
chr10	6130931
chr12	2922114
chr13	76123617
chr8	130952140
chr19	46850213
chr5	177019193
chr19	14640669
chr10	126077936
chr10	28821695
chr20	33543615
chr7	72568970
chr17	73201481
chr19	29704092
chr9	134000836
chr19	7459996
chr1	25594489
chr10	91011795
chr10	92631694
chr11	65222648
chr2	118771770
chr12	112546614
chr11	64646071
chr4	8160749
chr18	74204933
chr9	136024864
chr3	157828172
chr16	58664034
chr20	30102218
chr5	134181542
chr20	60758020
chr12	110841905
chr16	84178888
chr4	47465791
chr1	24306969
chr15	26327559
chr9	134406730
chr6	44095178
chr16	82203833
chr5	74215560
chr1	155827060
chr13	77903425
chr16	31045675
chr1	25574001
chr13	45492231
chr14	104387878
chr1	1260045
chr3	52804973
chr9	129676958
chr15	34875917
chr16	66586443
chr19	50373272
chr3	133524632
chr2	39348206
chr19	4124222
chr15	35838345
chr17	7465139
chr6	83775547
chr15	83680400
chr8	141474621
chr1	94883791
chr7	99717241
chr1	43232756
chr10	105128462
chr19	3500955
chr9	140135371
chr6	170615713
chr2	74007246
chr19	58193326
chr22	39928884
chr16	89574781
chr8	99129516
chr4	2043712
chr17	40086805
chr13	99853025
chr20	39946532
chr4	6642267
chr1	211556135
chr20	61557986
chr14	59655331
chr1	208137012
chr1	109419601
chr8	6264114
chr3	51705226
chr6	135502390
chr17	27476001
chr9	34458773
chr3	47823494
chr4	128886400
chr1	42922214
chr7	12250827
chr18	47901417
chr11	125757568
chr2	27357525
chr11	125773130
chr22	45705599
chr7	65235755
chr6	31707746
chr9	35812198
chr9	127952121
chr19	39926638
chr19	1194615
chr1	245027902
chr5	68462767
chr20	33999864
chr19	59070357
chr19	5720635
chr6	39693330
chr6	86303632
chr1	10490753
chr2	20101501
chr17	60005403
chr16	29973306
chr5	271580
chr19	48837402
chr19	33667890
chr4	6717753
chr14	102606216
chr6	109416347
chr7	102105313
chr12	49463915
chr16	29801897
chr4	1340765
chr6	116892638
chr3	197354833
chr22	51021532
chr16	279178
chr1	235668003
chr1	227127704
chr19	59025538
chr12	2999887
chr6	43395245
chr17	57297794
chr4	15683358
chr17	41561050
chr19	54663238
chr8	53627061
chr10	133795539
chr16	14164926
chr17	40719008
chr6	10747977
chr17	37356310
chr7	5013652
chr1	70687003
chr17	5185562
chr12	98987255
chr14	91527264
chr19	50145174
chr5	159827115
chr6	151773303
chr7	135194857
chr6	24775099
chr1	28879495
chr19	17186044
chr14	91224888
chr4	4291906
chr14	105780839
chr12	101801565
chr11	66056853
chr7	105753044
chr21	40752223
chr10	89578041
chr19	16771187
chr11	65729014
chr16	23652686
chr19	42069877
chr11	18656362
chr14	105219244
chr12	42538774
chr21	34961104
chr13	100150995
chr3	15106829
chr15	93363712
chr7	6746612
chr20	34252900
chr11	64889753
chr14	100751824
chr8	144623764
chr7	106810196
chr14	24740856
chr6	20534680
chr10	81839039
chr7	6523889
chr18	3451559
chr20	16710540
chr17	56429809
chr10	43048271
chr19	18668515
chr17	17380258
chr5	32444867
chr19	47634061
chr17	655541
chr1	1590648
chr6	39082983
chr19	17530763
chr9	140083104
chr14	89029289
chr17	5342512
chr16	89883189
chr19	14682690
chr12	105379986
chr7	129845260
chr9	128024058
chr20	36035135
chr3	193310908
chr11	47789005
chr9	134378271
chr17	62493178
chr2	25016016
chr4	177116828
chr11	65264974
chr3	178789649
chr1	31297335
chr15	93425813
chr12	50419392
chr1	1407128
chr13	48669244
chr19	50184078
chr6	27356501
chr6	149969925
chr15	44117005
chr4	128802002
chr17	74068728
chr5	61601963
chr7	94287896
chr16	31454429
chr10	95653684
chr9	19102930
chr15	29562078
chr15	44955902
chr7	129251665
chr1	228291124
chr14	74111689
chr20	35374598
chr12	132568821
chr16	57279118
chr9	139702280
chr2	98612726
chr14	36843399
chr6	56954831
chr16	53537539
chr9	100174278
chr1	115323365
chr20	23402143
chr9	35665298
chr4	3534309
chr10	99258205
chr19	40502903
chr17	4843356
chr22	41843664
chr11	89956286
chr12	75905501
chr19	55574512
chr5	112312226
chr6	30688073
chr22	42017288
chr5	68628622
chr3	10183371
chr15	64995572
chr4	76598733
chr6	71276614
chr19	3506125
chr1	35497550
chr1	37980446
chr2	64751328
chr1	229694786
chr16	87984889
chr1	202311080
chr19	5690180
chr18	66382410
chr15	49170293
chr9	33264985
chr20	5107453
chr17	3572033
chr3	134205021
chr19	9434838
chr17	47492261
chr2	58468503
chr2	95831536
chr10	105110905
chr17	47439895
chr5	99870965
chr14	35761452
chr8	145515163
chr11	67276219
chr11	67798378
chr13	50510705
chr18	32870243
chr6	3118940
chr14	58711440
chr17	43394818
chr12	123849894
chr16	53583980
chr1	40915729
chr21	30446170
chr14	65879394
chr1	43283058
chr9	37120427
chr5	473340
chr11	126081674
chr20	30326920
chr11	77530543
chr14	54908198
chr16	11945427
chr7	107531609
chr2	39351470
chr14	81687402
chr14	90422257
chr2	170655303
chr21	30391699
chr1	220445851
chr17	79791195
chr17	16557188
chr15	90319879
chr15	40650402
chr5	612442
chr7	123198031
chr1	93645467
chr5	126853338
chr2	65357420
chr10	99400239
chr19	13056582
chr18	51795818
chr1	16563696
chr5	77072182
chr11	134094465
chr12	6677479
chr13	99739973
chr4	169931589
chr4	146540506
chr2	128284100
chr2	26101526
chr5	64858984
chr6	43692959
chr2	219575485
chr7	30067979
chr8	1711929
chr7	50518058
chr10	104474190
chr7	127292195
chr9	130965548
chr19	2328634
chr21	45209258
chr10	104262480
chr2	211035519
chr15	100106123
chr3	52273247
chr17	78075283
chr9	127703429
chr19	2061480
chr1	2574638
chr20	308049
chr12	72079856
chr7	127032833
chr20	16555586
chr11	114310198
chr19	507131
chr10	120514778
chr7	135662208
chr5	33440848
chr2	55746712
chr1	28655440
chr4	78077857
chr21	45759287
chr5	172386423
chr19	14117494
chr8	95907476
chr16	28835658
chr20	44044669
chr5	176739512
chr1	28559549
chr10	62538049
chr3	195717257
chr17	47754944
chr19	58666493
chr2	219433289
chr8	142011525
chr2	64371747
chr6	32145761
chr1	44115788
chr12	14518952
chr7	1200058
chr14	45366417
chr19	52772832
chr3	55522566
chr2	232379253
chr10	27150100
chr17	56084713
chr19	49631301
chr3	12705708
chr8	21999453
chr15	78832776
chr3	66024594
chr4	174292040
chr20	13765666
chr3	58419281
chr12	110283338
chr4	668259
chr7	100895695
chr11	65420494
chr1	118148422
chr1	156308294
chr16	87425750
chr1	24969638
chr11	65154007
chr20	32951047
chr17	42767196
chr16	4818753
chr11	71164142
chr22	21213104
chr3	196230612
chr9	134249017
chr3	197518109
chr17	71228485
chr1	21113335
chr9	41609564
chr16	67875944
chr1	115300697
chr10	35415596
chr19	51897840
chr1	201798238
chr19	53141614
chr2	71558880
chr17	43225785
chr7	140714897
chr9	99616804
chr1	36348795
chr1	179851764
chr11	10315762
chr7	108210117
chr19	50169221
chr20	62526394
chr2	37311543
chr15	72410581
chr19	5903880
chr14	75230022
chr6	56709058
chr8	125486836
chr17	62075673
chr18	47834240
chr6	99872794
chr22	41347369
chr6	4018963
chr6	88412030
chr19	36545359
chr10	116697921
chr19	2427888
chr16	89557220
chr9	103361210
chr1	1243883
chr20	47662823
chr21	40817775
chr11	66445353
chr7	22862478
chr6	8064644
chr17	1303533
chr22	39898256
chr2	69664614
chr8	101920842
chr2	190649222
chr1	27561113
chr20	44718307
chr7	30978476
chr6	130339739
chr18	47814116
chr1	222886659
chr8	124169590
chr4	140222600
chr4	159593273
chr6	163148844
chr5	72251734
chr12	102224827
chr2	114647435
chr1	150488222
chr1	76251897
chr19	46366428
chr5	135468478
chr5	150138714
chr21	40721583
chr5	141348611
chr9	139839242
chr17	58677557
chr8	52811685
chr1	11159957
chr1	167905405
chr6	33168564
chr9	131843666
chr12	25348134
chr7	33169147
chr6	122793069
chr9	86323204
chr22	37172561
chr1	212588261
chr21	37432867
chr1	1447515
chr3	135969153
chr2	220042865
chr10	70091691
chr17	2207244
chr16	77756426
chr1	16693701
chr3	122233790
chr8	125385024
chr15	91478523
chr1	16971250
chr9	94124245
chr16	48419440
chr19	3985552
chr1	16678988
chr19	4182661
chr3	48885366
chr12	7047239
chr16	68573138
chr10	129809818
chr19	53073526
chr12	120755385
chr19	18682617
chr15	40886424
chr16	67694262
chr10	50747165
chr19	53238314
chr1	61542645
chr14	50698697
chr20	62887043
chr2	37423632
chr19	53898392
chr1	1004721
chr12	57082117
chr19	40324922
chr17	16492798
chr20	48729744
chr1	59762627
chr7	140179334
chr21	44299737
chr5	148725076
chr11	62420781
chr12	7000320
chr13	34116679
chr1	176176761
chr4	109571719
chr12	32832033
chr1	1709924
chr10	86088292
chr19	56015217
chr19	45147121
chr15	65321982
chr7	64541648
chr19	36239252
chr3	122785853
chr11	777504
chr12	121019359
chr16	78133558
chr18	18691786
chr4	71705645
chr16	85061309
chr1	19638627
chr7	117824073
chr12	50135574
chr22	46646240
chr10	102820750
chr22	25843997
chr3	150583322
chr19	40854581
chr10	74114408
chr10	105726789
chr19	44259091
chr5	34008292
chr12	54411735
chr9	97488853
chr3	125239064
chr14	77495171
chr1	161015728
chr12	53400084
chr19	34919222
chr19	34895276
chr14	35451778
chr3	182698376
chr17	7790882
chr7	26118761
chr6	146285563
chr1	150293854
chr2	42588623
chr18	23806392
chr6	15663319
chr19	33072094
chr3	155462009
chr3	128399589
chr3	23987645
chr10	131934600
chr20	34359798
chr15	90118402
chr8	110551989
chr12	93861262
chr19	18058832
chr16	14927539
chr6	147524825
chr2	232573070
chr22	38245403
chr8	70907074
chr16	4743683
chr1_gl000192_random	482452
chr20	20693421
chr16	88878351
chr2	160143388
chr19	48613771
chr1	52831912
chr1	226070100
chr8	8860376
chr1	20959943
chr20	13619762
chr5	1345272
chr6	71377413
chr16	46723438
chr1	6296046
chr2	111435655
chr19	11248494
chr13	77901260
chr5	64331349
chr17	71308220
chr6	4021562
chr12	7079941
chr1	111506630
chr16	2563639
chr14	102226804
chr15	36871793
chr19	48248758
chr19	12834798
chr17	80290225
chr19	53836995
chr11	62573020
chr1	211854274
chr11	62495095
chr22	50913498
chr7	102389327
chr11	62104898
chr19	53935224
chr1	92545898
chr3	169490567
chr6	74230958
chr1	67520091
chr14	105282360
chr3	119182582
chr12	9600837
chr6	57182334
chr9	35646895
chr16	1401890
chr7	100472755
chr7	2598618
chr16	57334532
chr5	138534028
chr19	50321518
chr12	2144309
chr17	79885711
chr19	50269647
chr19	9420515
chr16	30773581
chr6	42847639
chr19	797915
chr2	203776989
chr13	53030117
chr21	40759684
chr7	73588582
chr9	99540396
chr1	209957909
chr2	136875761
chr17	80455203
chr1	8939368
chr22	24666592
chr17	79876059
chr2	183989062
chr5	42909112
chr13	60970573
chr20	25843969
chr3	101232129
chr7	2272609
chr17	16120521
chr21	47743960
chr3	178865823
chr11	45939688
chr19	46498346
chr9	33290448
chr12	46384695
chr5	36152194
chr4	151936888
chr1	10856707
chr1	171454597
chr17	79604212
chr11	33758083
chr12	44152577
chr6	43484806
chr5	158690078
chr10	52384433
chr18	9475223
chr1	28974828
chr17	76374668
chr17	26220385
chr16	67515193
chr16	1464704
chr3	53916196
chr17	61699420
chr1	220263191
chr2	54343060
chr1	28969675
chr7	25896723
chr6	122720792
chr2	68385020
chr22	41799886
chr7	75932880
chr12	122710716
chr16	30546337
chr10	28031284
chr2	220408485
chr1	46269183
chr17	73780879
chr8	67974636
chr1	41445288
chr1	38156202
chr3	113465147
chr17	4269949
chr6	84569297
chr17	7388093
chr19	1103810
chr15	45571593
chr9	6758075
chr11	113746439
chr15	34330860
chr8	25316211
chr9	131451489
chr17	81009700
chr15	43803148
chr12	121342262
chr3	43147588
chr16	88729726
chr15	45491014
chr10	73976083
chr20	44563875
chr1	45140116
chr4	99850393
chr3	46600063
chr11	3013639
chr16	80574853
chr2	61991545
chr2	70369919
chr4	184425871
chr12	112123819
chr19	531646
chr1	115124318
chr12	49449936
chr22	19132235
chr11	65337513
chr2	135676269
chr6	44355423
chr6	166756126
chr3	107809941
chr3	150264408
chr2	74619210
chr7	6121279
chr6	133135654
chr9	37422633
chr5	154320617
chr19	1269722
chr4	26321347
chr22	32870651
chr9	32551071
chr18	12991350
chr3	47517506
chr17	62971698
chr12	108155057
chr2	132560220
chr22	24129153
chr2	42396313
chr1	231376936
chr11	82997153
chr11	14913235
chr3	42641931
chr7	66119481
chr16	16326367
chr5	179499204
chr6	41889240
chr11	64008548
chr2	3381698
chr5	151138206
chr1	32253778
chr16	15068558
chr10	97667667
chr2	128145681
chr17	2496827
chr5	78280567
chr13	80055364
chr2	103353373
chr12	69753477
chr15	62637250
chr6	126307672
chr4	17616246
chr5	64777782
chr1	246729578
chr2	38978555
chr10	29698468
chr15	69745058
chr6	2765365
chr14	97059091
chr19	56166742
chr5	784974
chr14	39644008
chr11	85955559
chr5	140019036
chr15	79603434
chr17	28256867
chr17	47866031
chr11	71823787
chr3	195384866
chr10	101945833
chr19	51869703
chr1	44821072
chr8	20054885
chr21	43640570
chr12	57119270
chr7	92219424
chr19	56136001
