Chrom	position
chr17	15377809
chr4	53582350
chr13	26983243
chr3	30259014
chr2	217622351
chr16	170189
chr9	89351319
chr19	4769655
chr13	19984893
chr5	31317837
chr11	59643635
chr12	100669116
chr1	157580376
chr9	108744163
chr18	34729456
chr10	133697
chr21	34865433
chr3	121663694
chr1	38140246
chr10	712358
chr16	13110477
chr19	6863685
chr9	107249398
chr19	7563005
chr4	123555577
chr3	66376779
chr3	31945299
chr18	22704517
chr1	34925013
chr17	350925
chr11	76386130
chr18	7577932
chr7	17099688
chr22	30802940
chr7	17021390
chr19	5484652
chr7	80210599
chr6	12324366
chr12	12704786
chr1	162092116
chr15	39646643
chr4	69098617
chr3	67296237
chr3	67114002
chr6	158040628
chr2	5368474
chr1	246176592
chr8	128555095
chr1	33635031
chr10	3890144
chr19	8582433
chr15	36506972
chr19	54266262
chr18	9803311
chr10	9211429
chr15	31296803
chr10	9343058
chr10	95818853
chr12	47900718
chr6	137697825
chr5	35471086
chr6	115166099
chr19	54231852
chr12	11500781
chr15	29924867
chr3	172140637
chr12	47963572
chr10	94545752
chr17	35433768
chr10	94123491
chr9	95434331
chr1	45881769
chr15	25502011
chr10	96370755
chr5	82976985
chr18	32317361
chr15	85444016
chr7	17130485
chr6	159633377
chr6	75230670
chr10	97862105
chr14	64841344
chr2	55617715
chr13	21583724
chr19	56638171
chr3	140700054
chr4	121794992
chr3	31288799
chr1	41496405
chr10	6202848
chr1	41600111
chr4	121691580
chr9	98791338
chr7	96415712
chr15	85349290
chr18	32349926
chr14	60094458
chr7	77479803
chr1	31572847
chr7	70520758
chr8	119912414
chr4	55435236
chr18	44697104
chr3	9007409
chr2	142286788
chr7	22786620
chr12	44526017
chr7	22586987
chr15	48683151
chr2	138778185
chr6	116631659
chr19	1897666
chr7	70952517
chr15	48110046
chr12	15629271
chr7	71300789
chr18	3650116
chr10	120581675
chr14	22570556
chr11	112267508
chr11	79461238
chr10	122912088
chr12	18320251
chr1	175023477
chr14	53011169
chr6	108134086
chr8	113171928
chr7	23970376
chr6	18122655
chr2	147083056
chr8	41573484
chr4	189364353
chr4	54082353
chr8	118029853
chr4	140635820
chr5	82301
chr11	111790303
chr3	156555301
chr5	337960
chr22	36782145
chr8	118111868
chr8	40174945
chr12	18383326
chr3	98682587
chr22	36030446
chr9	120538532
chr5	143279918
chr9	114036037
chr4	66014537
chr7	75156456
chr8	30812883
chr4	67014813
chr11	77704253
chr10	113087562
chr8	30521204
chr19	3968807
chr6	80503895
chr2	193428485
chr8	30504297
chr2	195612984
chr4	6934710
chr18	36786879
chr6	47047618
chr8	30315803
chr10	112137581
chr22	31221900
chr4	65943261
chr8	32353688
chr12	121924844
chr1	234960932
chr9	120366810
chr6	45446025
chr18	42114519
chr19	2463163
chr5	5340510
chr2	137929028
chr8	37801802
chr14	22296903
chr1	234627701
chr1	26810291
chr1	26914084
chr18	41351590
chr17	37885332
chr8	33640380
chr4	138199703
chr12	122721227
chr11	113884510
chr2	9947031
chr17	19144542
chr15	89436811
chr8	141154160
chr19	52789637
chr1	100354144
chr7	151754322
chr7	151745279
chr3	193777777
chr4	100547753
chr9	17742276
chr3	16333161
chr9	18230475
chr19	44924410
chr3	136712078
chr5	180072217
chr11	69437233
chr3	136625407
chr13	43269383
chr16	3378147
chr5	69560030
chr13	44448585
chr3	134327088
chr18	13558246
chr3	187669836
chr18	13680806
chr3	186354317
chr19	33397225
chr3	137121896
chr9	15253382
chr9	6846084
chr11	69427541
chr13	74040374
chr4	83361786
chr7	156386263
chr14	95680588
chr3	110397294
chr16	71670134
chr21	15441319
chr13	40351759
chr10	33799819
chr11	69122916
chr3	134213082
chr4	83862646
chr21	16710089
chr2	72757374
chr21	17348541
chr6	127342402
chr7	152588517
chr1	84796378
chr1	85147249
chr11	129115869
chr10	48417036
chr3	188270616
chr10	58856714
chr10	49762414
chr10	58468852
chr4	88574205
chr21	34202138
chr10	50067906
chr3	112647319
chr5	61301941
chr3	188526365
chr21	34501892
chr5	61790886
chr13	49560470
chr5	65329457
chr19	39907413
chr10	52768371
chr19	40119509
chr21	35024243
chr1	92823110
chr13	48583930
chr12	93785421
chr10	45803827
chr19	41588714
chr4	98959049
chr5	58850159
chr3	134364239
chr10	62094068
chr13	51748094
chr3	190331181
chr3	190307448
chr5	59069666
chr11	129393194
chr6	129748448
chr5	173484770
chr2	76203008
chr10	60048326
chr9	32136858
chr11	129423642
chr1	88175926
chr1	94079210
chr21	36939622
chr9	32954874
chr1	110084805
chr1	62238049
chr12	7716570
chr12	97568812
chr1	144932411
chr9	91407084
chr3	13471092
chr2	213188375
chr8	10990359
chr9	90900317
chr10	87743387
chr5	157049812
chr13	31172738
chr12	6287016
chr12	50915301
chr9	89593199
chr5	157291442
chr3	196793343
chr7	106542658
chr5	78274868
chr1	117821974
chr13	92752918
chr12	96489523
chr10	80664259
chr6	69233051
chr3	105222904
chr1	145711380
chr10	90921334
chr4	143225378
chr17	33514562
chr7	7099728
chr8	13366923
chr19	51810019
chr10	92122293
chr19	51805024
chr1	47570036
chr18	11120102
chr4	75895969
chr15	22221395
chr2	111529232
chr17	27748274
chr11	62194143
chr10	17651013
chr2	111478519
chr10	17673903
chr17	32937116
chr22	21188041
chr3	107421383
chr4	78002491
chr5	42423430
chr3	51340696
chr4	107183356
chr7	115678231
chr10	30002618
chr9	4797567
chr1	112360393
chr13	36616896
chr21	44870086
chr18	12730361
chr2	239574892
chr5	165627976
chr13	39612222
chr15	98692401
chr5	74128088
chr15	98727785
chr14	74562833
chr3	114418876
chr19	21256948
chr1	61914987
chr2	238597326
chr19	18439742
chr3	133668940
chr15	92164922
chr18	26649901
chr7	108347793
chr7	108358775
chr9	84933124
chr7	108582148
chr10	26311578
chr1	116172875
chr18	27136335
chr1	115727988
chr9	83583339
chr1	56508652
chr7	111072843
chr3	133570280
chr5	160326418
chr12	4011791
chr1	115056694
chr1	114551577
chr6	133745956
chr14	101412923
chr1	57280362
chr11	83258044
chr3	23183912
chr14	52926412
chr4	43374573
chr14	51638427
chr14	47705850
chr12	117519044
chr5	137202041
chr2	162840814
chr1	2860016
chr3	126850900
chr3	77038578
chr4	182895929
chr12	75334492
chr5	136120710
chr11	86042084
chr2	155975956
chr15	70584934
chr7	37943252
chr3	124827634
chr6	106897773
chr2	17594005
chr9	136568159
chr4	157995034
chr3	38805978
chr3	264827
chr18	57273374
chr5	110347085
chr18	54388926
chr2	179543556
chr9	126082880
chr16	29603783
chr15	71661304
chr2	162580107
chr1	10796720
chr11	12496309
chr1	208476437
chr8	47512639
chr11	88335539
chr9	132582226
chr1	2331001
chr1	181583835
chr12	32302420
chr8	78834663
chr4	39043394
chr9	126558229
chr15	63939850
chr3	78177082
chr4	150119687
chr17	51608416
chr8	79990105
chr1	211944964
chr8	94357886
chr1	200803085
chr3	151198569
chr12	30508641
chr5	123428736
chr17	13814022
chr3	76497869
chr3	4943757
chr7	36116710
chr1	223177920
chr12	71553217
chr8	100303262
chr1	185646461
chr9	135086112
chr3	124513385
chr11	93923065
chr8	70448879
chr5	124527324
chr3	79518010
chr6	96101767
chr12	25257839
chr1	6045721
chr9	133392131
chr6	150668611
chr1	3619186
chr12	26745112
chr17	17446336
chr14	49853979
chr11	7694877
chr5	139074125
chr11	100930373
chr15	58809832
chr7	43782409
chr15	58573443
chr11	2533898
chr6	85765033
chr4	26252541
chr18	59516516
chr3	124774489
chr15	56737963
chr12	66145322
chr5	133006873
chr12	108302596
chr18	74316999
chr1	18937172
chr12	64818503
chr11	105047406
chr11	11992598
chr11	22703186
chr1	180587066
chr3	39317670
chr8	107116801
chr2	150411059
chr4	159477737
chr3	125003562
chr17	78365805
chr16	23540450
chr12	119235521
chr8	80930767
chr4	145805709
chr6	107493304
chr11	26187862
chr22	49039760
chr15	64643129
chr1	201346786
chr15	65927750
chr18	79791631
chr12	21942161
chr7	26284664
chr8	80805984
chr16	29615086
chr1	200263371
chr11	43542259
chr17	8644113
chr15	65801462
chr11	83648803
chr10	133386091
chr12	68344304
chr1	19013923
chr5	134769412
chr1	206366308
chr15	59421191
chr15	72135107
chr10	133516267
chr7	50633069
chr3	42914923
chr6	101396749
chr8	47278377
chr8	81166374
chr17	78421629
chr12	42141105
chr6	87444581
chr1	214678568
chr6	42901676
chr1	212721750
