Chrom	position
chr1	144412712
chr1	146377007
chr19	2169165
chr1	146052149
chr17	58659108
chr11	15650241
chr2	177263616
chr19	55653776
chr2	127064952
chr16	2469006
chr21	45074205
chr12	45728902
chr5	151126371
chr12	68808913
chr1	6701827
chr12	75330176
chr3	177360051
chr1	64864328
chr1	144551802
chr5	149805972
chr12	123383734
chr19	12788742
chr14	20343284
chr2	108595127
chr8	37736483
chr14	74940393
chr1	144546431
chr11	65574420
chr11	65919349
chr1	181153275
chr6	693058
chr1	149636892
chr1	9943365
chr11	62841616
chr3	40524951
chr6	131510352
chr1	23019351
chr10	72320856
chr6	73580411
chr8	60911856
chr17	18087851
chr1	155244825
chr11	117096675
chr12	24950510
chr1	146387559
chr16	74998874
chr13	41996136
chr5	151903493
chr7	7821192
chr7	39589826
chr16	22206119
chr15	64430441
chr20	31836342
chr1	1375215
chr2	55269355
chr15	75067320
chr17	8383655
chr17	8173497
chr6	31777262
chr21	36430162
chr1	109931276
chr19	44844882
chr12	120293091
chr19	43951163
chr22	35377203
chr1	145465511
chr5	80257672
chr12	51172951
chr11	70424311
chr1	160193320
chr22	41832775
chr8	142669974
chr6	147439266
chr11	69298662
chr14	100192886
chr20	53893469
chr7	22854289
chr13	114281485
chr7	73308888
chr6	41028114
chr10	93702597
chr14	67619696
chr12	31733357
chr6	28136829
chr16	84116957
chr16	70428225
chr2	65554946
chr17	44279821
chr19	17215399
chr7	76048048
chr1	43835292
chr13	100089151
chr11	59566263
chr3	5754852
chr12	56118140
chr5	149606559
chr11	62622120
chr12	122896120
chr19	56121307
chr1	201955343
chr2	111706031
chr5	133240641
chr16	3152416
chr12	24133537
chr19	44753495
chr19	8240547
chr19	18388639
chr19	2168455
chr3	41199460
chr7	5591692
chr11	47408326
chr5	172150730
chr11	268948
chr10	32347361
chr1	11909733
chr2	121075254
chr1	1906382
chr13	75482602
chr6	43171382
chr7	151028731
chr18	35241083
chr13	28161565
chr16	66516974
chr7	74272763
chr12	45727690
chr22	49936235
chr22	17171592
chr13	24923002
chr6	143511789
chr2	127700744
chr9	98791302
chr3	49340124
chr16	50282157
chr1	37990073
chr20	43752677
chr17	58417577
chr4	88456919
chr16	23557504
chr7	20220094
chr6	27672214
chr11	68213863
chr4	110198705
chr4	82374513
chr15	67091439
chr7	100336115
chr11	62042127
chr17	63600867
chr17	49515354
chr1	26169966
chr16	75245304
chr4	40205525
chr3	17742618
chr16	29291030
chr1	28648676
chr12	53079558
chr16	2603404
chr9	37800761
chr7	101138635
chr17	20155884
chr16	2215192
chr9	124659220
chr19	2096309
chr11	48006861
chr10	72272834
chr5	95974129
chr1	84506607
chr1	3900462
chr10	17616807
chr7	75739425
chr1	148522730
chr11	9364402
chr6	31560515
chr2	208025470
chr3	126908933
chr8	33513644
chr16	70404446
chr3	49025592
chr6	28080965
chr17	73132211
chr10	119892742
chr19	2266694
chr6	26156475
chr2	112275554
chr17	81866641
chr16	50684123
chr4	705995
chr11	5280831
chr1	160046597
chr19	16897438
chr1	46442656
chr7	47475357
chr5	172115037
chr1	67685292
chr11	44559545
chr1	237864503
chr7	99616703
chr1	148522835
chr10	63707480
chr17	16988340
chr7	98641842
chr1	44799961
chr1	75724755
chr1	16367733
chr1	153566618
chr7	44490682
chr19	18374529
chr2	69642788
chr16	58734311
chr16	14310815
chr8	26037521
chr19	45075391
chr1	148263648
chr22	20117432
chr6	53061989
chr6	53359619
chr1	109263814
chr18	51211781
chr17	47649865
chr6	99521052
chr14	35535342
chr9	129488710
chr5	139670225
chr18	62715042
chr11	66336773
chr6	90369185
chr17	39852447
chr20	63854450
chr11	95924039
chr15	38454152
chr15	74546365
chr21	38985813
chr15	72376033
chr6	87723438
chr6	85670041
chr10	34717182
chr11	63872155
chr6	79545144
chr7	112451030
chr12	110469359
chr7	150405374
chr1	1779002
chr13	112689863
chr6	83431129
chr7	121394972
chr1	89719746
chr1	211259026
chr5	81852018
chr17	49570234
chr19	44943950
chr5	81751422
chr6	108598441
chr10	44857863
chr2	27771774
chr22	39957111
chr1	93909550
chr10	43418327
chr8	55844641
chr12	31749356
chr9	35730331
chr1	24745032
chr16	81481567
chr9	133103314
chr16	75075408
chr22	39399732
chr17	73291598
chr17	58631720
chr6	27139323
chr17	82065899
chr1	181022901
chr3	142448133
chr17	43361163
chr6	26020612
chr5	141619205
chr17	77088760
chr19	17282754
chr1	226662987
chr6	28141904
chr3	16264905
chr4	8594550
chr1	827446
chr15	70015064
chr4	8199243
chr13	114314300
chr1	54488443
chr22	38398796
chr18	35498004
chr19	17997056
chr5	2038754
chr10	17228632
chr2	85616137
chr5	132830743
chr4	4542078
chr19	17305547
chr17	3694088
chr3	131795607
chr1	151057922
chr2	88016440
chr6	7236449
chr1	147084671
chr1	150926320
chr17	74296699
chr3	143085184
chr8	42153555
chr14	73886655
chr15	56918553
chr13	21603720
chr12	64452165
chr15	44663636
chr19	12945836
