Chrom	position
chr13	97433207
chr1	28247268
chr6	32971982
chr19	40222112
chr9	89311034
chr6	116280029
chr1	151347344
chr11	83156894
chr1	43650007
chr6	32953203
chr22	41448598
chr2	182642520
chr19	55503924
chr19	19385782
chr12	6764418
chr17	61570420
chr11	95254452
chr11	47214402
chr7	23182003
chr15	77836573
chr11	65487722
chr6	32668508
chr12	66234245
chr16	15908266
chr19	48574869
chr2	217434261
chr6	32941102
chr3	120417482
chr17	9817305
chr2	9631262
chr6	33112355
chr6	33075881
chr2	31980901
chr11	72080807
chr19	40750785
chr6	31357280
chr2	219642592
chr9	33001661
chr6	31463088
chr11	10314877
chr6	32473692
chr9	89490121
chr3	48717312
chr10	70387694
chr7	76318134
chr19	12610836
chr5	8577990
chr6	29723338
chr18	7830643
chr6	33073737
chr9	35072776
chr6	33009680
chr19	10569173
chr9	35727136
chr14	75259254
chr5	45454310
chr19	6536260
chr6	32690416
chr1	30824602
chr5	91381071
chr10	14838077
chr10	72273815
chr6	29650184
chr14	23469476
chr14	88824609
chr7	45769040
chr7	39733380
chr19	43575767
chr3	125916069
chr6	32530390
chr6	116254135
chr10	110211312
chr6	26440449
chr10	102245471
chr10	88387329
chr16	67162594
chr5	134591463
chr5	177457821
chr11	6619479
chr16	79770738
chr3	121749830
chr21	46458777
chr6	29565078
chr3	114519655
chr22	37658407
chr16	81522223
chr6	29552757
chr3	136659462
chr5	71533845
chr19	55517107
chr19	42076100
chr7	22872292
chr19	45178519
chr19	46675014
chr19	47351719
chr15	79944829
chr1	51422165
chr19	18192969
chr19	48659969
chr19	48782628
chr14	102164566
chr19	50608161
chr6	33029600
chr19	10380705
chr6	32854045
chr11	62556303
chr19	2061669
chr6	32666753
chr15	92904333
chr9	129081090
chr19	19259965
chr19	10454480
chr19	40592338
chr4	98182011
chr4	77156773
chr19	16778970
chr19	3857802
chr12	14417888
chr17	7844913
chr3	185586117
chr3	145094782
chr20	31895288
chr3	111252924
chr19	48661248
chr10	101589152
chr19	50200217
chr19	55329116
chr19	58401477
chr9	117916486
chr17	6361922
chr5	74903547
chr11	33347677
chr10	99430755
chr15	44711443
chr6	89081686
chr6	21593659
chr14	31561368
chr16	29973595
chr6	42984505
chr7	100803714
chr6	43510382
chr5	177517128
chr7	106598889
chr1	45583538
chr6	32439790
chr6	160945974
chr5	112976604
chr6	26383046
chr1	30315702
chr8	102811007
chr5	109410140
chr15	44728922
chr12	51173141
chr9	35617209
chr8	129914054
chr2	17520960
chr19	51108638
chr11	95231364
chr5	88729556
chr12	53696418
chr2	160278564
chr19	50679557
chr11	62727931
chr2	196051838
chr1	175130348
chr1	6363283
chr1	181033906
chr20	5481018
chr20	17768459
chr6	32609988
chr17	19362651
chr6	32589881
chr12	55997158
chr1	61711519
chr6	116229443
chr6	136319925
chr18	35041307
chr12	14416790
chr19	3035712
chr14	103385313
chr8	29885914
chr15	65792451
chr19	11251427
chr17	82698795
chr19	18104557
chr17	82351923
chr17	82273683
chr19	35237173
chr19	35612713
chr19	36331810
chr12	29053739
chr8	94949486
chr12	4031380
chr7	70707885
chr15	74598408
chr12	67441982
chr2	195656835
chr12	14829104
chr6	30259492
chr10	95755641
chr22	44180877
chr1	228075556
chr21	33542926
chr12	120087166
chr4	78644895
chr9	89359235
chr22	25138329
chr18	13194438
chr4	165398731
chr22	24429465
chr6	28896411
chr6	32437636
chr10	11638270
chr16	75556296
chr3	119492328
chr11	3915014
chr1	248839010
chr6	31272183
chr7	65933115
chr12	45914341
chr3	128123853
chr8	100952102
chr9	134449777
chr6	14211134
