Chrom	position
chr16	46424638
chr16	46428745
chrUn_gl000228	118352
chr16	46435378
chr16	46424437
chr12	95484
chr11	129830337
chr10	135186898
chr17	22020749
chr8	124084806
chr21	15399625
chr7	100303617
chr7	102389264
chr5	65931481
chr5	68045626
chr14	74829226
chr8	103918765
chr2	65283412
chr8	102193365
chr8	123446404
chr12	5367798
chr22	38577910
chr9	20358388
chr17	40588567
chr13	50782792
chr17	39929587
chr1	44115670
chr4	42006011
chr7	65860394
chr4	49122202
chr4	49123037
chr2	20646785
chr4	128886408
chr16	74402169
chr17	22261860
chr1	155579837
chr8	141841364
chr4	190156307
chr10	29978184
chr14	92446802
chr14	103621510
chr1	68316509
chr8	57235526
chr16	46396746
chr8	681284
chr5	132177191
chr16	30194917
chr16	46395314
chr16	46397614
chr16	46386705
chr8	94753329
chr16	46422651
chr1	197297103
chr2	90393274
chr2	90392904
chr2	90392381
chr15	35774373
chr1	87258929
chr2	90389426
chr2	233180351
chr16	46434793
chr2	90381385
chr2	220227393
chr2	90375382
chr2	200726057
chr2	106731934
chr15	76603887
chr2	112382121
chr16	2510064
chr16	4932919
chr6	35420126
chr19	36370783
chr12	104865396
chr19	45248762
chr3	23958469
chr6	91650702
chr7	24616018
chr1	241755705
chr7	22992637
chr18	11500629
chrUn_gl000212	40882
chr6	158221872
chr3	32551831
chr1	9621691
chr6	170709259
chr3	45718899
chr9	117287961
chr13	31040119
chr19	51870909
chr13	30170237
chr18	6995113
chr10	103227185
chr3	183952285
chr1	249240562
chr7	5826228
chr10	116457001
chr7	12564694
chr7	44058899
chr9	138798426
chrUn_gl000226	6798
chr1	169508461
chr3	99979773
chr9	66458451
chr6	43474647
chr1	26624830
chr12	118573790
chr2	101737123
chr19	19063549
chr2	100982104
chr19	18682415
chr19	18390522
chr2	101204859
chr2	96560435
chr19	19361210
chr2	9771310
chr19	19431462
chr2	86668398
chr2	73053195
chr2	73291165
chr2	74097426
chr2	74667691
chr2	74756903
chr2	74794059
chr19	41082760
chr2	75520148
chr2	78323980
chr2	86205979
chr2	88337973
chr19	35168511
chr19	39930970
chr19	39903114
chr2	88927182
chr19	39109734
chr19	36627999
chr2	90388090
chr19	18303831
chr19	36236437
chr19	35704944
chr19	35655422
chr2	106212157
chr2	114576143
chr19	17469352
chr2	109779621
chr2	131565246
chr19	11489514
chr19	11455273
chr19	10679740
chr19	9907122
chr19	7894810
chr2	132439403
chr2	133381226
chr19	7548917
chr19	6947973
chr19	6863669
chr19	6057553
chr19	4694616
chr19	3573982
chr19	3565388
chr19	2950777
chr19	2785319
chr19	2028872
chr19	1778944
chr19	1653115
chr19	1241656
chr2	131485299
chr2	129431120
chr2	128827593
chr2	119016400
chr19	17246480
chr19	16934074
chr19	16390206
chr19	16190247
chr19	15376948
chr19	41304785
chr19	14640249
chr2	114589117
chr2	114652098
chr19	14063107
chr19	12777679
chr19	13744237
chr2	120578094
chr19	13372027
chr2	120995268
chr2	121354868
chr19	13162710
chr19	12833645
chr2	121453167
chr2	122961315
chr2	71503722
chr19	44576285
chr19	42580154
chr2	28939395
chr19	58912759
chr2	27255754
chr19	58341575
chr2	27651357
chr2	27999293
chr19	55582698
chr19	54480989
chr19	52693083
chr19	52302770
chr19	50639681
chr19	50507413
chr19	49127520
chr2	139179714
chr19	49990704
chr19	49436829
chr19	49403495
chr19	49322812
chr19	49228575
chr2	29117443
chr2	29388431
chr2	32853046
chr2	33383880
chr2	27233809
chr2	26700999
chr2	23874283
chr2	23720026
chr2	9778825
chr2	9734852
chr2	10400468
chr2	8616497
chr2	10438260
chr2	10592458
chr2	3466238
chr2	11355655
chr2	1773488
chr2	12317342
chr19	59087062
chr2	12728515
chr2	17824667
chr19	59070407
chr2	17827513
chr2	18595229
chr2	19173381
chr2	20251932
chr2	20252758
chr2	20455276
chr2	20650812
chr19	49140800
chr2	37117046
chr2	69405480
chr2	64925997
chr2	54950704
chr2	54956132
chr2	55538858
chr2	56007040
chr19	46184977
chr2	59911169
chr2	61018930
chr2	61372225
chr2	61669102
chr2	64440327
chr2	65034654
chr2	38003886
chr2	9777564
chr2	65180203
chr19	44079844
chr2	65594987
chr2	65659748
chr2	66416870
chr2	67624428
chr2	68258962
chr2	68290228
chr2	68418257
chr19	46572066
chr2	54798161
chr19	46696636
chr19	46725455
chr2	40322257
chr2	40420104
chr2	40447502
chr19	48824582
chr19	47552021
chr2	43302443
chr2	43567435
chr19	47367252
chr2	44358557
chr2	45236695
chr2	45355976
chr2	45745678
chr2	46043671
chr19	47296630
chr2	46592093
chr19	47164546
chr2	47137178
chr2	48333994
chr2	48475899
chr2	48941514
chr2	54758820
chr1	10187
chr2	171181349
chr2	142870598
chr3	47823475
chr22	50744413
chr3	4675266
chr3	5028808
chr3	9005342
chr3	10231441
chr3	11590401
chr3	13066877
chr3	22148128
chr3	25623891
chr3	29799958
chr3	37263145
chr3	42133062
chr3	46169271
chr3	46955299
chr3	48673120
chr22	47729544
chr3	49059042
chr3	52091484
chr3	52251219
chr3	52570463
chr3	53184488
chr3	56790256
chr3	61880948
chr3	64138035
chr3	64175125
chr3	69608451
chr3	72031919
chr3	72641001
chr3	94648120
chr3	96159874
chr22	50247212
chr22	46858797
chr21	30554584
chr21	45232234
chr21	34180596
chr21	34768418
chr21	34769512
chr21	35014656
chr21	35320316
chr21	36375852
chr21	36605216
chr21	37692380
chr21	38219650
chr21	38282287
chr21	38739005
chr21	39675418
chr21	43916552
chr21	45006003
chr21	46421112
chr22	46646267
chr21	47075203
chr22	18056644
chr22	18269664
chr22	21910443
chr22	21984396
chr22	25366093
chr22	25550501
chr22	29195521
chr22	30601520
chr22	37595519
chr22	37930099
chr22	38240460
chr22	38330016
chr22	39378333
chr3	98048596
chr3	98257544
chr3	98620671
chr3	127842778
chr3	122513043
chr3	123979626
chr3	124034273
chr3	124103595
chr3	124187125
chr3	124271318
chr3	124705219
chr3	124771735
chr3	124859053
chr3	125927655
chr3	127469763
chr3	127487407
chr3	127512004
chr3	127536533
chr3	128268207
chr3	98827590
chr3	129322123
chr3	129328743
chr3	129814780
chr3	130612836
chr3	131626864
chr3	131899377
chr3	132037491
chr3	133292223
chr3	134009700
chr3	134010833
chr3	134036525
chr3	134039749
chr3	134146512
chr3	136062886
chr3	120218046
chr3	119963206
chr3	119896120
chr3	119891222
chr3	99385408
chr3	99988677
chr3	100785789
chr3	101292474
chr3	101788478
chr3	105366048
chr3	105657153
chr3	106176357
chr3	106590921
chr3	106713031
chr3	106753934
chr3	106843951
chr3	107428186
chr3	108636558
chr3	108987269
chr3	109450886
chr3	111040961
chr3	111057170
chr3	111708136
chr3	111762712
chr3	112770300
chr3	113793992
chr3	114619694
chr3	114801648
chr3	115533707
chr3	117344724
chr3	117493557
chr3	118959807
chr3	119879162
chr21	33031851
chr21	19221651
chr2	143625975
chr2	203204284
chr2	181275954
chr2	181852534
chr2	182003646
chr2	183515655
chr2	183649516
chr2	189676460
chr2	191334109
chr2	191630641
chr2	191812958
chr2	197451600
chr2	197472981
chr2	198780725
chr2	200217682
chr2	202101299
chr2	216176685
chr2	178937510
chr2	219575442
chr2	219582196
chr2	224330865
chr2	227903611
chr2	228728227
chr2	234160329
chr2	234883307
chr2	235933095
chr2	236302911
chr2	238000792
chr2	239194628
chr2	239637488
chr20	467674
chr20	2451586
chr2	181032145
chr2	178116957
chr21	18958396
chr2	161423227
chr2	147163103
chr2	147333863
chr2	148394292
chr2	150021002
chr2	150655921
chr2	151908450
chr2	152190738
chr2	152908956
chr2	153155582
chr2	153261979
chr2	160372965
chr2	160797764
chr2	160896190
chr2	161062241
chr2	161887189
chr2	175863269
chr2	162231509
chr2	162296473
chr2	162443165
chr2	164452212
chr2	165777196
chr2	168046754
chr2	168431825
chr2	169587095
chr2	169868826
chr19	1205629
chr2	171281903
chr2	172128714
chr2	173158979
chr2	174049302
chr20	5676794
chr20	6572148
chr20	7391111
chr20	49982913
chr20	43670404
chr20	43991749
chr20	44048334
chr20	44441097
chr20	45987639
chr20	46523596
chr20	46924411
chr20	47448463
chr20	47805107
chr20	48077682
chr20	48389083
chr20	48760882
chr20	49596827
chr20	49977095
chr20	51638774
chr20	7682869
chr20	52660912
chr20	52724857
chr20	55130071
chr20	55450302
chr20	56011050
chr20	56477705
chr20	56964150
chr20	62313918
chr20	62526315
chr21	16786242
chr21	17253152
chr21	18813858
chr21	18826891
chr20	43367636
chr20	43331617
chr20	43205670
chr20	42734000
chr20	10220794
chr20	11413321
chr20	11438298
chr20	11524844
chr20	12990402
chr20	13975926
chr20	18581008
chr20	25204007
chr20	30326930
chr20	30424160
chr20	32254654
chr20	32321789
chr20	33225546
chr20	33915194
chr20	33975411
chr20	34207327
chr20	34226186
chr20	35234049
chr20	35437392
chr20	37152586
chr20	38916063
chr20	39297541
chr20	42077922
chr20	42212783
chr20	42244687
chr20	42510379
chr20	42568157
chr19	1216409
chr17	71336447
chr19	1095570
chr13	106307658
chr13	97653082
chr13	97851286
chr13	97874546
chr13	97876050
chr13	97907192
chr13	98085383
chr13	99964835
chr13	100279167
chr13	101326104
chr13	102404002
chr13	103233072
chr13	103451543
chr13	105224100
chr13	107000515
chr13	96297123
chr13	110368492
chr13	111062067
chr13	111267758
chr13	111596779
chr13	114080391
chr13	114781229
chr14	20795934
chr14	20895534
chr14	20929875
chr14	20963588
chr14	21737942
chr14	22764778
chr14	22901897
chr13	97381118
chr13	95253974
chr13	62393155
chr13	77363437
chr13	66631204
chr13	66875512
chr13	67597842
chr13	67733123
chr13	70646609
chr13	72131789
chr13	73301896
chr13	73366389
chr13	74864695
chr13	75993361
chr13	76056657
chr13	76119210
chr13	76423521
chr13	79702510
chr13	91764120
chr13	80614864
chr13	80623087
chr13	80809851
chr13	81635541
chr13	81887845
chr13	84023979
chr13	84131692
chr13	84410151
chr13	87244314
chr13	87251211
chr13	87381685
chr13	88876096
chr13	89355618
chr14	24299568
chr14	24458038
chr14	33126632
chr14	105668457
chr14	92463405
chr14	95781177
chr14	95986190
chr14	96001171
chr14	96562344
chr14	96597308
chr14	97272728
chr14	99233196
chr14	99947662
chr14	100659421
chr14	102229144
chr14	103018636
chr14	103542171
chr14	34456293
chr15	32044812
chr15	39555404
chr15	45571477
chr15	52519741
chr15	52944213
chr15	55977655
chr15	56091712
chr15	59484267
chr15	59665160
chr15	60383538
chr15	60683486
chr15	62861819
chr14	91976739
chr14	91621625
chr14	89882419
chr14	89467086
chr14	34551251
chr14	35416020
chr14	35761490
chr14	39816934
chr14	45738030
chr14	50505389
chr14	51012539
chr14	55768539
chr14	59905093
chr14	61089829
chr14	61570665
chr14	62229001
chr14	64331212
chr14	64360563
chr14	65486871
chr14	66981118
chr14	67144782
chr14	68466858
chr14	69152684
chr14	70464737
chr14	74227027
chr14	75030084
chr14	75229945
chr14	77653447
chr14	78262256
chr14	82091780
chr14	89290733
chr13	65298016
chr13	60970507
chr15	64812418
chr12	96230571
chr12	76844669
chr12	78797578
chr12	86282416
chr12	88641244
chr12	88785575
chr12	89411093
chr12	92581472
chr12	92955459
chr12	93364996
chr12	94058543
chr12	94377061
chr12	95034504
chr12	95609994
chr12	96613776
chr12	76577450
chr12	100348598
chr12	102224894
chr12	104323971
chr12	104998041
chr12	105369576
chr12	107463869
chr12	108706795
chr12	108905829
chr12	108908932
chr12	110151350
chr12	111843454
chr12	113658978
chr12	113661021
chr12	76723154
chr12	76478543
chr13	52930606
chr12	53574364
chr12	42529269
chr12	42816234
chr12	43330879
chr12	45516731
chr12	46825692
chr12	49504793
chr12	49662503
chr12	50720600
chr12	50784323
chr12	52365126
chr12	52604753
chr12	53298937
chr12	53321168
chr12	56618025
chr12	76364072
chr12	57039910
chr12	57463405
chr12	58051782
chr12	60927331
chr12	65758036
chr12	67687622
chr12	68247119
chr12	68334676
chr12	68572237
chr12	71388191
chr12	71786561
chr12	71979486
chr12	75682342
chr12	118240956
chr12	118740081
chr12	120105666
chr13	45737238
chr13	40340111
chr13	40927185
chr13	40976603
chr13	41015704
chr13	41246582
chr13	41345571
chr13	41707123
chr13	42320540
chr13	43227301
chr13	43570874
chr13	44935206
chr13	45012466
chr13	45308704
chr13	45883690
chr12	120451780
chr13	45992570
chr13	46014726
chr13	46249146
chr13	46381831
chr13	46734909
chr13	47207682
chr13	49020754
chr13	49528438
chr13	50227051
chr13	51484056
chr13	51547775
chr13	51860699
chr13	52027277
chr13	40186228
chr13	36992358
chr13	36294294
chr13	35731495
chr12	121837823
chr12	122222653
chr12	123431507
chr12	123717798
chr12	124852497
chr12	124997354
chr12	125005031
chr12	125249535
chr12	125564582
chr12	126958346
chr12	126967950
chr12	131972377
chr12	132674275
chr12	133187107
chr12	133263999
chr13	20531576
chr13	25485374
chr13	26148886
chr13	26327524
chr13	27056935
chr13	27557401
chr13	27844886
chr13	30484575
chr13	31314356
chr13	32556794
chr13	35037144
chr15	63768629
chr15	67390828
chr19	588410
chr17	48296866
chr17	42664869
chr17	43394688
chr17	44256319
chr17	44264476
chr17	44302849
chr17	44364397
chr17	45401241
chr17	45727035
chr17	46104070
chr17	46184870
chr17	46564101
chr17	47592909
chr17	48139996
chr17	48739381
chr17	41277483
chr17	48764141
chr17	49230730
chr17	50105223
chr17	53434399
chr17	53804075
chr17	53823942
chr17	54369549
chr17	56063108
chr17	57232839
chr17	57903177
chr17	58160125
chr17	58186724
chr17	58682499
chr17	41791173
chr17	40575314
chr17	13319772
chr17	26707393
chr17	15160909
chr17	15195493
chr17	15313157
chr17	15379103
chr17	15602961
chr17	16132899
chr17	18163832
chr17	18266840
chr17	20839217
chr17	21187931
chr17	25574686
chr17	25621046
chr17	26903973
chr17	40561684
chr17	28422925
chr17	29022081
chr17	29595279
chr17	29655015
chr17	34519922
chr17	35425185
chr17	36184723
chr17	36507678
chr17	36956318
chr17	37332228
chr17	38471012
chr17	38497632
chr17	38574358
chr17	59582226
chr17	60729896
chr17	61851048
chr18	19862695
chr17	79068899
chr17	79339717
chr17	79367855
chr17	79885768
chr17	79961799
chr17	79989158
chr18	110392
chr18	3652987
chr18	7177022
