Chrom	position
chr9	7799817
chr6	57090047
chr7	39949558
chr6	31652670
chr3	14651611
chr9	120580209
chr1	1116230
chr17	81860903
chr16	1612131
chr12	56118212
chr20	34677188
chr2	241637499
chr17	58692599
chr19	16496268
chr13	27251308
chr3	15099181
chr1	113812545
chr12	53727593
chr5	134226088
chr6	69797084
chr12	110048644
chr2	196639525
chr7	6104692
chr12	1690978
chr19	58401441
chr20	36605619
chr1	22052664
chr7	66654506
chr12	50025554
chr19	58514135
chr6	33391556
chr20	23361935
chr17	44899436
chr3	53347617
chr4	82891213
chr2	70293706
chr5	177517017
chr11	17077742
chr10	78033807
chr19	55675139
chr18	13726613
chr10	931864
chr2	27081397
chr6	133953162
chr19	1407344
chr1	28328976
chr16	87392223
chr20	20712941
chr5	87412956
chr19	54200791
chr10	5684573
chr12	949783
chr20	23421489
chr9	72365255
chr6	116571301
chr1	27773142
chr6	117675384
chr6	125986460
chr6	125956700
chr19	54449131
chr19	1876201
chr17	42458800
chr19	10106367
chr9	94259280
chr6	149648710
chr2	169573934
chr17	18781245
chr3	184314534
chr16	28553903
chr7	133252979
chr5	113513666
chr6	159726989
chr19	50384356
chr20	44960446
chr6	166999361
chr1	23019388
chr5	121961922
chr6	149546097
chr14	44962079
chr15	43493216
chr4	2242134
chr4	4542095
chr4	3074658
chr12	6891168
chr4	2536448
chr10	18651629
chr1	25998207
chr7	139231212
chr20	37289697
chr17	42609665
chr1	25859435
chr12	10613604
chr4	932349
chr17	82751984
chr7	139133735
chr20	18567325
chr20	25407661
chr4	56387441
chr11	78079897
chr2	230712784
chr15	34338076
chr2	231710234
chr2	232550661
chr11	65261732
chr12	122752780
chr4	147684226
chr18	62715084
chr4	145180564
chr1	36224384
chr10	45594900
chr18	59139767
chr11	74949210
chr11	65122196
chr1	111619791
chr1	109984757
chr16	4614952
chr4	174120609
chr19	797105
chr2	208025566
chr14	104753114
chr6	42050572
chr1	42335344
chr5	1801399
chr2	3575272
chr2	219206793
chr16	2682408
chr2	219279389
chr11	65961609
chr15	30903857
chr14	96797319
chr16	2911788
chr2	20351042
chr5	69332823
chr10	43409167
chr18	21612286
chr16	4847343
chr19	13747837
chr4	87422579
chr11	111602231
chr17	27294023
chr2	25982769
chr19	57435249
chr1	44631959
chr15	40755278
chr7	151058140
chr10	27242163
chr2	135741642
chr17	39927664
chr17	39980781
chr4	68350150
chr9	36572827
chr14	73027289
chr6	35342513
chr16	11976605
chr19	57916663
chr4	121823931
chr14	75259112
chr8	142403236
chr10	73782030
chr11	86069249
chr16	10944492
chr11	65084180
chr14	73458728
chr6	87155529
chr11	94973605
chr2	24076396
chr14	73950252
chr9	27573851
chr19	13150321
