Chrom	position
chr17	29158972
chr6	52149644
chr19	33463018
chr1	47779861
chr17	76183195
chr15	40886432
chr16	23690137
chr13	34392258
chr10	58121083
chr9	95088197
chr1	163291748
chr2	169746977
chr18	47901433
chr4	15683238
chr15	90118687
chr11	61891498
chr20	814274
chr15	49103454
chr13	73301926
chr8	25316718
chr1	156542361
chr3	10028570
chr1	38158170
chr5	137514750
chr3	10068110
chr11	77850780
chr12	50419269
chr7	152373217
chr1	197115824
chr1	202311218
chr22	46692756
chr13	60738086
chr6	20402058
chr8	145743234
chr5	892995
chr2	111435660
chr6	31707601
chr4	120987979
chr19	46431152
chr6	136571490
chr11	82612758
chr2	191885052
chr15	36871533
chr4	185655273
chr1	10490488
chr12	49717025
chr12	6960478
chr13	48611787
chr8	27695351
chr8	27632036
chr12	2986349
chr19	17186266
chr6	80714358
chr17	8113947
chr3	20227716
chr11	95523094
chr2	25016334
chr1	200589890
chr6	126661264
chr10	70231515
chr14	81408095
chr1	45205494
chr10	62538175
chr19	11266489
chr15	40453227
chr16	81040828
chr20	5100055
chr7	36429437
chr1	46713377
chr10	95256354
chr1	54303988
chr21	33651356
chr15	64673692
chr3	133380803
chr1	211848977
chr16	46655287
chr12	56842992
chr4	100871437
chr15	91260614
chr17	3627199
chr18	2571565
chr12	9600792
chr1	242011492
chr1	214776558
chr18	51884291
chr15	69706644
chr7	158497466
chr1	154947111
chr19	13030091
chr7	32530036
chr12	102513942
chr1	247095368
chr3	44803236
chr19	10679928
chr2	10262815
chr12	57472536
chr9	35665210
chr20	42295727
chr11	64851554
chr2	200775887
chr17	26926030
chr9	98079968
chr2	197504401
chr15	91498528
chr1	63988921
chr2	201390878
chr10	129924744
chr16	30583518
chr19	54024332
chr6	27807694
chr8	124084930
chr14	45605085
chr1	100598480
chr10	27444282
chr17	43025152
chr8	48873469
chr10	64028435
chr3	52188449
chr17	42786027
chr20	35402213
chr15	74988442
chr8	120868153
chr9	34329279
chr16	58426364
chr11	46867918
chr10	102820499
chr6	97731080
chr4	1723228
chr9	77567890
chr10	91461365
chr6	27862289
chr16	85722595
chr2	219773856
chr9	36572868
chr15	30918285
chr1	181057688
chr14	91294516
chr5	64859011
chr17	76210343
chr4	17812525
chr1	160255028
chr7	128116739
chr17	40729727
chr10	103911878
chr11	134093883
chr8	101158058
chr3	186524255
chr6	33359578
chr19	11750594
chr3	99536406
chr21	30365392
chr16	89883087
chr5	149737691
chr10	99052564
chr7	45039400
chr12	109535783
chr14	45722450
chr6	27833051
chr13	31040213
chr2	17935395
chr6	27775902
chr12	4648026
chr16	30645786
chr16	20817832
chr8	95487336
chr8	9413245
chr6	31126287
chr10	124713890
chr5	137549177
chr1	38019997
chr1	68962783
chr5	93954350
chr8	67525506
chr9	99180705
chr3	49893979
chr5	82373382
chr10	53459702
chr16	4635677
chr1	9489174
chr4	56815100
chr18	12991154
chr19	49224039
chr19	14247432
chr1	93646263
chr4	175205127
chr20	30327096
chr19	55919501
chr17	79369058
chr7	86781632
chr11	17099419
chr4	113558044
chr6	83775654
chr15	48624358
chr2	58468545
chr5	59995985
chr7	2281884
chr1	36235586
chr6	31830911
chr6	27099780
chr1	169764190
chr15	74833286
chr6	26055633
chr14	53019373
chr3	88198784
chr5	169010754
chr5	43515217
chr5	137667538
chr1	155214709
chr17	42219291
chr19	46195491
chr4	84205644
chr6	27782613
chr4	184425814
chr17	30186450
chr8	37962983
chr10	14996222
chr5	72144818
chr1	155247017
chr3	121264828
chr13	42846067
chr17	60501179
chr6	26032415
chr8	8860445
chr11	62623526
chr11	74204169
chr11	4116046
chr4	128802071
chr8	128748417
chr3	160167780
chr16	88870152
chr14	104181805
chr16	30064388
chr4	154265813
chr2	203130393
chr6	149867356
chr17	59940898
chr14	105957670
chr6	26104113
chr20	2451436
chr16	67596284
chr2	48541485
chr14	55658313
chr13	21750700
chr19	53426344
chr6	91297099
chr19	4909988
chr2	48010304
chr12	6603156
chr14	105487531
chr4	78078020
chr17	38444109
chr11	58912252
chr6	88299837
chr12	133263958
chr6	26234202
chr15	71184883
chr1	43124112
chr16	30621800
chr16	838642
chr11	63741989
chr2	203736505
chr20	31350064
chr14	50154955
chr4	1283514
chr1	43824601
chr1	150208706
chr16	28962182
chr4	159644613
chr4	83934066
chr17	37558929
chr10	121356789
chr11	28129798
chr10	124639198
chr3	9438801
chr12	9800626
chr12	69080776
chr13	37574935
chr12	108956211
chr3	15140729
chr19	50169219
chr1	229644070
chr6	24775570
chr17	34257795
chr14	50065680
chr11	71791586
chr20	17949698
chr11	118966377
chr10	60027928
chr8	63951356
chr19	16222171
chr19	50529322
chr2	242626274
chr9	26947556
chr13	32889608
chr18	14132469
chr20	3776891
chr1	26185952
chr19	51897746
chr20	44441249
chr2	171785501
chr15	32907694
chr17	6347744
chr6	27113906
chr16	46723550
chr1	176176438
chr11	3013684
chr4	174255866
chr12	510772
chr1	228291150
chr6	90539497
chr12	21654561
chr7	73668743
chr15	44719280
chr1	28845120
chr13	79233281
chr10	96305571
chr17	57184459
chr10	94352853
chr19	12917377
chr17	48450614
chr12	98909278
chr13	115079908
chr1	212209084
chr2	97001525
chr4	39367992
chr11	33183245
chr16	2510098
chr6	111135793
chr4	178231009
chr12	53662048
chr10	112327088
chr4	130014723
chr4	71859373
chr15	40987358
chr15	56757414
chr8	56987185
chr1	38156388
chr11	63439047
chr19	55852808
chr11	94706858
chr20	39657129
chr19	41256634
chr16	11439270
chr14	54863551
chr14	90422250
chr21	15399707
chr2	113522231
chr1	117602749
chr9	98273811
chr1	112298533
chr11	85339580
chr12	69140617
chr8	135724784
chr2	73340336
chr4	185654603
chr20	30467952
chr2	84686715
chr9	106856573
chr14	93673615
chr17	21002700
chr11	61560358
chr7	56174325
chr20	25388325
chr20	36661872
chr6	31632914
chr19	47634536
chr7	148725752
chr11	74303637
chr12	77459381
chr1	24286169
chr1	226496887
chr19	30302884
chr15	65117881
chr5	145826748
chr9	82186435
chr19	50887605
chr1	23857769
chr22	29137812
chr2	219433047
chr9	131486647
chr1	93544830
chr9	73033283
chr2	136634103
chr11	93394778
chr6	86388725
chr5	40756178
chr13	50656180
chr19	51307897
chr12	118454513
chr11	27384759
chr19	53971313
chr17	35306138
chr11	9595126
chr1	40997351
chr19	6199553
chr3	157827888
chr17	73201807
chr5	177631429
chr8	73920929
chr16	67281568
chr5	61708510
chr15	68346446
chr4	1714403
chr16	72698880
chr6	49431103
chr6	41040332
chr4	2243846
chr12	110940074
chr17	56085000
chr5	162887600
chr12	99038779
chr11	8008746
chr20	36196162
chr1	114447935
chr12	34175428
chr11	13485265
chr11	10562343
chr16	3019254
chr17	7591696
chr16	30597129
chr21	47743784
chr6	167412568
chr7	48124616
chr6	56407849
chr2	220083843
chr13	25497028
chr3	48229959
chr11	118955546
chr3	9005153
chr12	9436244
chr17	7487055
chr9	131940667
chr6	153304242
chr17	56770035
chr17	61819355
chr10	14920849
chr19	58111270
chr7	50518058
chr6	126277831
chr3	172468527
chr1	67894983
chr4	109571418
chr6	30685343
chr8	121457651
chr17	5389908
chr19	48867569
chr15	74753641
chr15	66797628
chr3	186857254
chr19	37263732
chr1	247171392
chr14	20811757
chr19	48707290
chr18	12702745
chr9	115480388
chr3	196295406
chr9	21802537
chr15	89010655
chr12	49524608
chr15	89164387
chr18	56338514
chr20	61569274
chr13	51484014
chr6	27100780
chr18	67872955
chr4	122745068
chr19	44079781
chr13	41707106
chr10	18940548
chr11	108535740
chr20	61847638
chr2	132250626
chr5	64064420
chr22	20104958
chr18	37380259
chr22	50946662
chr8	41386739
chr9	116172641
chr17	74350338
chr10	105128435
chr12	110906061
chr11	58874639
chr1	110881584
chr18	45282940
chr1	207818412
chr6	106958683
chr3	72897653
chr15	91537802
chr5	126114118
chr4	6675694
chr19	14016906
chr10	14880279
chr10	5454498
chr20	5931328
chr20	42286218
chr6	56911430
chr5	122759030
chr9	131218351
chr10	18949038
chr13	53029587
chr2	174219353
chr9	19102938
chr5	37371191
chr19	21182723
chr1	51434380
chr9	80851018
chr5	151152671
chr14	94547647
chr12	31479270
chr9	34049561
chr9	140100176
chr14	97263727
chr16	29802043
chr19	44259807
chr19	47359447
chr12	112451003
chr8	118532965
chr13	34117098
chr20	37101411
chr14	90421119
chr6	57182442
chr12	120315115
chr19	36545784
chr1	28241099
chr3	160117351
chr20	61427714
chr11	71823821
chr8	107670699
chr2	206750446
chr2	20550746
chr8	117887051
chr14	64854818
chr6	36391215
chr3	108308267
chr22	20067490
chr8	99953622
chr2	29093304
chr7	100303720
chr2	136288137
chr1	178062661
chr9	137030037
chr19	13262756
chr5	36242447
chr12	65563254
chr6	34725154
chr1	31769817
chr9	99801473
chr21	47744380
chr8	145669811
chr4	129733281
chr2	71503648
chr15	59397309
chr5	112312252
chr12	69753985
chr11	65029413
chr2	207024283
chr11	85376197
chr2	178077306
chr18	59854345
chr3	148804481
chr8	21987633
chr17	18266870
chr19	48103833
chr10	13203527
chr12	110151458
chr18	658406
chr2	11273226
chr5	134181588
chr1	27191733
chr15	34517085
chr19	36486042
chr1	193028542
chr16	67694178
chr2	73964471
chr1	153606464
chr14	66974671
chr7	135242702
chr3	127317243
chr17	79849673
chr3	137893760
chr14	55493810
chr11	65488285
chr20	62289711
chr19	58193349
chr11	93861849
chr7	7680075
chr20	37554981
chr22	39378414
chr11	67275852
chr2	170440916
chr19	37262586
chr19	12512045
chr3	136471392
chr7	37071617
chr16	10837648
chr1	151042979
chr19	20150328
chr19	14117475
chr11	64808512
chr22	19467405
chr6	44281039
chr1	173793548
chr19	40728096
chr19	11849780
chr8	86019360
chr6	138910072
chr20	35724434
chr12	31226747
chr2	130939197
chr20	32274242
chr9	91926090
chr14	36295264
chr1	70671320
chr16	4323040
chr19	23433223
chr17	72869568
chr12	98910413
chr19	49956744
chr7	139044600
chr7	99699024
chr19	44439750
chr6	34855931
chr19	21950404
chr4	166248585
chr1	109419571
chr17	47269451
chr2	20101773
chr8	23104083
chr19	36103651
chr16	103683
chr12	98897208
chr1	202896463
chr11	125495838
chr12	12849140
chr20	56964215
chr19	11616703
chr13	114238929
chr6	26218026
chr12	122125009
chr11	57508838
chr3	93699323
chr2	201828422
chr3	128598336
chr15	42841015
chr19	10806433
chr6	33378071
chr6	166796594
chr20	60697405
chr17	41277439
chr11	113185125
chr7	64023448
chr7	100136489
chr4	124354
chr1	146967026
chr12	56521810
chr11	47448063
chr19	45004266
chr18	67873286
chr12	860521
chr19	58428103
chr7	100025886
chr15	44117025
chr14	21979408
chr19	51182772
chr22	36903189
chr7	148581781
chr15	89787241
chr7	54842052
chr1	26232059
chr2	201754099
chr2	225450337
chr2	39174998
chr14	74551648
chr1	38604416
chr19	11492076
chr22	35796006
chr1	77685117
chr8	54934978
chr19	48673861
chr5	68485403
chr6	56954930
chr2	216973967
chr5	68462929
chr3	50374742
chr3	48595695
chr2	153575123
chr8	124409071
chr1	244615531
chr12	56110303
chr6	18264774
chr2	47630261
chr14	81687860
chr7	25164969
chr19	21203427
chr19	21264978
chr22	37582503
chr6	53792126
chr9	94860417
chr12	105724316
chr2	203103361
chr6	160210817
chr19	12551876
chr5	61601777
chr10	124913630
chr19	17448239
chr3	171847911
chr6	42897163
chr15	22833424
chr2	232571845
chr1	46050444
chr10	69523885
chr17	74733624
chr8	30891384
chr19	23941719
chr15	41047601
chr11	110167737
chr9	15552906
chr11	58874234
chr17	38574205
chr19	11877870
chr15	96900563
chr10	70748523
chr19	18434056
chr8	27630190
chr2	157293136
chr15	41576114
chr4	108910930
chr17	36908902
chr21	37757698
chr17	8079727
