Chrom	position
chr1	192806093
chr7	100100661
chr15	92809345
chr19	18023989
chr12	57846791
chr15	74461146
chr1	150611627
chr19	2627510
chr7	104945225
chr2	226772817
chr1	109090679
chr9	131678651
chr22	37307197
chr3	71502459
chr19	909397
chr12	92030871
chr19	17523412
chr7	27663159
chr10	60237068
chr7	44460552
chr13	41916793
chr2	45730109
chr1	222713357
chr7	135148048
chr9	90774892
chr6	42045869
chr3	179196246
chr14	92400873
chr6	132357320
chr10	6086563
chr4	140156643
chr7	36192282
chr9	70420055
chr8	117440067
chr4	139946986
chr13	28268894
chr1	205288435
chr11	128290333
chr13	42377906
chr9	98102097
chr1	54407772
chr9	95462775
chr3	105798693
chr12	96194497
chr6	166488214
chr4	40301870
chr8	55930610
chr6	15245826
chr12	31896902
chr16	80541007
chr14	59301585
chr12	47808259
chr6	15551966
chr2	201116751
chr17	63699434
chr7	65475948
chr17	76252387
chr9	133133927
chr1	192516983
chr10	62018781
chr1	172746524
chr6	35602081
chr13	44259155
chr6	42742608
chr5	172772514
chr7	107168644
chr9	91151174
chr12	46218170
chr4	70678543
chr6	12354681
chr13	103031546
chr17	29722825
chr8	85190261
chr20	1435065
chr12	51369083
chr4	123450006
chr15	45572825
chr5	91380091
chr22	31290779
chr14	61477034
chr14	80959739
chr22	36405919
chr19	35462815
chr5	144187956
chr22	22885150
chr3	188092759
chr1	146007362
chr1	221167066
chr1	145996702
chr5	179819183
chr2	219249425
chr9	6429382
chr3	46566240
chr3	46095493
chr2	191014347
chr17	45226325
chr9	37302505
chr18	23488012
chr6	169590081
chr5	150780403
chr14	101876707
chr6	150623154
chr5	124741278
chr17	77140484
chr2	230441726
chr7	121438628
chr2	189661311
chr10	45594892
chr5	142357090
chr19	19668374
chr8	133499437
chr12	113075646
chr15	75350109
chr5	67215946
chr1	32250171
chr10	72248916
chr22	40646469
chr11	65472269
chr1	30754922
chr16	10329700
chr1	37923029
chr20	57490649
chr10	23439049
chr4	4944154
chr16	1331904
chr12	64644046
chr3	105835777
chr2	39379891
chr15	81296926
chr1	199041704
chr3	129576985
chr9	111926738
chr1	28172906
chr8	66010152
chr6	71288293
chr10	1489325
chr5	69136456
chr7	43649961
chr11	111417862
chr1	203321125
chr6	119442884
chr7	20220108
chr2	37390589
chr8	124637773
chr7	43648894
chr12	67630924
chr1	198681997
chr4	150867287
chr2	438221
chr10	11163322
chr18	55589883
chr14	75259336
chr12	14952448
chr8	23243561
chr17	59565571
chr2	208025559
chr19	39402739
chr14	73772572
chr3	187979735
chr5	10607292
chr9	130693640
chr1	157725335
chr12	89346559
chr8	102239854
chr12	122081957
chr9	4530659
chr19	35296128
chr1	221069316
chr2	136206776
chr17	57939915
chr6	157764517
chr10	110843269
chr1	154955346
chr18	44548696
chr1	27875425
chr2	177263543
chr8	141002307
chr4	48370884
chr16	11311911
chr5	163916574
chr2	196240383
chr22	43110549
chr2	88626929
chr1	8427720
chr1	163321852
chr16	11328711
chr9	127862376
chr9	128771936
chr17	69581647
chr10	22723484
chr5	14208263
chr12	80565572
chr8	141119848
chr16	11297720
chr20	57398556
chr12	48716772
chr3	18223755
chr8	128267761
chr19	2710644
chr1	26287613
chr4	80500765
chr3	170632963
chr3	23662179
chr9	124217431
chr4	67558636
chr10	92181740
chr20	57680402
chr19	17751389
chr20	50815774
chr14	58427595
chr6	141483807
chr3	39255789
chr12	8026378
chr9	114373142
chr4	140808058
chr15	41079894
chr8	30090967
chr14	24114872
chr17	31535890
chr4	139976048
chr2	43131470
chr4	68350076
chr1	234963381
chr5	115209422
chr4	140154195
chr16	23863862
chr10	128063234
chr17	1723261
chr14	106846409
chr2	231316135
chr7	98202627
chr2	144704021
chr4	113637120
chr12	101743916
chr3	13110881
chr19	49877467
chr6	42022566
chr12	105738183
chr6	41532035
chr5	78483933
chr1	64966023
