Chrom	position
chr11	5225611
chr17	39779110
chr19	58393057
chr19	41869123
chr22	39315448
chr9	19378863
chr11	75404081
chr11	65499457
chr12	21642040
chr8	144791339
chr15	43793861
chr5	131159445
chr19	5691374
chr5	150446884
chr16	73128626
chr16	73050562
chr6	36602325
chr16	73352119
chr16	73194639
chr12	21644007
chr5	82277736
chr11	5253293
chr16	46390681
chr17	43000004
chr16	73216806
chr22	39314766
chr22	39317527
chr14	98973047
chr16	73098759
chr16	71797170
chr1	25901609
chr16	72917268
chr3	40462117
chr16	73422781
chr20	4024162
chr9	19378424
chr8	75922169
chr19	49499574
chr16	72816042
chr16	73813514
chr15	44715644
chr15	40036250
chr2	152957656
chr16	72549767
chr16	72718156
chr12	6537797
chr3	12839478
chr16	73179426
chr12	124911817
chr2	89016544
chr16	73158566
chr19	48965521
chr12	120198612
chr16	73059245
chr16	73182506
chr16	72499854
chr16	73082785
chr16	73730191
chr16	73046742
chr16	73176441
chr12	14950600
chr19	49497988
chr16	72492258
chr11	5232988
chr11	5248317
chr12	21635567
chr12	21637137
chr2	38749596
chr4	99948420
chr16	73151783
chr16	73151414
chr17	39204597
chr3	197954082
chr8	124543149
chr11	65499587
chr16	73108384
chr11	75404771
chr16	73055162
chr7	10933606
chr9	19376577
chr1	634030
chr16	73141954
chr3	51993801
chr1	153543780
chr16	73062881
chr16	72989027
chr16	73209776
chr5	181241559
chr12	55727265
chr1	26281184
chr1	92836253
chr15	69452958
chr16	72842989
chr16	73232919
chr17	16381969
chr16	72890815
chr16	73200982
chr16	73214561
chr19	48966324
chr2	231712965
chr16	72379905
chr16	72841930
chr16	73109257
chr16	73146553
chr16	75567955
chr1	92837527
chr16	173625
chr16	73211968
chr16	72647141
chr16	72971368
chr6	33275838
chr16	73075462
chr6	36602610
chr16	73226352
chr16	72993927
chr16	73223762
chr16	73137832
chr1	92834840
chr16	73294022
chr4	73988048
chr16	73280307
chr16	72862505
chr15	64156811
chr16	73447231
chr16	72875596
chr16	73183334
chr16	73126949
chr5	73503051
chr16	72909201
chr16	73196495
chr16	73029859
chr15	44717702
chr16	73164392
chr16	73123070
chr16	73369900
chr16	73114715
chr16	73318497
chr8	98045011
chr16	73312940
chr4	99948876
chr16	73425416
chr16	73084318
