Chrom	position
chr17	53532492
chr9	2802688
chr12	133443154
chr14	35873173
chr8	17753647
chr6	7698560
chr11	122057358
chr15	93347402
chr15	58762296
chr7	77039630
chr10	64873956
chr11	114025437
chr21	46388173
chr12	31902396
chr9	118706816
chr14	35843740
chr9	92003334
chr3	122370646
chr3	43750729
chr6	12492812
chr12	64311949
chr6	117763216
chr13	114619348
chr6	127668548
chr2	47194495
chr17	53573853
chr8	95078179
chr7	28123460
chr8	40342163
chr11	57202312
chr20	52749473
chr12	96048106
chr2	46165979
chr14	34837781
chr2	227268292
chr6	13408106
chr5	121814926
chr7	117222340
chr18	68098560
chr22	46138934
chr5	119474932
chr15	45933788
chr15	33142531
chr7	94210085
chr15	50148238
chr22	21259078
chr22	24604085
chr3	12395494
chr22	27614123
chr3	149091674
chr2	12596735
chr6	3517730
chr1	66648578
chr8	40230966
chr2	122994232
chr10	124228694
chr2	161423469
chr2	181595898
chr4	104346174
chr2	200603672
chr8	74270832
chr3	189111631
chr4	75579579
chr20	10333213
chr4	24212142
chr8	126245230
chr8	126464404
chr1	2166163
chr20	23206197
chr8	142249768
chr20	30198715
chr20	36330312
chr2	151443617
chr6	133055971
chr2	85932896
chr9	111342419
chr8	25056692
chr8	11529017
chr11	75474081
chr5	17306251
chr2	38375773
chr5	17305348
chr1	31584265
chr15	53826540
chr21	36280816
chr14	95065679
chr15	63539550
chr21	41053971
chr21	40203651
chr14	88510647
chr5	74391376
chr6	134430892
chr4	77140642
chr15	70722603
chr1	51636216
chr1	16114753
chr5	142934934
chr9	86548879
chr1	36952719
chr21	45059823
chr4	86396328
chr2	43063389
chr2	191393597
chr4	185734755
chr22	27648391
chr5	55230120
chr17	60859438
chr2	153288873
chr1	92310765
chr5	43432800
chr8	134243741
chr8	48282162
chr10	34165701
chr8	108153226
chr7	23374399
chr7	34104408
chr10	54212634
chr10	82255135
chr9	35471058
chr8	62685860
chr3	111623793
chr3	119879024
chr12	92465029
chr3	45677299
chr11	128077939
chr3	30553297
chr8	29628163
chr11	14279936
chr10	52155252
chr13	21643901
chr10	33445139
chr11	78001444
chr14	52924853
chr8	134194815
chr6	137470045
chr3	127729234
chr1	200341351
chr8	126649850
chr3	30638933
chr7	139423411
chr3	85056528
chr9	75201834
chr13	43294702
chr8	25032935
chr9	16413602
chr8	27190985
chr2	97331012
chr9	12814572
chr8	26430034
chr2	42075386
chr2	30408263
chr1	61605276
chr9	19161912
chr11	35949504
chr5	17910659
chr11	47934613
chr2	54897149
chr1	159722099
chr8	27730268
chr9	113065631
chr4	11637236
chr8	128235050
chr8	126231767
chr20	14966954
chr8	124070638
chr20	9575179
chr20	352625
chr2	230273335
chr8	62695499
chr10	96440464
chr2	188394937
chr5	32028335
chr4	106507438
chr8	40030547
chr2	174024724
chr4	129271191
chr8	40020088
chr2	158030504
chr1	201562772
chr19	18589876
chr5	32060065
chr7	17736270
chr5	173229860
chr17	33581570
chr17	25572112
chr7	55035236
chr12	116844543
chr12	118240987
chr6	45413744
chr9	37908842
chr13	34775740
chr15	91135676
chr13	44806332
chr17	48748595
chr13	49357577
chr13	77717842
chr13	96366856
chr13	102302012
chr6	106254510
chr14	101942266
chr14	31699083
chr14	50386809
chr20	45753580
chr9	75602997
chr5	172202712
chr7	74024789
chr9	107954189
chr12	12602706
chr2	20638495
chr2	19435288
chr11	99196778
chr11	101198836
chr5	67342478
chr11	110067177
chr19	4147478
chr5	81444197
chr5	90515114
chr7	135221116
chr12	17099808
chr17	49011019
chr18	32289260
chr12	20661439
chr12	20983670
chr5	142975964
chr5	147215115
chr17	67808784
chr7	80264001
chr17	57803245
chr7	77111464
chr12	89556755
chr4	5040108
chr15	55542796
chr3	58457310
chr3	72674977
chr3	17426580
chr21	30590285
chr3	52244874
chr3	134071230
chr21	43619747
chr21	41053359
chr21	39655074
chr3	189632782
chr3	134045945
chr9	123497935
chr21	16564762
chr2	224330665
chr6	16691256
chr20	52196184
chr1	115711504
chr4	75240358
chr1	209704460
chr2	217930834
chr9	124134948
chr6	17908110
chr4	143012456
chr3	53742239
chr2	226983564
chr5	32768417
chr6	11435291
chr10	117816582
chr12	89577998
chr6	119582562
chr2	178116911
chr10	96662555
chr5	95633792
chr7	67322901
chr4	155498639
chr8	63435998
chr8	31691195
chr16	7188136
chr12	70446955
chr20	52732503
chr15	49785277
chr3	41309700
chr15	63807026
chr4	111029213
chr1	20916995
chr6	64162227
chr7	155653716
chr2	171600961
chr11	123045597
chr12	14041090
chr7	1560431
chr6	55623514
chr3	32671939
chr6	96022874
chr15	91404710
chr3	30518402
chr1	65376477
chr8	20058485
chr1	186927807
chr8	23450974
chr3	145881592
chr6	43980042
chr11	28637353
chr1	153348151
chr2	211413904
chr1	38328241
chr12	95712019
chr14	62020671
chr3	42171994
chr3	23622059
chr18	7871828
chr9	92171697
chr5	168074236
chr5	131700231
chr5	17896878
chr9	129553965
chr9	118456534
chr7	34100966
chr17	53364534
chr18	9779804
chr3	140676126
