Chrom	position
chr4	185730559
chr22	35377110
chr2	111699071
chr3	31041563
chr12	100211897
chr6	119273884
chr11	71971876
chr11	129451826
chr3	4264230
chr5	126831381
chr4	8303785
chr7	36961936
chr2	85455713
chr19	6963650
chr11	35305989
chr14	91149569
chr4	141244618
chr1	154746807
chr7	102122216
chr22	24510805
chr12	111769784
chr3	177810266
chr7	1044240
chr1	239785067
chr18	21263248
chr22	30615882
chr6	7920076
chr10	29771598
chr15	40647724
chr2	85867322
chr14	34465441
chr12	86229973
chr17	55237363
chr5	179123353
chr2	79593666
chr12	5197380
chr2	85179780
chr9	5839477
chr15	64112229
chr9	72839405
chr1	216767162
chr6	71822826
chr1	91591372
chr3	174099923
chr16	14024540
chr3	189576688
chr11	60838880
chr18	21830728
chr7	92809890
chr7	14855596
chr19	10652037
chr5	170339590
chr18	25408494
chr8	9919247
chr8	42412736
chr2	31056146
chr1	41578933
chr14	90388634
chr12	91779131
chr18	36013097
chr20	43731616
chr4	81913515
chr12	53575655
chr11	111795529
chr1	183982356
chr7	79281605
chr2	45171307
chr19	7220196
chr9	88642537
chr1	78003479
chr22	40899218
chr6	131065642
chr8	58872707
chr5	53473846
chr11	61651278
chr15	39543830
chr12	116493044
chr2	76870189
chr4	132759402
chr6	87723475
chr6	106526092
chr11	6568661
chr15	37053237
chr9	19522758
chr22	47053716
chr16	78666521
chr7	101100313
chr10	25191362
chr14	65963176
chr20	46334643
chr6	67493884
chr10	9331760
chr3	129687161
chr15	58493177
chr4	140849725
chr12	119457427
chr1	46768643
chr9	100096719
chr3	168058681
chr14	21988147
chr12	50147483
chr21	26405894
chr2	197113358
chr6	88370328
chr1	167118324
chr13	49171561
chr1	224853117
chr18	57998047
chr14	23161020
chr13	50027161
chr7	100094051
chr3	58440469
chr5	172596258
chr14	23518845
chr10	98380932
chr20	17964811
chr4	132866114
chr17	32567306
chr6	111769902
chr17	31823214
chr4	44985292
chr3	32337700
chr4	103201457
chr3	120305624
chr11	26112390
chr6	126820817
chr4	148173820
chr16	25048697
chr11	124608383
chr6	119308295
chr3	72270131
chr8	89131136
chr7	112423085
chr12	6133816
chr14	78158058
chr4	102780596
chr17	74443517
chr2	116491440
chr8	86392189
chr2	220296420
chr1	228692098
chr7	105648982
chr21	42245918
chr2	116769717
chr3	135908938
chr10	132044983
chr17	45277429
chr7	78770481
chr16	7336428
chr1	30919203
chr5	42555309
chr6	157450340
chr20	34744538
chr18	11661606
chr3	30455312
chr2	184308908
chr1	61451419
chr6	125492416
chr3	136075433
chr2	172204960
chr2	13583816
chr7	70243603
chr14	103653019
chr18	9289893
chr14	58171277
chr10	2098133
chr12	24960387
chr6	44919091
chr1	58779937
chr2	177872498
chr10	28684726
chr2	67522334
chr7	7099831
chr20	21393410
chr6	135197264
chr9	128188378
chr10	121257699
chr11	90893982
chr2	145925771
chr4	37453143
chr11	129390618
chr19	11064926
chr4	76772610
chr12	91355516
chr7	18361987
chr10	3419916
chr20	6509569
chr8	99709304
chr2	149259335
chr1	248065812
chr13	71327468
chr2	27293581
chr8	39144396
chr15	25867042
chr8	17218108
chr10	119873258
chr20	49274076
chr8	17247719
chr4	130127503
chr7	134429702
chr3	50091184
chr8	34858426
chr11	74106327
chr3	160638385
chr14	52346974
chr3	195824311
chr1	211967904
chr14	70359795
chr3	73812253
chr15	78075826
chr12	103583249
chr2	23069339
chr14	54706967
chr16	65975291
chr15	81326995
chr15	81029811
chr16	6122647
chr3	139096892
chr11	121081521
chr6	18550319
chr15	78878600
chr2	181398197
chr1	205152705
chr17	82333018
chr14	72525289
chr9	35140293
chr11	78711933
chr15	86735442
chr15	83503791
chr17	28834538
chr1	200627273
chr12	89975779
chr5	69418748
chr8	125271554
chr5	135937444
chr4	67431194
chr14	66152475
chr17	59705169
chr4	69095364
chr1	32936227
chr7	29558162
chr1	205612302
chr10	17633542
chr5	129105108
chr7	135856052
chr10	57303767
chr2	108026313
chr19	45809925
chr5	109697497
chr6	25898462
chr15	100241762
chr3	73455916
chr3	46110924
chr19	47895314
chr17	1589229
chr5	113088320
chr7	113928310
chr11	122883780
chr2	47089173
chr7	5198944
chr16	1679041
chr15	87758917
chr19	45446386
chr2	235236568
chr9	92502222
chr9	129955084
chr16	71628962
chr9	37256156
chr6	3001998
chr11	130763454
chr14	68156203
chr9	76836152
chr10	13525881
chr9	92098171
chr2	213251770
chr11	47202768
chr7	67900655
chr2	88761018
chr2	221460337
chr1	93330815
chr3	107205557
chr16	56789575
chr16	87072303
chr4	76953385
chr4	170003473
chr4	7017849
chr11	62884703
chr2	207356802
chr5	61408722
chr4	76271449
chr15	59529207
chr6	67908578
chr11	88016664
chr15	50777215
chr7	96250975
chr13	87698469
chr11	12863293
chr2	51232223
chr8	117112861
chr6	42754960
chr6	156964250
chr7	87784632
chr6	80314696
chr3	150847632
chr16	48959948
chr10	5814381
chr10	62761367
chr19	53015929
chr22	24729484
chr15	29062500
chr18	76654214
chr1	154479915
chr16	85167678
chr5	90545708
chr17	47810357
chr18	76149943
chr11	5928517
chr10	132580824
chr8	132970431
chr13	31605744
chr1	1576518
chr6	100839612
chr12	53893000
chr19	32532440
chr2	122211101
chr12	10673718
chr4	18075948
chr18	47388056
chr22	18100981
chr2	67532526
chr12	54668149
chr9	75574773
chr5	93381300
chr11	48098244
chr20	12346177
chr2	4618937
chr8	66830461
chr1	165696718
chr11	83782522
chr2	26363463
chr12	113134682
chr16	24774708
chr2	188607708
chr7	17952052
chr14	80075104
chr5	10310420
chr2	22769698
chr10	104036884
chr14	79627258
chr15	74177854
chr9	93713888
chr12	106522855
chr17	55201754
chr1	91125357
chr3	77606031
chr1	162185546
chr22	44352104
chr8	124477765
chr11	42822378
chr5	156218565
chr7	143448632
chr1	212675864
chr11	69466241
chr7	142556961
chr4	158996159
chr1	228400799
chr18	3037483
chr3	150309670
chr5	120082515
chr2	189347722
chr1	225428868
chr7	5704596
chr2	118505644
chr9	8822116
chr2	219352677
chr1	40853798
chr12	8064333
chr13	103473275
chr16	79064446
chr19	5301182
chr1	214071653
chr4	1995151
chr7	37112411
chr4	152106397
chr2	156118952
chr1	25723482
chr7	83468468
chr13	72562888
chr4	119143032
chr16	52586373
chr11	72551778
chr2	150136536
chr12	76936985
chr3	15480055
chr10	78124377
chr16	10277844
chr2	148108580
chr7	87221011
chr20	32232140
chr6	66664313
chr17	61955817
chr10	69446824
chr8	135446766
chr3	12752999
chr10	64045439
chr6	79625949
chr1	18554300
chr2	70869174
chr1	109792352
chr17	77234043
chr16	31390828
chr5	9186267
chr9	130143485
chr12	60205695
chr5	24642181
chr8	25350494
chr20	45968572
chr5	121974451
chr16	46591454
chr11	44781219
chr11	72251247
chr20	46564006
chr20	46852503
chr6	150721079
chr8	38596564
chr6	122145945
chr8	127952441
chr2	168518946
chr16	48684344
chr11	44170941
chr1	21580044
chr1	180352787
chr17	80254955
chr13	88739388
chr20	35019245
chr3	56884026
chr2	128388596
chr1	225605045
chr7	130908725
chr12	113833650
chr19	38434871
chr10	114499853
chr8	116789857
chr5	37226577
chr22	38957549
chr8	8887846
chr11	13013332
chr17	51667566
chr15	52443403
chr4	5953773
chr21	39085236
chr6	136522092
chr2	111123268
chr15	49715901
chr11	108136341
chr12	121316402
chr21	36274323
chr6	26427607
chr22	41403931
chr12	114305643
chr4	1109581
chr10	110084163
chr8	123877234
chr12	117025518
chr15	62647641
chr8	143741732
chr7	75938072
chr1	223992766
chr12	120118539
chr19	38689066
chr8	67861978
chr12	120821086
chr1	247852812
chr10	119595509
chr7	40573090
chr1	159184434
chr4	84570009
chr15	39453700
chr2	105335669
chr13	22256312
chr5	91380081
chr11	101362837
chr7	13288743
chr6	56076231
chr12	132538809
chr6	100339773
chr5	42812223
chr3	97190035
chr6	97469131
chr4	15150022
chr4	82780593
chr7	156674102
chr5	1231703
chr3	87200257
chr5	94368131
chr21	43646874
chr17	50661967
chr14	95668592
chr4	8222794
chr7	92849440
chr21	43944827
chr8	122134950
chr1	56502151
chr8	64196782
chr18	78665048
chr12	130513768
chr7	50792122
chr9	5493816
chr17	49984480
chr4	24419675
chr11	17413648
chr17	81722680
chr5	143249400
chr2	237529512
chr3	190213943
chr4	67727381
chr6	17703531
chr2	199603066
chr14	65177765
chr12	93674564
chr1	209796188
chr11	76919063
chr9	16708840
chr4	174438909
chr5	173969582
chr19	2491674
chr12	96810257
chr15	85892432
chr2	167215824
chr1	116268399
chr8	18177977
chr5	77617114
chr9	20092766
chr4	153804963
chr11	35679183
chr2	61700666
chr20	50338614
chr16	7097734
chr14	55158613
chr10	84525979
chr16	4169619
chr7	5237451
chr8	19000747
chr7	27655384
chr20	52439541
chr12	86018559
chr6	166409551
chr10	93457712
chr11	122110127
chr17	55683711
chr6	111113998
chr17	34874696
chr3	120678714
chr4	103193651
chr3	78645907
chr2	231203288
chr4	102762098
chr2	49788502
chr3	118097862
chr22	43693445
chr18	3723355
chr17	37440641
chr15	66642659
chr6	10519071
chr14	76053775
chr13	50149512
chr7	27345364
chr2	232942386
chr20	31927955
chr1	120132339
chr7	100081857
chr8	124849232
chr9	37970954
chr10	97329140
chr22	47092968
chr1	167748180
chr7	91384080
chr1	40815587
chr1	41123396
chr19	43642729
chr14	74682372
chr3	122760637
chr20	4817355
chr15	27617216
chr12	48296646
chr7	85521497
chr6	129691437
chr20	11977220
chr16	71803494
chr8	128366906
chr5	131001708
chr9	109228444
chr5	64148078
chr1	200657422
chr18	49907667
chr14	29643561
chr2	44775252
chr2	42925554
chr7	45296946
chr4	138338422
chr13	98892258
chr1	192839325
chr7	107025683
chr6	75589150
chr2	153152236
chr6	129501628
chr17	74766612
chr2	2910463
chr16	77657208
chr8	37612841
chr18	48613928
chr13	97250291
chr11	57569512
chr16	79271777
chr20	19024804
chr1	778824
chr6	128118645
chr16	82993616
chr6	39206500
chr12	31959135
chr10	30862176
chr4	47744443
chr16	75606700
chr14	23925733
chr6	36441616
chr6	75261502
chr7	116232063
chr9	33619761
chr2	216147552
chr12	50214221
chr1	20630917
chr8	87931460
chr16	26688898
chr10	91759893
chr6	80482255
chr18	31591290
chr16	10984765
chr3	101352036
chr11	68209527
chr6	53569304
chr2	119317758
chr9	93467160
chr12	19411008
chr12	63714548
chr7	150503750
chr13	105074957
chr11	126839637
chr14	30411197
chr21	37231359
chr2	240962456
chr21	38299030
chr5	64770013
chr16	10626162
chr16	9047971
chr9	127348497
chr19	48560147
chr9	129168236
chr19	42287012
chr5	62767848
chr10	120712067
chr4	159200024
chr20	36947100
chr3	140822785
chr9	38393730
chr4	87007940
chr1	201984643
chr2	214985817
chr3	120741522
chr21	46500663
chr11	90851396
chr3	160893401
chr12	108643510
chr17	34161783
chr21	36176155
chr1	19792419
chr6	18640335
chr1	20585070
chr2	82355815
chr12	41702156
chr9	113381102
chr12	76778603
chr14	52343040
chr6	43258360
chr19	15467106
chr1	200124508
chr18	66752977
chr14	89343544
chr3	179289098
chr12	106353377
chr15	74546296
chr16	28596546
chr2	119431696
chr6	92559243
chr9	99624709
chr4	106615612
chr9	22203780
chr5	72142079
chr1	55403118
chr16	19283859
chr4	157617272
chr5	149447826
chr6	164409504
chr2	30073729
chr14	70362093
chr20	444930
chr4	70657524
chr14	49934833
chr20	63016671
chr3	126765505
chr6	145749803
chr3	184006373
chr2	75491620
chr1	220370129
chr13	105704038
chr14	29653502
chr8	140845231
chr16	19264478
chr4	42543326
chr6	34340243
chr8	112645928
chr5	50901153
chr17	13521375
chr1	89305695
chr5	177246769
chr3	184500702
chr12	25248933
chr12	71126182
chr12	6336419
chr9	104300321
chr2	194739397
chr6	26066163
chr7	73775151
chr3	73490653
chr6	112804839
chr8	120908622
chr17	3418425
chr10	15365916
chr14	50041264
chr16	80527512
chr7	3922428
chr3	195921505
chr3	101573999
chr9	131347556
chr5	91314476
chr8	21321433
chr3	162932700
chr7	51981011
chr20	1046216
chr1	36620344
chr1	198894241
chr20	8400682
chr6	1265245
chr7	94830185
chr1	9300316
chr8	100830865
chr12	42894015
chr5	135683424
chr3	45183488
chr4	178173969
chr1	211912299
chr10	116002941
chr9	95645779
chr5	59615532
chr6	19714183
chr14	20681356
chr2	161029520
chr2	111918659
chr5	149439072
chr10	76020826
chr5	80854783
chr5	106321451
chr2	142094404
chr8	140512732
chr15	86494672
chr5	55472853
chr17	3557239
chr4	81465869
chr16	63057544
chr2	198231776
chr11	77602530
chr12	58601731
chr18	50152069
chr2	199703394
chr6	90285840
chr9	10447235
chr1	47914741
chr10	29760331
chr11	62368436
chr1	31705342
chr3	181902436
chr12	112944159
chr8	132785367
chr2	219645784
chr9	127919522
chr6	15936633
chr2	219089530
chr11	85239108
chr11	132921795
chr8	746696
chr8	138896267
chr10	11145388
chr8	125942251
chr12	120454271
chr3	105830393
chr16	4787318
chr7	98771720
chr3	133007778
chr12	15815927
chr9	19577611
chr1	6584339
chr12	15443249
chr5	113256864
chr9	112384841
chr1	154240635
chr4	4185740
chr7	38950523
chr1	199777293
chr10	113369552
chr20	52483582
chr18	34640470
chr2	111192978
chr17	54381682
chr14	32507520
chr8	120084738
chr5	15106731
chr1	46725244
chr17	39125677
chr15	27874029
chr3	33807526
chr18	48366161
chr2	55885261
chr14	96362148
chr2	41334354
chr16	85912608
chr9	96214721
chr8	47513645
chr4	65834910
chr7	24963380
chr10	110608284
chr1	94216154
chr5	154701389
chr10	61897882
chr5	134626548
chr6	41961884
chr16	83433360
chr9	108108928
chr14	59100403
chr10	86312094
chr5	98968365
chr4	99710229
chr3	24411010
chr1	9719243
