Chrom	position
chr15	74546342
chr14	101628587
chr19	7652283
chr19	48634545
chr7	95608913
chr11	68839418
chr5	179819073
chr17	17823908
chr20	23334196
chr5	132422909
chr20	31610921
chr13	40771293
chr17	16286098
chr16	28863402
chr16	31105866
chr1	12604572
chr9	19161753
chr6	30742953
chr7	129055064
chr17	17836320
chr12	7018933
chr22	24525563
chr18	11947336
chr16	9127742
chr7	47979646
chr11	87037924
chr19	1383852
chr3	48898869
chr7	149624850
chr17	8295721
chr14	93959588
chr20	63707932
chr6	16131126
chr3	192852037
chr15	76311598
chr5	61408809
chr10	100373403
chr3	57556089
chr19	45717579
chr6	53359622
chr11	130124309
chr8	102654159
chr8	52714582
chr5	140639218
chr17	44503657
chr12	75978116
chr19	2163710
chr9	133418132
chr2	96638396
chr12	45727679
chr1	93079175
chr17	37359231
chr11	10307918
chr1	207205274
chr7	17408707
chr3	177360044
chr14	35403884
chr3	4987004
chr19	49641974
chr19	2169131
chr1	225445122
chr12	124453543
chr10	43455781
chr17	2087904
chr17	21288051
chr9	20624977
chr11	65497642
chr6	170554335
chr8	144078547
chr5	146966264
chr9	104991816
chr1	110338465
chr1	1724381
chr19	18374571
chr4	139266838
chr17	63843195
chr12	123383743
chr1	19011323
chr20	45891251
chr19	44742114
chr17	63842823
chr13	51583819
chr15	65611195
chr13	48038079
chr1	153946779
chr2	73971196
chr19	17305440
chr19	55259284
chr2	203811755
chr3	14651618
chr19	44753494
chr4	4542073
chr16	85525104
chr9	104926723
chr16	30628903
chr3	47476003
chr22	20117450
chr11	69298671
chr1	150010878
chr1	58881711
chr12	53221039
chr3	25428199
chr17	60392477
chr12	53451980
chr1	153352639
chr15	67109774
chr2	55269265
chr1	15524687
chr13	110471973
chr17	2392961
chr17	82267779
chr5	141524939
chr16	30699199
chr9	129460493
chr12	53099544
chr2	197500035
chr10	87862426
chr1	41432841
chr6	44058617
chr2	96637972
chr4	151099530
chr6	42726742
chr20	58651177
chr10	125823374
chr14	89000759
chr12	68808805
chr22	46006579
chr11	69297426
chr17	50661930
chr14	75069522
chr3	149752540
chr12	118052679
chr17	4420776
chr19	2032514
chr8	42052182
chr1	25998358
chr14	31229909
chr4	25312722
chr13	113297067
chr3	40971884
chr17	57850154
chr6	2841955
chr12	31749394
chr10	80505726
chr17	27332967
chr12	54294375
chr7	150405382
chr15	41231281
chr11	65422362
chr1	163321849
chr6	33249251
chr17	82288203
chr1	2234593
chr9	96420675
chr6	35259549
chr9	136546303
chr5	132411107
chr6	82247896
chr12	576357
chr10	93702657
chr12	53180592
chr16	81481558
chr13	113208728
chr17	59786657
chr12	45728899
chr5	135399370
chr22	42615362
chr9	104991260
chr2	222860894
chr2	231545709
chr2	74147911
chr7	98252329
chr20	53915997
chr1	155244831
chr15	66701255
chr3	183884899
chr2	207311621
chr3	170358336
chr9	129777442
chr21	42234914
chr6	99425965
chr16	58129587
chr15	38454120
chr12	124681549
chr12	108838549
chr17	39461321
chr1	26620908
chr3	51995934
chr1	33433946
chr12	132085007
chr19	41262461
chr2	177263564
chr3	127591154
chr11	64270192
chr20	23156289
chr20	47359280
chr7	128343933
chr3	12193666
chr11	64306179
chr17	56915897
chr16	10738968
chr11	65574434
chr22	41446861
chr15	67091410
chr15	75043189
chr17	51153534
chr6	107459698
chr9	129488802
chr3	185499012
chr16	66516979
chr8	143553647
chr14	75906856
chr1	42036065
chr19	53869619
chr21	14877950
chr12	6970704
chr1	211259059
chr1	202348538
chr6	83859685
chr17	29155535
chr16	89505580
chr18	35290356
chr1	235083916
chr2	170873419
chr6	26189149
chr17	78592636
chr9	19129847
chr2	223957407
chr7	100081861
chr7	2863822
chr1	27322142
chr10	74826919
chr7	47475318
chr4	7648332
chr2	219498817
chr12	118376318
chr9	104928214
chr4	113547771
chr5	57693248
chr5	159208161
chr1	153566673
chr2	27890389
chr10	45594910
chr7	6729793
chr16	15591081
chr11	65041053
chr17	76557635
chr2	169573865
chr9	127862432
chr6	151452309
chr17	7220360
chr7	157854455
chr16	46388718
chr7	107169870
chr19	40832156
chr20	32155378
chr16	11916125
chr17	43483791
chr20	31696330
chr3	57450953
chr22	21982833
chr20	31608594
chr6	143450755
chr14	20343278
chr19	13837017
chr3	53347649
chr3	115147880
chr12	120495988
chr17	82099022
chr17	82065877
chr3	42080709
chr6	28136874
chr6	21987616
chr17	48241237
chr14	89701823
chr6	131628306
chr19	8367506
chr10	72335073
chr6	43182130
chr19	12294835
chr5	81851993
chr15	58332349
chr22	46013600
chr1	6701856
chr8	125434856
chr19	2427700
chr3	131502980
chr15	94577133
chr9	2570918
chr10	46023410
chr19	38831961
chr19	11293854
chr15	89088029
chr14	22766847
chr20	47576754
chr1	205122304
chr16	46390536
chr6	125956751
chr7	158818622
chr10	73782064
chr6	41723755
chr1	53238631
chr11	65422738
chr16	29805579
chr3	10224957
chr21	35508566
chr21	35051491
chr8	33554892
chr17	43251708
chr1	161399926
chr19	44113341
chr12	95073548
chr12	26274921
chr19	3986385
chr17	42998307
chr7	73587849
chr20	3811880
chr2	85499278
chr14	106844845
chr12	49663201
chr9	70420236
chr2	223466006
chr1	58546852
chr9	124223543
chr12	27014444
chr19	49765734
chr3	172130090
chr15	40081811
chr6	87322551
chr7	130441125
chr16	2883252
chr11	65421361
chr15	56246204
chr13	114281466
chr16	2251680
chr19	11344607
chr1	32817404
chr16	71845817
chr4	38319134
chr11	65418856
chr6	26027340
chr19	13167622
chr9	37800776
chr18	49813614
chr7	101688254
chr1	234978973
chr1	225755458
chr20	62791620
chr15	64387785
chr1	23019375
chr19	54208306
chr6	47188713
chr2	196799723
chr6	142147162
chr6	37083657
chr12	124917277
chr3	57983986
chr17	1717176
chr1	206612499
chr5	41904247
chr10	70132903
chr8	66124154
chr20	5126866
chr14	77098108
chr3	152258580
chr6	35370609
chr1	58816378
chr12	89162955
chr19	32972224
chr1	12596073
chr2	208266051
chr16	85535586
chr8	56074589
chr6	157323565
chr17	42388789
chr21	44939948
chr7	105012739
chr2	43293978
chr2	64831498
chr16	30472682
chr15	51981708
chr17	57868273
chr18	3624179
chr15	90158299
chr7	89473
chr3	38164976
chr17	38749800
chr2	26274241
chr12	116703416
chr3	43179244
chr9	129140155
chr22	31089293
chr19	44747503
chr1	205288414
chr11	65873779
chr12	93570922
chr19	1021655
chr1	167601558
chr20	50929580
chr20	51631556
chr21	29196555
chr4	74660029
chr2	233251573
chr16	31052345
chr12	112382563
chr4	88456921
chr3	71584691
chr1	159925224
chr3	177615198
chr14	81303473
chr14	24161186
chr14	76961923
chr17	7889300
chr8	23547959
chr15	65185604
chr13	77327229
chr1	58883461
chr3	197031673
chr3	15099180
chr2	65432742
chr11	9314569
chr11	57741363
chr17	59829419
chr9	105244386
chr18	63367691
chr3	81761192
chr5	40835308
chr4	189940772
chr11	86302258
chr1	9943388
chr10	124036074
chr1	229130237
chr18	712817
chr12	57522339
chr2	191020391
chr6	53548287
chr14	24188941
chr16	2603341
chr17	77140549
chr5	81751406
chr22	49936237
chr15	75368668
chr3	9363049
chr4	73704812
chr16	88701153
chr6	142947663
chr20	25623766
chr2	218396263
chr1	143247007
chr15	74598479
chr19	45456011
chr6	7975253
chr1	228452661
chr15	84981357
chr3	40300015
chr17	40330502
chr6	31560535
chr6	36885885
chr19	18678178
chr6	31834591
chr17	50478827
chr11	66421792
chr5	96936005
chr11	74255991
chr15	82540539
chr12	76621711
chr6	153002888
chr19	58519861
chr3	142578838
chr16	53099743
chr15	63896913
chr1	224169076
chr11	68460098
chr3	49444189
chr15	58771004
chr12	109093520
chr20	35954577
chr19	47244248
chr12	98503893
chr1	50272160
chr22	39529364
chr1	179882748
chr3	52313910
chr9	94726680
chr11	66002217
chr1	42335362
chr6	20877575
chr12	75954278
chr6	34224212
chr13	98476682
chr1	151311784
chr16	1971972
chr3	57974950
chr13	50245204
chr1	172746527
chr5	96935233
chr11	65638614
chr16	46394838
chr6	41538818
chr12	401530
chr1	26695648
chr1	6554603
chr19	54210954
chr15	49620783
chr11	67354715
chr5	112160784
chr17	44111304
chr2	113889801
chr11	64894466
chr3	114152667
chr1	58815371
chr1	16113160
chr19	41884287
chr1	9627170
chr4	26584015
chr1	234608184
chr17	63600861
chr9	86281715
chr7	65980991
chr7	65982259
chr16	11497565
chr15	74800294
chr12	104288814
chr1	28155018
chr1	6206064
