Chrom	position
chr6	36634952
chr19	3398761
chr11	76504539
chr14	95101639
chr14	95065615
chr3	186349090
chr11	12924845
chr6	3592723
chr10	35485091
chr12	94057306
chr6	71676966
chr9	14921011
chr7	67204155
chr19	4769647
chr3	177167613
chr7	129753836
chr1	40318046
chr1	94445488
chr5	174442141
chr3	81766284
chr14	91827677
chr2	234665584
chr10	54113812
chr11	66189232
chr1	8800276
chr3	188014987
chr11	19265833
chr7	96600350
chr14	54820887
chr10	61792604
chr5	38830764
chr11	18824374
chr7	40623429
chr4	70579490
chr3	27402143
chr3	171916449
chr3	171974262
chr6	21062315
chr1	91425346
chr9	19161896
chr3	170082989
chr1	212214541
chr16	85171284
chr11	2000273
chr11	2368891
chr16	81156902
chr18	55405111
chr7	30840561
chr3	172240848
chr20	1314832
chr7	31028429
chr3	169716651
chr3	11314060
chr7	30452815
chr3	171596890
chr3	11684273
chr9	26782121
chr6	25174289
chr8	53396648
chr3	171461327
chr11	1320521
chr6	24505004
chr9	30198091
chr9	21814103
chr3	171004572
chr12	102090659
chr6	24490325
chr8	53081840
chr7	29497926
chr1	90032611
chr2	109532914
chr1	90868826
chr7	29140276
chr8	52875632
chr10	17658477
chr9	32130911
chr16	80299649
chr12	114219308
chr1	85600984
chr18	60285212
chr7	35776588
chr12	112413051
chr16	76462954
chr1	213910969
chr3	180977870
chr1	213935513
chr1	84972832
chr12	113851553
chr2	239605622
chr12	107746231
chr2	39773704
chr9	33868578
chr2	239358709
chr10	125838374
chr16	75540680
chr10	124780157
chr1	214300229
chr12	115323548
chr7	37129810
chr1	78799264
chr16	76608813
chr6	16681993
chr10	126566847
chr12	111264695
chr2	40895805
chr18	56337150
chr3	10546790
chr8	48670879
chr6	19791005
chr9	31944353
chr18	57584879
chr12	109345075
chr12	109553817
chr9	32350442
chr18	60056280
chr18	60093051
chr18	60104534
chr9	32552646
chr3	177542029
chr16	78038586
chr6	16872927
chr10	127481273
chr2	241453504
chr10	127407411
chr20	44353891
chr6	26350945
chr8	55047431
chr3	169684526
chr8	61194748
chr8	61705682
chr3	17686708
chr8	61593905
chr18	46716419
chr7	17943141
chr17	9252108
chr9	6107288
chr12	75724204
chr12	75966446
chr1	97308917
chr20	39874232
chr9	6357093
chr11	2847328
chr18	47641769
chr3	152046793
chr3	16295269
chr6	35328399
chr12	76412103
chr17	8323757
chr8	59085303
chr17	8055745
chr12	78337459
chr7	23635132
chr7	23662177
chr12	71930823
chr18	46524679
chr11	13086957
chr17	10600935
chr12	66501437
chr11	17373433
chr3	149091661
chr3	24587565
chr9	4675025
chr17	14265787
chr3	24531837
chr12	68738206
chr9	4701108
chr18	43749654
chr3	23987416
chr2	101618655
chr1	100462765
chr18	45679127
chr17	13380219
chr17	13324443
chr18	45710699
chr12	69695231
chr2	44570213
chr2	44500892
chr3	150089798
chr7	17170129
chr17	11929302
chr11	9590999
chr11	9577102
chr1	95448849
chr17	1665229
chr3	13266694
chr18	54654215
chr6	28845514
chr9	15552404
chr12	94546663
chr3	160653363
chr17	132490
chr3	160666161
chr3	160933218
chr7	27701833
chr1	92970866
chr16	88767558
chr18	55091264
chr16	88627325
chr16	88603822
chr16	87904726
chr12	116491871
chr6	27599234
chr12	97542852
chr7	27733606
chr3	12599455
chr1	212095629
chr16	87241326
chr17	1618916
chr11	5744020
chr7	24944641
chr17	2078137
chr3	155390299
chr6	31805468
chr6	31787467
chr3	155572534
chr9	12712715
chr7	25077147
chr1	95006816
