Chrom	position
chr7	90767205
chr5	147835522
chr14	61553938
chr11	4060706
chr18	13542155
chr8	128185189
chr2	237614272
chr14	59161597
chr7	74610406
chr21	38831702
chr9	32136903
chr1	96632288
chr6	1325908
chr14	60665340
chr4	154598134
chr2	233756934
chr16	54181113
chr20	33724642
chr12	26274825
chr14	94340664
chr3	196055937
chr8	106624819
chr12	92946120
chr17	17534094
chr10	59058187
chr8	133360435
chr21	14943172
chr3	31377195
chr1	230158950
chr6	83250400
chr10	112304565
chr21	45471864
chr15	101439702
chr12	48910316
chr8	123579939
chr15	78065582
chr3	107796984
chr10	61063194
chr2	47079109
chr19	2577119
chr15	101070926
chr3	193712374
chr10	92123209
chr3	193693896
chr1	24574517
chr19	2507324
chr9	72074921
chr13	49806384
chr17	7156669
chr10	5147356
chr3	196347433
chr3	185858702
chr10	73023895
chr8	61311944
chr5	95987227
chr13	107192539
chr21	37153966
chr4	69781844
chr19	40832056
chr11	43920993
chr3	170973083
chr3	186631347
chr6	7698365
chr19	3300736
chr2	45822126
chr20	17985860
chr3	56831131
chr17	5763835
chr10	18639978
chr21	43586153
chr2	190959203
chr22	35810016
chr16	8678695
chr1	33385445
chr3	152474787
chr6	16510407
chr7	74221061
chr5	141590395
chr2	46173835
chr3	56928884
chr10	18615836
chr2	43634926
chr22	35364452
chr4	10032876
chr3	57758876
chr7	37090210
chr4	10025603
chr9	123012309
chr4	68865275
chr4	10006411
chr17	2158205
chr7	36149890
chr6	16681755
chr2	10392692
chr5	157288748
chr12	39427595
chr19	3397729
chr19	2962236
chr5	90901495
chr11	111934078
chr3	56702699
chr17	5523489
chr3	151543710
chr2	191383043
chr19	4402342
chr2	74709113
chr7	158378209
chr11	113778324
chr1	155648774
chr2	74587873
chr3	53295564
chr4	169005696
chr1	32178540
chr1	31960115
chr7	98419119
chr6	15504936
chr4	69389290
chr4	145602324
chr2	45721357
chr17	4787948
chr6	106688815
chr10	21097624
chr8	41929685
chr1	156751268
chr12	31815326
chr5	91358673
chr16	5349313
chr2	233895547
chr2	10116308
chr5	140791308
chr10	77247360
chr10	21754542
chr17	78647248
chr10	18713358
chr12	93127971
chr2	233745575
chr3	152329020
chr10	77911851
chr6	107211948
chr16	4944807
chr13	23678968
chr21	42715583
chr1	155399992
chr2	46033116
chr16	3191460
chr3	53093093
chr14	77682396
chr10	21505978
chr8	47758330
chr9	87336638
chr3	146646421
chr17	82117894
chr9	121131404
chr10	73586863
chr10	28380449
chr11	67886462
chr12	46430605
chr22	32967688
chr22	32969706
chr8	26295091
chr3	61729461
chr10	28305737
chr13	27184064
chr1	36269587
chr4	67153178
chr10	116038422
chr16	12024659
chr7	72967134
chr2	100571943
chr3	148453934
chr9	121295345
chr14	75623569
chr14	75644157
chr10	74018440
chr16	89395370
chr5	154360534
chr12	81329316
chr12	81143321
chr1	147717250
chr10	29130318
chr2	236118139
chr2	41848257
chr13	27662931
chr7	40095359
chr1	40939976
chr6	149029068
chr1	40930368
chr2	75577493
chr4	15652391
chr1	40860890
chr9	91302983
chr16	13859421
chr13	48235649
chr22	32700400
chr4	61428328
chr6	149137789
chr22	32789140
chr1	147539186
chr9	91182594
chr17	82267764
chr6	109252470
chr8	124743352
chr9	121322396
chr7	73325680
chr14	75711911
chr2	10498070
chr2	10493849
chr8	25230121
chr6	151269804
chr17	80045926
chr1	37534658
chr3	149342807
chr21	44021301
chr12	89375728
chr2	158189810
chr6	105794428
chr22	35301690
chr17	930549
chr17	79993793
chr21	43920410
chr10	75519420
chr3	58040257
chr2	10452521
chr2	74832084
chr7	157297384
chr2	234774228
chr2	190381155
chr3	149507189
chr16	10262461
chr1	151200244
chr16	10688707
chr9	89388428
chr4	116357948
chr3	60737822
chr2	42836170
chr22	33510638
chr3	58581011
chr1	39092508
chr13	48626251
chr11	110298087
chr4	67700183
chr22	33631989
chr6	17311983
chr1	150579882
chr22	33720670
chr12	89192641
chr11	110345958
chr4	116362004
chr8	25239493
chr16	11105128
