Chrom	position
chr12	49595102
chr1	53391305
chr12	42523660
chr1	52499537
chr5	149120869
chr14	74728111
chr4	166248461
chr4	169753156
chr3	196949863
chr20	3749128
chr19	5718830
chr14	81408171
chr1	31353020
chr2	201630416
chr10	73600056
chr20	1305918
chr22	46260296
chr5	121297484
chr3	28384100
chr14	54796002
chr6	31036765
chr3	31573667
chr5	55289693
chr22	30592829
chr1	24648979
chr10	99621820
chr17	58154845
chr7	976338
chr3	4468574
chr14	100905856
chr6	42642184
chr2	122247092
chr3	12758190
chr9	79331447
chr2	47177574
chr11	63672829
chr6	137415857
chr1	154968339
chr11	63753836
chr14	76641535
chr15	43803204
chr8	66886258
chr15	100272707
chr10	73868787
chr15	42908534
chr1	33373272
chr3	171912687
chr3	171848209
chr19	17866034
chr1	12679570
chr16	24113631
chr7	73242645
chr1	84348798
chr14	56273942
chr22	21400088
chr19	10613509
chr1	155349607
chr6	141178999
chr3	183695396
chr12	133485157
chr19	6110487
chr17	71200384
chr19	6066836
chr1	43613563
chr16	759739
chr14	67721202
chr2	58677019
chr17	7310557
chr21	44062471
chr7	76958299
chr1	19780960
chr11	67867217
chr17	2296570
chr19	55737146
chr8	30659376
chr13	115077626
chr8	21891085
chr7	24517645
chr15	71607677
chr1	112554022
chr2	122247999
chr20	62721796
chr12	50643789
chr8	26482932
chr15	57551827
chr16	83869971
chr10	95340753
chr6	107431570
chr1	113218814
chr18	21596771
chr6	107367709
chr10	112033987
chr17	79424643
chr4	87515282
chr17	5412403
chr14	55337687
chr5	692459
chr1	32578640
chr17	7258021
chr22	42784547
chr17	7117410
chr3	113462284
chr10	76349208
chr6	88146338
chr1	17542730
chr4	169738135
chr13	50074630
chr3	167098135
chr16	57673306
chr1	197171166
chr17	78518571
chr1	18247722
chr17	79068927
chr16	58529200
chr3	122221160
chr2	233369417
chr14	23356088
chr11	46849736
chr2	11859863
chr17	36070602
chr15	42763927
chr15	64889564
chr12	121410802
chr3	20082434
chr15	93562027
chr5	95160122
chr15	36951322
chr5	168279134
chr9	34986615
chr6	45485935
chr15	81867914
chr15	42411291
chr11	61434652
chr19	31559378
chr22	45018165
chr11	66050046
chr15	80391646
chr15	90728516
chr22	38857731
chr7	16503311
chr6	44934589
chr17	41178353
chr7	30066140
chr11	113045763
chr20	48531516
chr14	32556898
chr19	1300955
chr6	5996749
chr12	13254262
chr1	145395518
chr20	25667594
chr2	179313782
chr1	186051608
chr14	105948411
chr10	15560517
chr7	134832280
chr7	29482031
chr1	114355082
chr6	166188878
chr10	121412887
chr3	170191348
chr19	55996489
chr19	19517347
chr5	95046704
chr4	963340
chr19	4759907
chr1	94313732
chr19	4554909
chr19	47603694
chr3	33700674
chr6	136610126
chr10	73853022
chr17	74449395
chr12	6570613
chr17	74990436
chr3	14224712
chr11	62276421
chr12	118454446
chr12	6802209
chr1	55147239
chr17	75368664
chr6	37210265
chr15	74583931
chr12	116720738
chr10	134204787
chr8	11324305
chr17	79378760
chr15	86211377
chr17	40594430
chr15	66253093
chr10	103935441
chr12	109232308
chr3	150137943
chr2	120064569
chr8	22046143
chr9	127458654
chr5	109028818
chr16	88923284
chr1	90167531
chr2	157196015
chr22	41959595
chr12	113569492
chr19	53607110
chr15	80359493
chr3	4867860
