Chrom	position
chr12	65169466
chr3	121545971
chr8	27837837
chr17	59107101
chr20	2470770
chr1	163321955
chr5	40756074
chr12	121687090
chr15	90717378
chr6	20401817
chr3	10026422
chr15	43824844
chr15	43827005
chr1	241848192
chr19	48364219
chr19	12919281
chr19	10836588
chr17	35930790
chr19	32972122
chr19	10569263
chr13	39038363
chr16	20806514
chr5	112976556
chr17	74873435
chr8	123072693
chr13	72727806
chr11	93661603
chr6	52284882
chr12	68686991
chr10	68471782
chr10	102152121
chr1	9495444
chr1	46247713
chr2	135876513
chr17	78187121
chr5	60700156
chr10	60778359
chr11	33161679
chr13	33542949
chr11	59144802
chr1	151281359
chr1	63523266
chr12	110502259
chr16	29790607
chr1	246932052
chr2	168890460
chr16	30053067
chr2	26785851
chr16	2268133
chr7	128476692
chr1	197146719
chr5	138179054
chr7	139359819
chr10	51699934
chr18	2571547
chr21	32279035
chr12	54280187
chr12	71839699
chr8	56074631
chr2	130181635
chr16	30572194
chr19	41264168
chr17	8210614
chr11	61792872
chr3	9986889
chr13	48037651
chr1	15847483
chr1	200620765
chr6	31158484
chr6	136250350
chr2	58241417
chr16	58392471
chr10	56361323
chr14	49598974
chr12	56449217
chr12	50025507
chr19	39436053
chr5	62412677
chr17	40287856
chr6	42929419
chr15	64093981
chr19	55408126
chr20	25407694
chr1	100132928
chr13	60163952
chr17	43125413
chr2	202265671
chr15	64381495
chr1	33037096
chr13	30466074
chr19	50804664
chr6	159789778
chr6	27865273
chr20	36773808
chr19	49388239
chr17	49678341
chr12	102120176
chr11	4094811
chr19	11155811
chr1	211675635
chr2	170929025
chr11	63974529
chr12	4538870
chr10	14954250
chr7	100101404
chr17	62423827
chr4	121823896
chr12	6851334
chr7	100428261
chr15	30626080
chr1	47314179
chr8	38105452
chr6	27894521
chr12	31326328
chr11	95789923
chr19	50679530
chr18	50375052
chr1	214603210
chr11	74592601
chr11	62856059
chr3	20186215
chr3	128879534
chr6	33391790
chr10	89701602
chr14	24242670
chr16	88803737
chr15	56733725
chr4	127880921
chr19	1568544
chr11	125625940
chr2	677394
chr7	74254413
chr16	67247691
chr4	120066833
chr5	178204413
chr4	39978056
chr19	5978315
chr8	144517841
chr7	54774366
chr1	154183288
chr1	150236366
chr12	9283699
chr8	27774521
chr1	155244907
chr2	24793469
chr11	65084075
chr15	40161025
chr8	9555751
chr15	48811256
chr10	92593114
chr20	17969065
chr11	63671566
chr11	134224001
chr6	49463377
chr8	47960908
chr12	751329
chr9	36572859
chr1	26865238
chr17	17281219
chr22	19479893
chr1	35769997
chr4	17810897
chr16	66552587
chr1	154936608
chr3	15099217
chr8	123396700
chr4	15681600
chr6	97283177
chr15	40594244
chr7	65982241
chr6	44387852
chr19	18323226
chr1	167220189
chr15	89575449
chr1	202342075
chr15	69414306
chr17	40417937
chr20	38962140
chr3	123961282
chr17	59565453
chr10	123154099
chr20	35771840
chr20	63865160
chr11	111602047
chr3	44761756
chr7	100538897
chr1	44739825
chr12	103930318
chr11	85854910
chr11	46846357
chr17	76737544
chr11	85665137
chr17	50373249
chr19	10503408
chr12	75511739
chr11	82901718
chr13	33818109
chr5	126776756
chr8	66925514
chr6	27147073
chr8	94475095
chr17	36948827
chr5	138213487
chr9	34049533
chr19	45927891
chr6	31834572
chr18	658404
chr3	49856548
chr4	177309874
chr12	56224278
chr19	13906093
chr11	57741372
chr12	112013190
chr12	118016712
chr12	119877330
chr3	48188456
chr22	50508266
chr17	30831983
chr7	128739225
chr19	50026079
chr2	173354795
chr4	173334666
chr14	96797392
chr19	49496252
chr4	121801381
chr12	98515467
chr10	93496597
chr5	171387544
chr14	23007115
chr17	58692656
chr12	104288871
chr5	111092171
chr7	2242239
chr11	17077870
chr2	196639643
chr17	63741986
chr5	94618651
chr12	109097982
chr12	10613564
chr19	797108
chr22	20080016
chr2	110678118
chr3	98593708
chr12	122527254
chr11	6683379
chr1	211515721
chr2	17754123
chr12	22544593
chr14	76956785
chr11	576403
chr5	77030354
chr6	126340123
chr8	127736178
chr5	134845904
chr19	57916754
chr5	65563175
chr3	56557186
chr14	45253242
chr9	121074863
chr2	131493033
chr3	56683398
chr6	90587368
chr1	35193221
chr17	28599030
chr7	158704762
chr12	53268282
chr19	55503823
chr1	37692513
chr1	37554396
chr1	225428342
chr17	42181441
chr1	193059421
chr12	49130830
chr1	46132977
chr8	109540062
chr17	75785181
chr10	133394264
chr4	73069873
chr5	160400063
chr2	112764671
chr7	135557967
chr17	5486602
chr14	22957168
chr14	55027108
chr4	39366390
chr1	229508356
chr5	126778425
chr1	93079238
chr19	40750688
chr1	228103434
chr13	41311257
chr13	42271891
chr13	113584595
chr18	54357907
chr15	42548816
chr9	19102946
chr3	172750775
chr10	43397366
chr15	74540921
chr11	78139701
chr2	233854553
chr16	2969266
chr19	2783484
chr4	169757878
chr2	216109282
chr15	68054090
chr15	40755379
chr9	35665220
chr4	184734133
chr2	218909122
chr1	9429083
chr16	23678819
chr6	31665133
chr15	66356738
chr11	119095634
chr15	90994581
chr5	177312433
chr22	41205203
chr16	67833922
chr19	17075459
chr2	47783156
chr9	129178401
chr15	41332716
chr3	127598404
chr4	153344690
chr6	31542012
chr16	11345429
chr6	27132007
chr1	154983119
chr11	73983340
chr6	33410321
chr6	30720273
chr2	74198610
chr2	241881292
chr6	32968485
chr2	231662385
chr2	205885734
chr9	34329270
chr7	100705975
chr8	85107149
chr1	119140364
chr17	35119822
chr19	16111365
chr4	99950290
chr11	47426517
chr20	5950650
chr15	56465244
chr1	113905304
chr16	19886405
chr19	16542550
chr12	132687381
chr11	119084848
chr14	66507921
chr2	85328070
chr3	160399616
chr16	30634471
chr20	37096034
chr4	1712679
chr4	129093562
chr11	72080618
chr20	5119415
chr16	19523940
chr13	21176562
chr14	55191657
chr3	8963467
chr6	27893219
chr7	134986838
chr10	5412537
chr22	28741853
chr6	89829789
chr6	34238217
chr1	203290618
chr12	69360171
chr22	38705627
chr13	25301649
chr2	48314330
chr1	91501068
chr10	27155359
chr4	44726476
chr6	26027317
chr6	87590120
chr6	26032158
chr16	29816089
chr13	114314416
chr15	44427115
chr17	20908634
chr2	127065002
chr15	88621155
chr2	58047181
chr8	54022431
chr14	54396881
chr14	30559096
chr15	43777425
chr18	12948480
chr1	226309181
chr6	34757368
chr22	43812473
chr12	34022472
chr6	27146139
chr7	87152295
chr13	94601620
chr6	38703136
chr7	143288088
chr2	165954183
chr12	14365720
chr12	109573618
chr11	9573576
chr17	42577697
chr1	10430439
chr12	21501631
chr17	39864223
chr8	140512046
chr14	74084932
chr7	66114875
chr7	148884655
chr3	149086723
chr20	833649
chr11	18322436
chr19	1876240
chr7	2354093
chr16	85688973
chr16	81007204
chr7	56106623
chr10	12068797
chr16	75623348
chr19	797907
chr1	26234136
chr12	12696215
chr22	42857430
chr20	31880151
chr2	161308449
chr9	37079483
chr1	156505483
chr6	27132997
chr12	2890663
chr19	2236784
chr8	109334190
chr9	125746274
chr19	35612797
chr2	71276524
chr21	46323868
chr1	28581962
chr22	35399961
chr6	57090143
chr17	5111946
chr12	124993071
chr6	57317644
chr15	90955322
chr17	42745158
chr9	83980786
chr12	56752328
chr11	85628542
chr3	196969993
chr11	113773846
chr2	191020359
chr10	18651621
chr1	155277233
chr10	97292799
chr17	3723898
chr20	49278559
chr17	39402668
chr7	44848476
chr17	58007647
chr16	28950858
chr11	28108246
chr12	57078816
chr10	94363039
chr5	169583734
chr4	139082995
chr2	10122686
chr20	33686417
chr3	196503757
chr19	52269592
chr17	42798865
chr20	34112346
chr5	69189592
chr17	44210584
chr21	14027399
chr7	23597302
chr15	75023581
chr15	70892529
chr17	44141920
chr11	108498515
chr2	177212641
chr4	103198378
chr13	112588168
chr17	44947790
chr15	76311550
chr19	12806594
chr19	48720777
chr4	77156884
chr19	48661175
chr15	90930247
chr20	38033445
chr19	43755611
chr7	139133749
chr16	3305925
chr11	27363220
chr11	8689080
chr2	84459579
chr6	166383115
chr6	27473084
chr1	209784667
chr3	186806468
chr11	9384626
chr11	19241075
chr1	1471669
chr20	43657578
chr1	165598298
chr19	13151944
chr9	96418416
chr11	18106070
chr10	13161545
chr1	166876453
chr4	83284527
chr12	130871782
chr8	73356442
chr2	70142796
chr15	88467426
chr2	224585792
chr13	37000805
chr1	45340081
chr22	46296851
chr6	17706023
chr17	77140575
chr4	158723492
chr5	123423471
chr7	152676129
chr22	38982405
chr9	101533935
chr19	11639795
chr13	24922937
chr2	218568582
chr1	203861860
chr19	49929440
chr22	45413671
chr3	47522283
chr6	151452209
chr19	49453493
chr3	48087686
chr19	42280403
chr2	69829625
chr8	73008704
chr11	2992445
chr5	113513643
chr5	134411897
chr9	95317650
chr10	122954392
chr15	49170044
chr1	29181982
chr5	34839250
chr3	160449976
chr10	97640547
chr15	41283916
chr14	75259298
chr8	116874872
chr17	7583753
chr17	7915920
chr5	36152011
chr4	40056953
chr6	36423404
chr5	36242340
chr2	45611269
chr3	72848471
chr3	158571176
chr14	64388080
chr20	31739314
chr11	62124016
chr6	83065925
chr5	146447117
chr12	47963565
chr4	1289753
chr15	43330293
chr12	49323189
chr16	58236523
chr7	36389831
chr19	57681981
chr15	48332141
chr2	118186510
chr8	116766432
chr9	35079839
chr1	23959670
chr11	65720706
chr22	20117379
chr7	50450349
chr14	103715472
chr19	489068
chr16	74666930
chr1	26432164
chr5	892879
chr16	89816676
chr2	199911171
chr2	101002113
chr1	26698221
chr2	200526125
chr3	13420339
chr9	35657857
chr22	22508855
chr7	108526327
chr4	24584613
chr1	153404864
chr5	180072232
chr7	66654555
chr2	112646300
chr4	189940659
chr5	160421862
chr15	40507186
chr1	27914887
chr1	28369612
chr14	89954792
chr10	58268174
chr6	80004626
chr19	17606226
