Chrom	position
chr11	65499039
chr19	44753488
chr2	102658081
chr17	80565596
chr21	38985803
chr17	8164358
chr10	62049255
chr15	74546313
chr6	27754272
chr12	94616575
chr14	68763219
chr4	186079215
chr20	18685517
chr1	44238225
chr12	2801231
chr3	194256213
chr2	95230640
chr10	8103205
chr11	94860589
chr18	48781293
chr8	41737551
chr3	124859266
chr13	113860725
chr5	8473201
chr14	23645228
chr3	33914859
chr15	34366466
chr20	36574908
chr16	60971384
chr10	102965042
chr8	83602111
chr1	47174863
chr2	70670794
chr11	46281598
chr6	7673193
chr19	30253705
chr1	234316668
chr20	17890524
chr14	103901285
chr1	38816263
chr19	14363769
chr1	23558447
chr8	80367182
chr4	180589773
chr17	50808628
chr1	22517396
chr9	129406545
chr17	50631742
chr10	11227408
chr5	12718185
chr20	4042067
chr7	96118738
chr8	95067718
chr22	46774081
chr4	138672526
chr17	1485036
chr2	235236830
chr6	30411701
chr1	183227664
chr1	116099969
chr15	77927044
chr10	2266515
chr1	232418511
chr6	166087358
chr16	50046522
chr2	28560577
chr6	148183692
chr7	29309882
chr14	69458509
chr2	105288305
chr3	32201654
chr4	8437487
chr5	32638504
chr7	146328100
chr11	133493223
chr12	66169662
chr20	31277373
chr6	1901145
chr2	108443670
chr7	102626686
chr15	58505222
chr7	90766900
chr5	56628862
chr1	233198962
chr18	22169276
chr16	23296744
chr3	139299748
chr6	3841963
chr6	35172706
chr10	45341916
chr18	29640725
chr2	118128005
chr15	38752251
chr5	97193212
chr13	22110976
chr4	17215320
chr2	102894011
chr2	37773534
chr3	11995174
chr20	51473963
chr11	95812545
chr17	61591191
chr7	139644463
chr1	157715784
chr7	27114158
chr12	103857706
chr13	69421028
chr15	39692852
chr16	58266815
chr15	22869138
chr6	23513083
chr11	56433067
chr6	156848759
chr1	110143223
chr12	117476569
chr20	51598838
chr17	70029537
chr1	149911922
chr10	27364248
chr5	275254
chr10	7505042
chr6	160951437
chr1	175117075
chr13	48542868
chr13	30109003
chr8	37882070
chr1	175802198
chr3	45112261
chr19	3365500
chr18	8439161
chr4	128601154
chr4	122586491
chr4	55743120
chr1	231231825
chr3	20394480
chr1	246190348
chr16	87261565
chr9	117141457
chr1	221887311
chr12	26114608
chr1	164821867
chr4	133961773
chr4	188515091
chr7	34136151
chr18	29362039
chr6	19538252
chr6	11201240
chr10	73438207
chr4	111153919
chr8	80279608
chr4	154084560
chr1	182384518
chr17	47072042
chr4	177529431
chr5	149680379
chr6	5735476
chr6	14621530
chr21	37855946
chr11	122874694
chr1	27599327
chr4	145736494
chr20	16004690
chr5	4199792
chr6	163159953
chr5	180844637
chr9	36893335
chr3	46412615
chr12	125160031
chr5	6675047
chr6	26341636
chr7	158806104
chr2	40712443
chr13	52129461
chr5	160527125
chr21	42674614
chr18	49573076
chr19	39204943
chr5	34563438
chr1	41829056
chr12	102962266
chr5	14238488
chr10	22499853
chr5	6900668
chr12	48336890
chr1	27458739
chr11	113344368
chr1	41861612
chr12	11773972
chr7	132090030
chr1	221174835
chr5	14248585
chr1	182739764
chr2	97748628
chr10	71822062
chr5	3908547
chr5	151740463
chr1	244214264
chr6	130858257
chr15	52740984
chr18	49622241
chr18	6651182
chr14	95544816
chr7	43465382
chr14	56650317
chr15	66948363
chr7	158217169
chr2	11904330
chr1	41811655
chr6	12990510
chr2	57396905
chr5	79612663
chr12	54141193
chr17	61342521
chr1	19432623
chr12	69171981
chr20	18713099
chr14	50476575
chr6	24035151
chr10	104067686
chr2	64768240
chr5	131710603
chr1	119190784
chr5	133353881
chr6	11810122
chr6	35747411
chr6	151009922
chr6	106793023
chr6	11810929
chr10	113142676
chr4	168634595
chr10	104078006
chr1	19438196
chr7	54218612
chr3	159775654
chr15	28208698
chr15	62988199
chr18	75292255
chr18	8689827
chr2	199455838
chr10	11478239
chr16	75287894
chr1	243506157
chr18	23718636
chr6	7446851
chr9	95032258
chr15	96582712
chr7	35248707
chr6	36319514
chr6	157123534
chr7	153524114
chr10	103798042
chr12	105932359
chr4	86934792
chr12	128445590
chr7	54657563
chr4	2025193
chr10	63630139
chr1	8197955
chr16	81652880
chr7	41972477
chr5	9154542
chr3	42025276
chr6	20285102
chr5	178449283
chr3	178127540
chr6	31690538
chr3	178182541
chr12	124506624
chr5	158268434
chr2	135812824
chr1	153697437
chr1	157207197
chr8	64013680
chr7	86126352
chr8	99804199
chr12	125550206
chr10	77405865
chr7	25497008
chr4	79114246
chr5	67295397
chr7	86174343
chr11	74462247
chr20	61329380
chr6	1222692
chr7	77995222
chr20	23225976
chr7	88184362
chr8	129870301
chr17	19317530
chr2	20151425
chr6	166850732
chr11	57294899
chr21	34949670
chr3	34015490
chr15	95883065
chr7	84546623
chr14	31059766
chr11	95134718
chr2	191090667
chr10	58773655
chr13	39768337
chr6	70130655
chr2	108316760
chr2	1282654
chr8	6787965
chr1	205187626
chr2	68767576
chr11	75259249
chr1	184191396
chr7	138905449
chr12	31117334
chr1	166638350
chr2	505998
chr2	105086874
chr9	35647202
chr18	39984300
chr1	183938864
chr10	113496370
chr4	175498719
chr15	98250977
chr2	157751557
chr6	28272183
chr1	183996206
chr9	125585622
chr10	33738324
chr2	4085585
chr4	169916659
chr10	99844685
chr5	109740539
chr20	41416636
chr6	1706673
chr9	106120283
chr15	98779774
chr12	54304510
chr5	82010080
chr1	44619662
chr7	14740018
chr6	122547708
chr7	14776527
chr1	67916717
chr12	123329291
chr6	161669908
chr21	38649247
chr12	131728427
chr16	82034151
chr6	113209614
chr14	96627926
chr5	11609776
chr2	97027610
chr15	87755431
chr7	39131441
chr12	104122500
chr4	73944728
chr12	106898796
chr12	130746665
chr1	28296812
chr22	18145840
chr13	67434777
chr2	236796061
chr16	5620915
chr14	65506861
chr16	47083490
chr16	50438142
chr2	28521836
chr10	97292400
chr18	23236053
chr14	74649409
chr1	34658030
chr11	31783485
chr12	7018235
chr16	1839789
chr4	41863796
chr18	50449482
chr12	118188963
chr7	47372196
chr1	245699833
chr5	168683787
chr2	159010543
chr5	77231943
chr5	142871982
chr13	20204824
chr6	74762148
chr9	113602227
chr20	19522761
chr18	24595733
chr1	30953905
chr8	1688152
chr20	31956754
chr14	88681363
chr7	72099103
chr6	13371850
chr16	79618857
chr19	13016817
chr8	41940943
chr1	60935262
chr17	1736799
chr10	128892621
chr5	150640603
chr6	168806286
chr18	76352237
chr6	13274095
chr10	119698658
chr8	134686096
chr5	119340402
chr1	197588114
chr8	81797581
chr5	131058370
chr5	103367110
chr1	229148339
chr3	72256304
chr5	174873178
chr5	107255164
chr2	97781236
chr12	97733371
chr6	148864286
chr21	9748073
chr3	125143747
chr19	41887868
chr4	56676915
chr11	12794699
chr12	51662903
chr1	167926621
chr10	35473257
chr12	53345962
chr10	1502173
chr7	22128784
chr6	147726539
chr16	85574048
chr1	58815274
chr6	30769733
chr21	38977058
chr9	97145019
chr1	208092843
chr1	921138
chr15	34161369
chr13	99654319
chr12	47104899
chr8	41822894
chr1	208165733
chr15	76313905
chr6	15730759
chr5	174842393
chr1	197735665
chr11	117617302
chr4	140237834
chr14	40168761
chr2	47251180
chr2	105600804
chr2	65005487
chr6	684103
chr10	95531672
chr2	159189364
chr6	29577484
chr7	22435971
chr2	66849383
chr11	8234253
chr15	57610462
chr1	34698107
chr12	58819568
chr9	38361621
chr7	31368921
chr6	1505323
chr2	194559696
chr2	101266221
chr18	24914962
chr3	8741776
chr10	131972797
chr19	42179481
chr1	34417786
chr6	798501
chr14	85230438
chr18	2994415
chr1	161390284
chr17	40621227
chr9	138214746
chr18	12358910
chr6	33744515
chr7	35847234
chr7	131861821
chr11	59102465
chr5	138464793
chr6	26914672
chr8	18782837
chr11	40747140
chr1	38114311
chr2	237757813
chr18	45900283
chr20	10706019
chr9	92032468
chr5	55349383
chr4	13874249
chr2	70626828
chr7	24820495
chr1	206766552
chr17	76609353
chr15	69876272
chr2	138671527
chr1	197923238
chr13	50529502
chr3	38335423
