Chrom	position
chr1	2255850
chr22	30435876
chr18	3262061
chr20	1393226
chr3	129161293
chr19	58305336
chr18	13464991
chr8	144078567
chr19	13164617
chr12	6663232
chr6	166488277
chr1	169794975
chr20	16729978
chr19	47256483
chr1	109076041
chr12	49663181
chr16	89616820
chr12	131710954
chr7	100100667
chr9	86354451
chr20	2470814
chr12	124466395
chr2	73737482
chr15	73697223
chr6	31959087
chr9	111926726
chr6	133953119
chr3	153221944
chr5	142357133
chr17	77235721
chr7	129055085
chr6	34757464
chr22	21942627
chr6	36885937
chr13	28659095
chr22	29553782
chr19	16185328
chr19	3435214
chr1	204516375
chr7	123749132
chr15	72686178
chr17	80415346
chr16	89316428
chr5	142551741
chr19	55675165
chr13	45329900
chr2	73926847
chr20	62182978
chr12	6689557
chr4	13627831
chr1	153990764
chr12	105236274
chr10	112447025
chr9	120793454
chr8	22604703
chr19	6801676
chr17	50373163
chr19	55152157
chr7	1504413
chr12	49741562
chr19	58519849
chr6	166342575
chr2	27955216
chr12	6724048
chr5	159263293
chr2	112584427
chr19	41859817
chr15	74461200
chr19	4182579
chr8	13366934
chr4	116532108
chr3	101513316
chr11	118359568
chr9	92670285
chr7	135170810
chr7	76048034
chr19	48249748
chr9	88778033
chr3	9363052
chr17	81861099
chr15	75029871
chr18	35241053
chr12	389341
chr15	94607469
chr11	47579009
chr12	6970875
chr1	203861592
chr17	76029621
chr1	172109556
chr7	45111757
chr10	88986709
chr1	93879196
chr6	33840244
chr19	18023985
chr7	87152401
chr1	109548566
chr2	98608532
chr2	219245476
chr12	123633700
chr12	110450343
chr10	32139493
chr16	690436
chr6	31542047
chr2	16625359
chr19	50376375
chr11	8689010
chr11	77994816
chr6	90587214
chr17	46923118
chr17	77088652
chr6	3024009
chr1	184152751
chr7	44490709
chr5	74767169
chr2	19990155
chr13	52194471
chr1	151166022
chr3	47282660
chr11	68272067
chr8	77000119
chr5	34915643
chr6	169751638
chr3	41962271
chr12	111599575
chr16	2868234
chr17	28982539
chr2	216109374
chr6	30782054
chr5	140557482
chr2	70190764
chr11	61430106
chr15	34343166
chr19	1905772
chr9	89318461
chr21	28992934
chr19	56121411
chr9	37785085
chr12	41932636
chr2	191020354
chr1	151281543
chr2	11830393
chr6	30682737
chr2	45568100
chr19	19516208
chr11	65570370
chr6	170553296
chr1	20508175
chr19	14690027
chr12	48716815
chr5	271606
chr20	56468628
chr2	218217111
chr20	5950577
chr9	71647385
chr17	64506776
chr9	19049376
chr1	36088857
chr5	95646863
chr19	47244260
chr22	19479251
chr1	169894001
chr9	133336242
chr15	65833111
chr12	111410040
chr10	11799064
chr21	36488198
chr11	2400358
chr12	21437657
chr15	84654300
chr8	143281697
chr3	157175089
chr5	149345404
chr7	139340251
chr22	41688900
chr19	48322164
chr1	77759806
chr17	7239768
chr19	49580627
chr3	143001487
chr6	110982023
chr2	191014312
chr3	32401675
chr20	2664217
chr15	55196984
chr2	240136315
chr6	30067208
chr5	150449851
chr11	126268914
chr13	102845788
chr17	67366569
chr10	17029718
chr16	58129415
chr8	94553517
chr17	59707635
chr15	39782877
chr19	34270144
chr10	100535932
chr19	43562948
chr3	111851685
chr16	30875389
chr12	121918512
chr17	58352238
chr7	32490390
chr20	36573307
chr20	3159894
chr19	10119930
chr1	120176508
chr22	39529329
chr5	40835265
chr11	64317630
chr17	47831558
chr15	58473356
chr11	69297274
chr11	118252237
chr6	33323022
chr6	33299463
chr1	160343291
chr1	170494572
chr1	43172309
chr8	124539101
chr1	100133124
chr9	20714671
chr19	2950652
chr11	71929011
chr21	46286309
chr18	49487271
chr12	98439836
chr2	20823095
chr12	55927148
chr2	200889330
chr6	99394201
chr7	6577434
chr22	35478131
chr19	16197923
chr4	139419621
chr1	37808213
chr2	65432612
chr20	38446644
chr17	28357616
chr7	135977368
chr4	184355372
chr13	114314333
chr18	54269525
chr1	209660161
chr9	127882788
chr9	134164933
chr17	35587274
chr7	73308866
chr20	5113117
chr7	148839124
chr20	63658302
chr11	67262886
chr11	46700791
chr19	10106359
chr11	57741464
