Chrom	position
chr1	171484941
chr12	50025831
chr14	36320927
chr9	83957416
chr7	116426805
chr7	116408574
chr9	5630500
chr11	59143782
chr1	149888904
chr15	60520703
chr2	190320411
chr6	47231113
chr7	66920344
chr11	59545178
chr12	14554156
chr2	189782870
chr5	58458651
chr5	163094641
chr11	59811297
chr1	151198185
chr10	23096824
chr2	191014666
chr1	147243987
chr15	62066567
chr10	22340072
chr10	31940593
chr4	73708571
chr11	57778389
chr18	26089708
chr5	159264068
chr18	28792304
chr2	199910823
chr13	79407199
chr5	60700764
chr5	59769381
chr2	197436082
chr4	74374966
chr7	56106869
chr15	62473540
chr7	66238809
chr5	160316480
chr15	62138100
chr6	74535014
chr13	97369347
chr6	73696985
chr13	75674770
chr4	87423906
chr5	53560378
chr6	67361448
chr18	54945900
chr7	77765724
chr11	65498727
chr18	56639253
chr2	169799962
chr7	113118887
chr15	56497007
chr5	177591659
chr15	55952519
chr15	55418319
chr7	111963064
chr1	162497493
chr8	53945180
chr18	63979902
chr10	16437851
chr12	12611288
chr12	12695855
chr7	76166301
chr5	57783676
chr6	73655402
chr13	98672889
chr13	99498252
chr9	1915969
chr1	154219489
chr1	154222234
chr1	154982797
chr2	173533582
chr12	13097935
chr5	167379733
chr12	12893489
chr8	144828640
chr13	105903910
chr11	62621105
chr2	174249339
chr4	73620922
chr2	201781728
chr14	22174927
chr1	95070372
chr20	10435858
chr5	74416896
chr5	148093198
chr7	40133101
chr13	40115969
chr4	38620867
chr13	40650449
chr1	95069138
chr8	17766220
chr4	73607070
chr20	5750963
chr6	111427734
chr9	25602973
chr20	2664555
chr8	17802558
chr5	74238469
chr20	401233
chr13	43088161
chr5	74419536
chr20	10706276
chr12	26273569
chr13	35331987
chr4	10657605
chr15	77156909
chr17	61208557
chr5	145540441
chr10	58821706
chr12	27549202
chr4	13640123
chr15	74695340
chr17	63291613
chr15	72784449
chr4	20592658
chr13	32539448
chr6	117603179
chr6	116615952
chr4	26583622
chr5	146182961
chr15	72237235
chr17	78737225
chr1	100249012
chr2	238060092
chr18	3653412
chr2	224086190
chr4	55906702
chr13	73040593
chr1	110964645
chr2	218672456
chr8	22009802
chr2	215313352
chr9	20551651
chr5	65823639
chr11	47407823
chr6	90585822
chr5	157731032
chr10	32105402
chr1	114780905
chr13	73677863
chr4	73603881
chr18	24426011
chr8	19537616
chr13	70084340
chr13	45342465
chr12	15819862
chr4	44677837
chr2	235708992
chr13	45464521
chr4	48268800
chr4	48699920
chr7	43728444
chr6	106119295
chr12	19097030
chr11	43352290
chr4	52711824
chr7	116803307
chr13	49111147
chr9	21580889
chr5	149062204
chr2	226834429
chr6	99426373
chr13	65154799
chr14	21456731
chr1	164636263
chr4	4247471
chr1	241520299
chr14	71849305
chr7	102991475
chr4	145620281
chr6	27188415
chr7	94003501
chr11	112164423
chr14	74762822
chr1	202342437
chr14	74883686
chr2	8141136
chr1	202926269
chr14	75128128
chr2	58240457
chr14	76151549
chr6	27020630
chr14	77097292
chr1	204516104
chr2	65031952
chr19	57279518
chr14	77709332
chr15	39921477
chr6	28383073
chr2	74120876
chr2	74119805
chr2	73926289
chr7	92527307
chr6	28349552
chr2	73779261
chr15	41116959
chr11	120338103
chr2	70132601
chr4	140523719
chr11	118359153
chr19	55167153
chr14	69766706
chr11	118251722
chr2	65985894
chr11	117099157
chr1	205775812
chr15	38074037
chr14	22588439
chr6	18148789
chr14	93329933
chr14	94081830
chr4	176195988
chr2	37377233
chr11	96208186
chr6	20319846
chr8	93755567
chr2	33600104
chr1	222590416
chr14	96462501
chr2	24806767
chr15	30992471
chr14	102525355
chr2	25879136
chr8	94436785
chr8	94440618
chr2	26344928
chr1	214602719
chr2	41859614
chr2	54549628
chr2	42196139
chr4	184536800
chr4	183438505
chr1	233425035
chr8	85106722
chr6	26402013
chr11	108122658
chr8	100395783
chr11	107565978
chr14	90257387
chr6	26327931
chr4	177442873
chr14	91437143
chr2	44167531
chr2	43994807
chr8	99894067
chr4	158368901
chr7	99679575
