Chrom	position
chr10	86971437
chr2	238288889
chr17	40108328
chr20	3811920
chr19	48637804
chr12	26114538
chr17	55238443
chr9	124771626
chr17	82288173
chr3	23945899
chr22	32532815
chr19	48634631
chr11	45859871
chr5	104186296
chr15	89068529
chr16	83953097
chr11	45847280
chr17	39144592
chr17	8156607
chr12	107093855
chr7	101138674
chr2	64839127
chr1	211259128
chr2	30146590
chr11	12044136
chr12	8027146
chr22	31290862
chr11	43548129
chr11	844037
chr16	4943405
chr9	133149503
chr12	50247417
chr22	32723856
chr3	4868527
chr19	40831994
chr3	66116073
chr5	106873765
chr5	170484302
chr2	38720807
chr1	61057081
chr11	115941612
chr13	27424705
chr15	73633539
chr3	170908827
chr22	48606085
chr17	40100694
chr6	30744757
chr6	150866328
chr1	160101251
chr4	2413152
chr9	127159440
chr16	3500923
chr17	40099162
chr8	118905368
chr10	97687573
chr10	77874065
chr22	41022667
chr11	68008587
chr17	40075653
chr15	68230113
chr1	38859895
chr7	101126504
chr20	50440670
chr3	16060612
chr10	133259438
chr11	65890645
chr12	112013360
chr13	113297080
chr10	75959483
chr12	57752490
chr17	8152534
chr17	40069031
chr11	115623167
chr15	82647701
chr17	78840856
chr8	27774383
chr3	124835133
chr11	67391862
chr22	26659083
chr8	106060584
chr1	202283702
chr1	203026359
chr10	70664927
chr17	3892298
chr2	10043376
chr6	148441278
chr20	31712776
chr10	102117916
chr17	55264934
chr10	75547525
chr19	40662964
chr22	32050947
chr1	35869805
chr11	18394480
chr1	43991520
chr21	8220013
chr17	77255608
chr16	74368272
chr12	26125083
chr15	56040651
chr2	113199411
chr6	87155511
chr6	53548165
chr5	1113229
chr17	17206497
chr2	119004783
chr11	35908149
chr9	33506703
chr10	72625980
chr17	49523811
chr10	104086259
chr12	45990814
chr12	58877586
chr12	9650919
chr6	95087674
chr17	64506710
chr6	129890436
chr5	17381585
chr18	9136732
chr2	99155042
chr2	124264883
chr8	144014804
chr16	87725774
chr14	78255338
chr1	7784240
chr14	55107963
chr5	160938740
chr10	44180475
chr6	125274181
chr10	110460681
chr22	19432484
chr2	202634739
chr1	40161378
chr12	111599590
chr7	876488
chr19	13100251
chr6	157764692
chr1	235070342
chr19	29844466
chr22	41381724
chr3	194135105
chr12	115341595
chr2	111975265
chr17	40099453
chr9	75239365
chr5	142013101
chr9	92325628
chr19	35319186
chr16	2835879
chr15	60371486
chr17	71438901
chr9	91197389
chr20	63457912
chr14	64721610
chr2	74507361
chr1	203861521
chr10	91633158
chr4	47463671
chr4	8101403
chr17	44070704
chr6	82879033
chr1	70628077
chr11	65487789
