Chrom	position
chr14	103120390
chr19	11267531
chr16	24526916
chr10	119162841
chr16	30087285
chr16	89100094
chr1	46117949
chr1	46094022
chr22	24021467
chr16	89382698
chr22	24987599
chr16	4333931
chr1	150571339
chr1	150695205
chr16	29588223
chr8	144465346
chr6	31978182
chr19	50839857
chr19	51017796
chr7	101990298
chr13	114309262
chr1	225908211
chr16	30606207
chr17	43105334
chr17	41701039
chr19	17986772
chr1	229383398
chr5	16998228
chr7	117272585
chr6	89411212
chr22	19958247
chr19	47777471
chr7	102259958
chr22	20413106
chr19	48988471
chr15	40954639
chr19	48557029
chr5	78661232
chr8	141431723
chr19	48578073
chr22	20909828
chr1	47505466
chr17	41967404
chr16	28946886
chr6	20139698
chr16	28823162
chr16	22236024
chr6	44221107
chr7	99352444
chr17	63488204
chr17	2571718
chr7	98374082
chr6	24776165
chr15	101279188
chr17	3692630
chr12	49165322
chr7	2313684
chr1	156038765
chr1	204522136
chr5	141610056
chr1	204344077
chr11	696567
chr1	28745973
chr13	49784066
chr10	73959134
chr12	45722144
chr1	52728445
chr19	1713357
chr11	46289308
chr16	28086003
chr19	1135086
chr1	44695890
chr1	9797264
chr13	113309206
chr7	99559505
chr17	43548907
chr12	116707401
chr1	153672437
chr6	43572223
chr17	1652978
chr1	43369990
chr16	23521502
chr16	23516089
chr9	136332785
chr19	11088129
chr22	17849444
chr1	13796579
chr1	6493985
chr3	53253832
chr10	101361058
chr10	101389725
chr17	38581062
chr19	34309569
chr19	39369406
chr1	243727384
chr1	17591293
chr19	39508807
chr12	106137583
chr7	76314628
chr5	40796249
chr5	177139785
chr16	66858961
chr11	62568488
chr3	52152181
chr8	38059008
chr19	33141239
chr12	131855293
chr12	110420812
chr18	831240
chr19	18302048
chr12	6865496
chr18	9123723
chr1	20836359
chr5	179697281
chr8	37787263
chr20	62016939
chr12	109910463
chr16	67937880
chr20	62284493
chr20	62350529
chr7	105057651
chr6	150753053
chr19	35795819
chr19	35673987
chr14	61655907
chr6	1807153
chr19	35498420
chr19	35306586
chr6	2125347
chr1	236691527
chr19	40723324
chr8	38140475
chr5	32216601
chr16	77304299
chr1	15961043
chr1	23570191
chr12	12738356
chr17	79771475
chr8	22178487
chr17	79022096
chr19	44822883
chr10	103847556
chr3	122513882
chr1	15820755
chr7	102456450
chr12	12907751
chr1	232569740
chr15	42915860
chr1	15342748
chr7	101065326
chr8	133453455
chr9	132878370
chr21	42541846
chr19	43687426
chr11	66439316
chr3	122514845
chr15	69302292
chr7	100807071
chr19	41269271
chr16	72834178
chr17	81332613
chr17	81215238
chr19	30233583
chr19	42083662
chr1	61114385
chr21	39387061
chr1	23239859
chr1	108963796
chr6	35389165
chr9	132760244
chr8	38422628
chr21	41880346
chr1	156599245
chr11	64334859
chr12	121508197
chr19	3288640
chr19	2540336
chr22	41934629
chr22	43310926
chr5	139762381
