Chrom	position
chr19	55185680
chr20	61958436
chr7	38972315
chr22	39795646
chr7	107384075
chr2	208890279
chr1	222886693
chr17	41561311
chr18	60382415
chr15	74753501
chr22	39541815
chr20	21106671
chr3	9691104
chr6	31632838
chr17	77005948
chr12	56520136
chr8	28259473
chr7	99698344
chr17	47755418
chr2	32502878
chr10	46090338
chr9	131534251
chr12	92539814
chr7	120590570
chr19	50316917
chr3	71633249
chr22	31686755
chr7	27702770
chr3	3221406
chr17	28258615
chr1	207494720
chr14	50234829
chr12	12764815
chr9	108006682
chr8	126442511
chr1	61542867
chr6	17600533
chr2	114647388
chr3	39093440
chr8	95565886
chr8	146127565
chr9	115095311
chr19	909398
chr12	58176537
chr19	41903364
chr6	30539052
chr2	203453588
chr6	139696648
chr8	99956538
chr1	3541358
chr15	64679973
chr6	33167896
chr22	24903098
chr15	41850002
chr19	47288289
chr9	136009317
chr19	1205759
chr6	144416957
chr2	32288576
chr17	43225222
chr9	69065503
chr4	54930705
chr17	56736455
chr9	136933621
chr8	128775838
chr19	54693850
chr16	29816858
chr7	138571424
chr4	6988756
chr11	36562696
chr1	54873406
chr20	17836878
chr4	185655415
chr12	69201694
chr7	106809277
chr8	26240495
chr9	2728235
chr5	159546647
chr20	1418003
chr1	202779927
chr22	42229014
chr10	12110701
chr17	61776805
chr5	179246189
chr19	42633731
chr7	156931106
chr2	190526013
chr19	49955092
chr12	31479223
chr4	69215803
chr10	69644294
chr4	2965181
chr4	140004111
chr5	150080649
chr2	97481912
chr11	85028184
chr11	6552744
chr9	15511252
chr12	12849652
chr10	23727970
chr6	139094891
chr8	117887081
chr19	12902166
chr5	150460713
chr1	204367796
chr4	7865728
chr2	74007305
chr22	39101633
chr6	53412973
chr21	33942283
chr17	26662526
chr15	49913193
chr14	69260215
chr17	62159576
chr7	102036694
chr19	49843726
chr12	25205400
chr5	36242204
chr3	141594446
chr2	118572177
chr6	157041144
chr3	177077838
chr19	47733944
chr12	119151994
chr13	41345370
chr12	111180671
chr1	151138498
chr8	33371171
chr1	109633318
chr22	36635688
chr6	89790421
chr3	193310959
chr2	149402936
chr12	8178985
chr2	160373147
chr11	102217867
chr19	50380719
chr5	147763459
chr7	134832817
chr11	130051363
chr8	124169491
chr4	141075364
chr1	38455769
chr2	191885102
chr13	50700648
chr19	48833553
chr2	148778463
chr2	30369487
chr12	46766602
chr12	53455382
chr6	26569025
chr3	52373822
chr17	57642931
chr14	45721364
chr20	19884048
chr10	12306654
chr16	4666489
chr10	94000515
chr3	129295815
chr7	141438090
chr15	71104607
chr13	103248713
chr2	157192263
chr6	151773435
chr17	79367949
chr8	52811760
chr1	178695527
chr10	43782935
chr13	34298106
chr7	73684359
chr13	52768604
chr5	140998724
chr19	55770644
chr6	142468276
chr1	150535421
chr7	44078938
chr16	69599792
chr15	66209610
chr5	172483343
chr14	58894410
chr5	98265381
chr15	40391164
chr14	55197097
chr1	25071559
chr11	117049446
chr20	17485622
chr7	157129653
chr4	74472410
chr17	73851586
chr14	90422168
chr14	22802595
chr11	57425056
chr11	62420861
chr12	72233503
chr8	101734429
chr11	64683913
chr7	5463661
chr11	64334202
chr5	53906559
chr14	102606108
chr2	97304153
chr17	7142913
chr19	56632809
chr11	114030866
chr15	65903525
chr1	193028587
chr4	185395854
chr1	159893614
chr6	143268737
chr15	93352579
chr13	31236863
chr3	172468319
chr5	167646944
chr7	116443050
chr14	23025328
chr3	71632884
chr4	120375848
chr7	140179197
chr10	134145570
chr8	135898910
chr7	43689525
chr15	50296070
chr19	41109833
chr8	21776983
chr2	232651093
chr8	22462157
chr10	103578221
chr1	226862921
chr11	8008701
chr1	210001318
chr1	27816844
chr3	155572339
chr1	101754312
chr2	242823759
chr3	187463219
chr3	157827833
chr2	122288556
chr3	156892893
chr13	50705408
chr13	77901357
chr1	94310046
chr3	196159313
chr5	94129210
chr16	4423193
chr4	86068763
chr7	25138192
chr9	5949337
chr16	88718000
chr5	96270919
chr2	111878249
chr4	6753452
chr1	205091425
chr18	32811206
chr5	81147839
chr5	140971975
chr8	56843206
chr16	15684954
chr10	125795554
chr1	149514142
chr12	89746463
chr9	35657875
chr17	8060077
chr8	120885872
chr3	53381674
chr1	192775230
chr1	145438338
chr11	94801907
chr2	209130926
chr18	9073814
chr10	99400352
chr14	77495253
chr3	49132044
chr16	1381904
chr19	11071448
chr16	23568822
chr5	39073539
chr7	148823439
chr10	6128518
chr17	62923860
chr2	44314529
chr4	25314384
chr2	99224992
chr7	90893676
chr12	121790388
chr21	40115174
chr10	30722988
chr14	64215743
chr22	43506580
chr11	72504795
chr17	41150217
chr4	141729241
chr22	40440769
chr2	191879030
chr5	94186159
chr1	145382838
chr1	31538626
chr9	6429416
chr15	50716505
chr6	106545860
chr3	135915371
chr14	64331224
chr12	34175361
chr5	90675934
chr19	39926725
chr14	55878608
chr19	48103694
chr5	42812090
chr17	19411479
chr12	57505882
chr14	77428249
chr16	8891604
chr1	76891018
chr6	27745625
chr12	54415602
chr10	81947389
chr12	53574480
chr3	45654500
chr15	38732716
chr17	57864027
chr2	224822140
chr17	80606373
chr9	37800748
chr1	45957177
chr6	31165802
chr11	118307032
chr6	134274317
chr14	20811467
chr12	110486414
chr1	29253571
chr17	56429574
chr9	127527288
chr7	157254114
chr2	219261018
chr11	60609523
chr10	88163317
chr17	41438496
chr17	41323107
chr5	81047243
chr19	46220669
chr10	123822917
chr16	75682590
chr19	46220813
chr17	42293823
chr1	154531463
chr10	18948185
chr1	155214625
chr10	13628947
chr7	40174269
chr20	2083043
chr1	249120519
chr6	30685366
chr19	37663715
chr8	124553556
chr11	57568176
chr6	31671174
chr9	33297682
chr14	65569223
chr21	45717725
chr11	113644549
chr3	52805075
chr1	109642743
chr21	34144333
chr2	135676225
chr7	100034147
chr3	122295185
chr3	71179789
chr2	54014102
chr6	165853611
chr1	207997390
chr15	82555891
chr2	39719404
chr1	24513165
chr8	11396654
chr7	43688507
chr19	7587411
chr9	95640414
chr2	98552884
chr5	159846177
chr1	42801032
chr4	37751291
chr5	162932925
chr9	71161607
chr4	141077808
chr9	28355270
chr2	242041791
chr11	65150008
chr3	41240944
chr2	220143947
chr1	65532520
chr2	86668268
chr11	268853
chr8	27950626
chr18	54536613
chr20	306099
chr10	74114743
chr17	7740303
chr11	11268259
chr6	24937139
chr1	27648742
chr1	16971234
chr7	45039522
chr13	45915409
chr11	85780272
chr10	69913592
chr11	2421735
chr20	52543237
chr9	33474098
chr15	64995563
chr2	191184644
chr6	53275627
chr5	17278257
chr15	59705324
chr12	6798607
chr19	13227615
chr14	55569120
chr14	61124086
chr7	121078704
chr22	31688471
chr6	37123450
chr11	46958222
chr1	42612794
chr7	44058895
chr2	136883657
chr1	161736080
chr1	109618693
chr7	48019189
chr7	106810264
chr11	75535540
chr4	139163597
chr4	2245668
chr9	37371293
chr6	139646559
chr20	1447538
chr12	49246031
chr19	37701597
chr2	70322482
chr4	26859284
chr16	69373526
chr2	201934304
chr8	145026380
chr5	102594231
chr1	93544747
chr9	139981374
chr13	28712326
chr4	111119898
chr7	35734750
chr19	14154000
chr17	66007517
chr7	28855701
chr1	53704291
chr7	138915890
chr5	133706801
chr1	172715611
chr17	40897042
chr10	79596161
chr12	106696305
chr1	218458575
chr8	42911399
chr17	38771686
chr8	135844732
chr1	153931162
chr4	114468962
chr3	149470331
chr18	33647558
chr4	8202237
chr3	31993902
chr7	20259737
chr13	27238128
chr7	1064063
chr7	99679472
chr2	64751423
chr1	107973437
chr10	29419252
chr18	52989761
chr17	36956269
chr4	83956067
chr9	96699048
chr3	69134077
chr6	30034906
chr2	198522481
chr8	81397744
chr15	89181979
chr18	31961631
chr19	18140836
chr11	64851652
chr1	148604956
chr18	19192237
chr3	46607748
chr6	53200334
chr10	22904896
chr6	146171515
chr2	32390823
chr16	3550913
chr10	43133621
chr1	226187090
chr14	84864547
chr15	49447922
chr6	26597105
chr11	65265109
chr22	50946636
chr15	102521252
chr1	242011237
chr11	77348811
chr12	46384556
chr15	93447508
chr16	87422027
chr4	78843065
chr2	438226
chr8	124408936
chr9	33290415
chr7	92464850
chr2	111506282
chr7	121170703
chr3	14220275
chr2	46844359
chr1	28879458
chr10	103113695
chr15	64312110
chr10	112624588
chr6	113964362
chr12	125093814
chr14	93260630
chr9	87880058
chr8	14088758
chr1	147994250
chr9	32551054
chr5	110427978
chr5	121297605
chr19	7694592
chr1	145969322
chr14	105957331
chr18	43830527
chr16	3696423
chr1	148241556
chr3	190529779
chr13	46038848
chr12	98897313
chr2	68585238
chr8	101506970
chr2	7172093
chr15	77197809
chr8	60969510
chr16	4321950
chr11	118123052
chr11	61849702
chr12	109027651
chr2	178128306
chr5	131892589
chr19	18392624
chr11	107328567
chr1	149606043
chr1	167587010
chr17	73110378
chr7	154958609
chr12	56498167
chr1	6259750
chr11	95974839
chr13	113951396
chr4	25162089
chr9	32379456
chr18	11851360
