Chrom	position
chr10	75910640
chr1	153963152
chr15	52861375
chr17	36860227
chr12	125093816
chr7	150755292
chr19	7717100
chr12	89936932
chr18	46065353
chr19	41682251
chr17	37607627
chr13	114520128
chr5	39218048
chr10	120183496
chr11	73588066
chr17	79926011
chr11	64334113
chr14	35761469
chr7	92464895
chr12	32112181
chr12	71834764
chr5	148931365
chr10	101380374
chr6	126277933
chr1	150488052
chr3	101292936
chr1	155990830
chr19	11849791
chr19	41769920
chr6	84569242
chr5	114970548
chr6	37139946
chr17	63557302
chr4	146860018
chr6	29933938
chr1	222817602
chr8	37553249
chr1	204616867
chr3	64519463
chr17	79367797
chr1	16489011
chr2	171571759
chr17	55938568
chr1	226814394
chr1	150848698
chr4	6976335
chr19	40791603
chr17	38673183
chr11	10681344
chr5	73622951
chr6	12008936
chr10	77165024
chr5	79477681
chr15	62352778
chr15	93447524
chr9	33001698
chr14	32729081
chr17	56469003
chr9	5437967
chr1	24136404
chr11	44545247
chr7	92158095
chr4	3838582
chr15	59063170
chr7	104584236
chr18	499660
chr6	34725166
chr7	47597862
chr2	235271823
chr9	131940666
chr22	29279590
chr4	124400105
chr6	35700072
chr7	6117029
chr12	57916193
chr12	110134037
chr10	114710078
chr17	54777182
chr1	204462845
chr3	134204962
chr1	15479068
chr22	32808184
chr20	8000513
chr4	159644620
chr10	77161567
chr6	34216832
chr6	28193045
chr12	96336867
chr9	130150820
chr10	77811037
chr20	57556165
chr3	5028694
chr7	92325138
chr12	76354018
chr17	63557693
chr13	73664725
chr4	121993367
chr10	80828666
chr15	50408870
chr5	90576714
chr11	110436239
chr7	13057181
chr8	38644634
chr4	6339461
chr19	12552065
chr1	155042445
chr15	70820763
chr2	219524383
chr2	27592944
chr7	150076274
chr16	81491551
chr2	42360338
chr11	62649125
chr18	46474946
chr1	154947109
chr14	89507182
chr11	59474405
chr5	133450400
chr1	228327629
chr3	31330297
chr11	102323764
chr16	50581528
chr1	234908242
chr16	68482433
chr12	6663448
chr7	101741127
chr2	84840396
chr3	30269492
chr1	68594106
chr19	46110725
chr12	52444971
chr10	104192379
chr22	29320028
chr8	63952064
chr16	89984463
chr12	42632209
chr3	57193487
chr2	27652061
chr3	141087219
chr15	74753648
chr5	132387387
chr18	3665919
chr19	10528862
chr17	47308224
chr17	56084939
chr6	80341009
chr16	55657136
chr11	95523111
chr16	50651318
chr12	12186513
chr19	12512235
chr7	100136457
chr6	27145704
chr17	21156778
chr6	91297064
chr10	114767249
chr8	122361239
chr18	8609236
chr10	65389405
chr9	79071299
chr1	165840851
chr1	16161384
chr10	31532045
chr9	38048005
chr1	24648339
chr9	139978005
chr8	11711611
chr1	206644425
chr19	13957479
chr5	139135820
chr15	89448073
chr19	49540243
chr3	11985716
chr12	76029614
chr6	42104822
chr8	18871998
chr2	121833050
chr9	111342421
chr2	121693441
chr1	147017083
chr8	29910215
chr3	140660542
chr4	56212695
chr2	241195577
chr13	25245214
chr1	45769808
chr7	4671468
chr21	46785843
chr10	114250496
chr10	126043544
chr10	43913758
chr17	33390726
chr9	86235923
chr1	192500395
chr5	127374498
chr7	7216930
chr17	80294496
chr20	55130172
chr16	50502020
chr10	124713805
chr11	59578328
chr17	41649986
chr15	66994573
chr13	49946262
chr13	34594196
chr8	42698560
chr7	20826555
chr4	109094531
chr9	136423405
chr17	63746968
chr19	11877859
chr19	17186299
chr14	89493788
chr17	6950443
chr13	109864186
chr10	11727937
chr6	14622550
chr16	9254115
chr6	11093904
chr1	162039220
chr19	46571985
chr7	34075775
chr17	70409589
chr16	28289171
chr16	30583421
chr1	7962954
chr1	16126835
chr11	61891205
chr7	148725894
chr11	9336439
chr14	69246862
chr3	37546204
chr18	45982518
chr3	7918760
chr20	19765568
chr9	132319874
chr17	1171819
chr17	836889
chr5	133406988
chr5	56598217
chr3	31418769
chr12	27994456
chr6	32145635
chr7	127460522
chr5	37666189
chr7	99102112
chr4	4765372
chr4	124270684
chr17	37617604
chr1	120188717
chr5	16936847
chr8	103818866
chr11	628748
chr6	143167237
chr2	159089234
chr15	89631362
chr4	185185565
chr7	105416708
chr10	77190187
chr15	65477948
chr2	231770347
chr14	26863948
chr9	131320813
chr11	120581277
chr8	6434463
chr8	37456240
chr6	42018579
chr7	44646580
chr5	179159697
chr10	80999978
chr17	39113290
chr4	1523196
chr17	57832138
chr1	151945647
chr4	175204998
chr21	18873902
chr8	94858970
chr1	51750290
chr5	37371187
chr2	20550717
chr12	116966054
chr4	30790955
chr21	31222196
chr3	42641934
chr3	119012941
chr9	6590934
chr2	71454561
chr2	159981322
chr2	235056363
chr7	5458328
chr4	95374039
chr19	50490575
chr10	125853224
chr8	144679584
chr10	104421082
chr10	75504006
chr3	151689785
